"method","theta_hat","rank","ci_two_left","ci_two_right","ci_left","ci_uniform_left"
"gemini-2.5-pro",8.36307308940436,1,1,22,1,1
"gemini-2.5-pro-preview-03",7.63914764697002,2,1,24,1,1
"grok-4-0709",5.77024062384502,3,1,37,1,1
"o3-2025-04-16",4.1801089173989,8,3,52,3,2
"chatgpt-4o-latest-2025032",4.94156198574562,5,2,52,3,1
"gemini-2.5-pro-preview-05",4.28652923395943,7,3,52,3,2
"deepseek-r1-0528",3.61540579363345,12,3,52,3,3
"grok-3-preview-02-24",5.6487633792432,4,1,39,2,1
"llama-4-maverick-03-26-ex",4.14649954169099,9,3,52,3,2
"gemini-2.5-flash",3.93615896359725,10,3,52,3,3
"qwen3-235b-a22b-no-thinki",2.44865174926502,18,5,52,6,3
"gemini-2.5-flash-preview-",2.9882805799638,15,5,52,5,3
"gemini-2.0-flash-thinking",2.88024961208083,16,5,52,5,3
"kimi-k2-0711-preview",2.65205837076404,17,5,52,6,3
"gpt-4.1-2025-04-14",2.36827918515552,19,5,52,7,3
"deepseek-v3-0324",1.15065542296863,23,11,52,13,3
"o4-mini-2025-04-16",0.748856964865714,28,13,52,14,3
"mistral-medium-2505",1.40282995512011,22,10,52,12,3
"gemini-2.5-flash-lite-pre",1.82235650790828,20,7,52,10,3
"qwen-max-2025-01-25",0.692640764164904,29,13,52,15,3
"hunyuan-turbos-20250416",0.953245716956428,25,12,52,13,3
"qwen3-235b-a22b",1.7664417011993,21,7,52,10,3
"minimax-m1",-0.932216769006827,34,21,52,22,1
"claude-opus-4-20250514-th",3.10862145197789,14,4,52,5,3
"qwen3-235b-a22b-instruct-",4.6747515724756,6,1,52,2,1
"gemma-3-27b-it",0.365429851068933,30,15,52,17,3
"claude-opus-4-20250514",3.23453628680906,13,3,52,5,3
"grok-3-mini-beta",0.750182124749545,27,13,52,14,3
"grok-3-mini-high",-0.221906248838403,31,18,52,20,3
"gpt-4o-2024-11-20",0.975851949807946,24,12,52,13,3
"claude-sonnet-4-20250514-",3.80561138869034,11,3,52,3,3
"gemini-2.0-flash-001",-0.84991750100682,33,20,52,20,2
"mistral-small-2506",-1.54456117604969,35,23,52,24,1
"gpt-4.1-mini-2025-04-14",-0.737798589377508,32,20,52,22,2
"qwq-32b",-2.80403537402455,42,31,52,32,1
"claude-sonnet-4-20250514",0.949885774938212,26,12,52,13,3
"qwen3-30b-a3b",-1.64916959830398,37,23,52,25,1
"command-a-03-2025",-2.21516850990354,38,30,52,31,1
"o3-mini",-2.47036991333241,39,31,52,31,1
"amazon-nova-experimental-",-5.12073484292622,43,39,52,41,1
"gemma-3n-e4b-it",-6.969870808942,48,43,52,43,1
"claude-3-7-sonnet-2025021",-1.6115554379181,36,24,52,27,1
"claude-3-5-sonnet-2024102",-2.74557858023493,41,31,52,32,1
"llama-4-maverick-17b-128e",-6.89532842917586,47,43,52,43,1
"claude-3-7-sonnet-2025021.1",-2.5586031362741,40,31,52,31,1
"llama-4-scout-17b-16e-ins",-6.57400867359116,45,43,52,43,1
"llama-3.3-70b-instruct",-7.06636809761054,49,43,52,43,1
"amazon.nova-pro-v1:0",-9.26752505402232,52,45,52,47,1
"mistral-small-3.1-24b-ins",-8.85122752788817,50,45,52,45,1
"magistral-medium-2506",-6.57873399032868,46,43,52,43,1
"claude-3-5-haiku-20241022",-9.17096981592673,51,45,52,47,1
"gpt-4o-mini-2024-07-18",-5.4312580317358,44,40,52,43,1
