"method","theta_hat","rank","ci_two_left","ci_two_right","ci_left","ci_uniform_left"
"gemini-2.5-pro",8.39335871688785,1,1,21,1,1
"gemini-2.5-pro-preview-03",7.49733333470552,2,1,23,1,1
"grok-4-0709",6.15452573832328,3,1,31,1,1
"o3-2025-04-16",4.40054947472224,8,3,52,3,3
"chatgpt-4o-latest-2025032",6.09333010382231,4,1,34,1,1
"gemini-2.5-pro-preview-05",4.49163522235246,6,3,52,3,2
"deepseek-r1-0528",3.65690772400957,11,5,52,6,3
"grok-3-preview-02-24",5.63674709514115,5,2,35,2,1
"llama-4-maverick-03-26-ex",4.38773571231705,9,3,52,3,3
"gemini-2.5-flash",4.00486231965505,10,3,52,5,3
"qwen3-235b-a22b-no-thinki",2.47139934425707,18,6,52,7,5
"gemini-2.5-flash-preview-",2.90874883943988,15,6,52,6,3
"gemini-2.0-flash-thinking",2.89159163433481,16,6,52,6,3
"kimi-k2-0711-preview",2.64673559160267,17,6,52,6,5
"gpt-4.1-2025-04-14",2.45220059872001,19,6,52,8,5
"deepseek-v3-0324",1.41281842431372,24,11,52,13,5
"o4-mini-2025-04-16",0.986069471165415,26,14,52,15,5
"mistral-medium-2505",1.46724747037056,22,11,52,13,5
"gemini-2.5-flash-lite-pre",1.86933832152814,20,10,52,11,5
"qwen-max-2025-01-25",0.622444181574133,29,15,52,17,5
"hunyuan-turbos-20250416",1.45006633672617,23,11,52,13,5
"qwen3-235b-a22b",1.84612508671669,21,10,52,11,5
"minimax-m1",-0.995212701547539,33,22,52,26,2
"claude-opus-4-20250514-th",3.12250823873106,14,6,52,6,3
"qwen3-235b-a22b-instruct-",4.4320736240537,7,2,52,3,3
"gemma-3-27b-it",0.237659503263645,30,17,52,20,5
"claude-opus-4-20250514",3.43030723598248,13,5,52,6,3
"grok-3-mini-beta",0.856299517582912,27,14,52,15,5
"grok-3-mini-high",-0.376789932838815,31,20,52,22,3
"gpt-4o-2024-11-20",0.661071957264973,28,14,52,17,5
"claude-sonnet-4-20250514-",3.64709686074628,12,3,52,5,3
"gemini-2.0-flash-001",-1.0511513612558,34,22,52,25,2
"mistral-small-2506",-1.58584328750762,35,26,52,28,1
"gpt-4.1-mini-2025-04-14",-0.797120821810495,32,22,52,25,2
"qwq-32b",-3.05321491852426,42,32,52,33,1
"claude-sonnet-4-20250514",1.16038225768134,25,13,52,14,5
"qwen3-30b-a3b",-1.66141648004145,36,26,52,29,1
"command-a-03-2025",-2.07293894701453,38,30,52,31,1
"o3-mini",-2.40657175155157,39,31,52,31,1
"amazon-nova-experimental-",-5.33713887137227,43,42,52,43,1
"gemma-3n-e4b-it",-7.16072228804083,48,43,52,43,1
"claude-3-7-sonnet-2025021",-1.7100411374558,37,28,52,30,1
"claude-3-5-sonnet-2024102",-2.72254793960692,41,31,52,32,1
"llama-4-maverick-17b-128e",-7.05975888588288,47,43,52,43,1
"claude-3-7-sonnet-2025021.1",-2.45993130713022,40,31,52,31,1
"llama-4-scout-17b-16e-ins",-6.71836512922407,45,43,52,43,1
"llama-3.3-70b-instruct",-7.2345716028685,49,43,52,43,1
"amazon.nova-pro-v1:0",-9.66096605514425,52,47,52,50,1
"mistral-small-3.1-24b-ins",-9.2565769202779,50,45,52,47,1
"magistral-medium-2506",-6.76753294933792,46,43,52,43,1
"claude-3-5-haiku-20241022",-9.5537795117472,51,47,52,48,1
"gpt-4o-mini-2024-07-18",-5.64697713781127,44,42,52,43,1
