"method","theta_hat","rank","ci_two_left","ci_two_right","ci_left","ci_uniform_left"
"gemini-2.5-pro",7.95447711587863,1,1,19,1,1
"gemini-2.5-pro-preview-03",7.43561125015128,2,1,22,1,1
"grok-4-0709",5.74901786910942,3,1,33,1,1
"o3-2025-04-16",3.74984346607879,11,3,52,4,3
"chatgpt-4o-latest-2025032",4.61274512940923,6,3,49,3,1
"gemini-2.5-pro-preview-05",4.37987873186877,7,3,52,3,2
"deepseek-r1-0528",3.54260348390361,12,3,52,5,3
"grok-3-preview-02-24",5.73379438047267,4,1,33,1,1
"llama-4-maverick-03-26-ex",4.10892206058302,8,3,52,3,2
"gemini-2.5-flash",3.80741970328156,10,3,52,3,3
"qwen3-235b-a22b-no-thinki",2.24875803052365,18,6,52,8,3
"gemini-2.5-flash-preview-",2.96756403792063,16,5,52,5,3
"gemini-2.0-flash-thinking",3.19102817733231,15,5,52,5,3
"kimi-k2-0711-preview",2.4824184701213,17,5,52,7,3
"gpt-4.1-2025-04-14",2.15409792342442,19,7,52,8,3
"deepseek-v3-0324",0.762609943768171,26,14,52,17,3
"o4-mini-2025-04-16",-0.189168964088561,30,18,52,20,3
"mistral-medium-2505",1.03032171840869,24,12,52,14,3
"gemini-2.5-flash-lite-pre",1.65485280046244,20,9,52,11,3
"qwen-max-2025-01-25",0.836621710515813,25,14,52,16,3
"hunyuan-turbos-20250416",0.319768650270601,29,17,52,17,3
"qwen3-235b-a22b",1.46259638939003,21,9,52,12,3
"minimax-m1",-0.786874808003738,34,20,52,21,2
"claude-opus-4-20250514-th",3.21299070869376,14,5,52,5,3
"qwen3-235b-a22b-instruct-",4.74904174649186,5,1,52,2,1
"gemma-3-27b-it",0.466757512719784,28,16,52,17,3
"claude-opus-4-20250514",3.31301955462592,13,5,52,5,3
"grok-3-mini-beta",0.671156642046488,27,13,52,16,3
"grok-3-mini-high",-0.284357491141483,31,19,52,20,3
"gpt-4o-2024-11-20",1.36172754075699,22,10,52,13,3
"claude-sonnet-4-20250514-",4.0275201333917,9,3,52,3,2
"gemini-2.0-flash-001",-0.569307551918635,33,17,52,19,3
"mistral-small-2506",-1.34042585345439,35,21,52,22,1
"gpt-4.1-mini-2025-04-14",-0.566404301591174,32,20,52,20,3
"qwq-32b",-3.43841576317571,42,35,52,35,1
"claude-sonnet-4-20250514",1.1693311284617,23,12,52,14,3
"qwen3-30b-a3b",-1.44180891196262,36,21,52,23,1
"command-a-03-2025",-2.27632583122002,38,29,52,30,1
"o3-mini",-2.74105255422164,40,30,52,32,1
"amazon-nova-experimental-",-5.12654286490461,44,40,52,41,1
"gemma-3n-e4b-it",-6.58626973619934,48,42,52,43,1
"claude-3-7-sonnet-2025021",-1.53427242666752,37,25,52,27,1
"claude-3-5-sonnet-2024102",-2.76948012515935,41,31,52,32,1
"llama-4-maverick-17b-128e",-6.48521936732896,47,42,52,43,1
"claude-3-7-sonnet-2025021.1",-2.43860758047271,39,30,52,30,1
"llama-4-scout-17b-16e-ins",-6.25657123330633,46,42,52,43,1
"llama-3.3-70b-instruct",-6.65907830395344,49,42,52,43,1
"amazon.nova-pro-v1:0",-9.01351324745986,52,45,52,47,1
"mistral-small-3.1-24b-ins",-8.55247332683662,50,45,52,45,1
"magistral-medium-2506",-6.23116756116884,45,42,52,43,1
"claude-3-5-haiku-20241022",-8.82344091327195,51,45,52,47,1
"gpt-4o-mini-2024-07-18",-5.04571729255575,43,38,52,40,1
