"method","theta_hat","rank","ci_two_left","ci_two_right","ci_left","ci_uniform_left"
"gemini-2.5-pro",9.30622018591727,1,1,23,1,1
"gemini-2.5-pro-preview-03",8.88969339487035,2,1,28,1,1
"grok-4-0709",7.65770371040987,3,1,31,1,1
"o3-2025-04-16",4.66513390866282,8,5,52,5,3
"chatgpt-4o-latest-2025032",7.44292734978807,4,1,44,1,1
"gemini-2.5-pro-preview-05",6.03656931100881,5,3,52,3,2
"deepseek-r1-0528",3.56572664156206,10,6,52,7,3
"grok-3-preview-02-24",5.90181510609392,6,3,52,3,2
"llama-4-maverick-03-26-ex",4.79205540916338,7,5,52,5,3
"gemini-2.5-flash",3.55842480560877,11,6,52,7,3
"qwen3-235b-a22b-no-thinki",1.91639535404681,15,9,52,9,3
"gemini-2.5-flash-preview-",2.56867852469571,12,7,52,8,3
"gemini-2.0-flash-thinking",4.14043167222966,9,4,52,5,3
"kimi-k2-0711-preview",1.75296434360879,16,9,52,10,3
"gpt-4.1-2025-04-14",1.69011447454363,17,9,52,10,3
"deepseek-v3-0324",1.18485911512739,21,10,52,10,3
"o4-mini-2025-04-16",0.695600835178062,26,12,52,12,3
"mistral-medium-2505",0.954174684693509,24,10,52,12,3
"gemini-2.5-flash-lite-pre",1.45329806371499,19,10,52,10,3
"qwen-max-2025-01-25",0.842288435099563,25,10,52,12,3
"hunyuan-turbos-20250416",1.16995409626245,22,10,52,10,3
"qwen3-235b-a22b",1.14713245597839,23,10,52,12,3
"minimax-m1",-0.318406002756745,31,12,52,12,1
"claude-opus-4-20250514-th",2.05099112870847,13,8,52,9,3
"qwen3-235b-a22b-instruct-",1.21061945778906,20,10,52,10,3
"gemma-3-27b-it",-0.39175741654479,33,13,52,14,1
"claude-opus-4-20250514",1.99377467507191,14,9,52,9,3
"grok-3-mini-beta",0.52397232815316,27,12,52,12,3
"grok-3-mini-high",-0.213525893725212,30,12,52,13,1
"gpt-4o-2024-11-20",0.363996228043531,29,12,52,12,3
"claude-sonnet-4-20250514-",1.61367674164634,18,9,52,10,3
"gemini-2.0-flash-001",-1.71314212741094,36,24,52,26,1
"mistral-small-2506",-0.568526459329368,34,12,52,12,1
"gpt-4.1-mini-2025-04-14",-0.340067081044793,32,12,52,12,1
"qwq-32b",-3.56616334899801,40,35,52,36,1
"claude-sonnet-4-20250514",0.403705221176045,28,12,52,12,3
"qwen3-30b-a3b",-0.807558688193621,35,12,52,13,1
"command-a-03-2025",-2.39729959610756,37,28,52,30,1
"o3-mini",-3.73496726392113,41,35,52,36,1
"amazon-nova-experimental-",-4.88515529439694,44,37,52,37,1
"gemma-3n-e4b-it",-5.95334654008331,48,37,52,38,1
"claude-3-7-sonnet-2025021",-2.65068545499572,38,30,52,30,1
"claude-3-5-sonnet-2024102",-4.12028484117513,42,36,52,36,1
"llama-4-maverick-17b-128e",-5.84724599080455,46,37,52,39,1
"claude-3-7-sonnet-2025021.1",-3.13941949707633,39,30,52,34,1
"llama-4-scout-17b-16e-ins",-5.75316764307824,45,37,52,39,1
"llama-3.3-70b-instruct",-6.00354045892925,49,37,52,39,1
"amazon.nova-pro-v1:0",-8.86767850697025,52,45,52,50,1
"mistral-small-3.1-24b-ins",-8.86767850298818,51,45,52,49,1
"magistral-medium-2506",-5.84836908866719,47,37,52,38,1
"claude-3-5-haiku-20241022",-8.86767849635139,50,45,52,48,1
"gpt-4o-mini-2024-07-18",-4.63723346530412,43,36,52,36,1
