"method","theta_hat","rank","ci_two_left","ci_two_right","ci_left","ci_uniform_left"
"gemini-2.5-pro",8.20485427046673,1,1,22,1,1
"gemini-2.5-pro-preview-03",7.56368586770572,2,1,23,1,1
"grok-4-0709",5.91465482950781,4,1,34,2,1
"o3-2025-04-16",4.34299305651987,9,3,52,3,3
"chatgpt-4o-latest-2025032",6.1016884416203,3,1,34,1,1
"gemini-2.5-pro-preview-05",4.6576509816199,6,3,52,3,2
"deepseek-r1-0528",3.63984208368728,12,6,52,6,3
"grok-3-preview-02-24",5.8279329074295,5,1,34,2,1
"llama-4-maverick-03-26-ex",4.52948624188287,8,3,52,3,2
"gemini-2.5-flash",4.14514821546662,10,3,52,4,3
"qwen3-235b-a22b-no-thinki",2.49506320179601,19,6,52,9,4
"gemini-2.5-flash-preview-",3.31233537790765,14,6,52,6,3
"gemini-2.0-flash-thinking",3.24410727031366,15,6,52,6,3
"kimi-k2-0711-preview",2.81121744167128,17,6,52,6,4
"gpt-4.1-2025-04-14",2.64811949541865,18,6,52,9,4
"deepseek-v3-0324",1.69057680478763,22,11,52,12,6
"o4-mini-2025-04-16",1.13989257168796,26,13,52,15,6
"mistral-medium-2505",1.65115040654992,24,11,52,12,6
"gemini-2.5-flash-lite-pre",2.28313973211021,20,9,52,10,5
"qwen-max-2025-01-25",0.824453746425972,28,17,52,17,6
"hunyuan-turbos-20250416",1.65913741569511,23,11,52,12,6
"qwen3-235b-a22b",1.80496699612084,21,11,52,12,6
"minimax-m1",-1.19912638801999,34,26,52,28,1
"claude-opus-4-20250514-th",3.20054318022899,16,6,52,6,3
"qwen3-235b-a22b-instruct-",4.55607991124624,7,2,52,3,2
"gemma-3-27b-it",0.601952925253124,29,17,52,18,5
"claude-opus-4-20250514",3.56175715957103,13,6,52,6,3
"grok-3-mini-beta",1.09102100243589,27,14,52,16,6
"grok-3-mini-high",-0.373088987000006,30,21,52,22,3
"gpt-4o-2024-11-20",-0.575005906804218,31,21,52,22,3
"claude-sonnet-4-20250514-",3.82075779370448,11,3,52,3,3
"gemini-2.0-flash-001",-0.751707051012236,32,21,52,22,2
"mistral-small-2506",-2.9345218120962,41,31,52,32,1
"gpt-4.1-mini-2025-04-14",-1.08867299897576,33,26,52,28,1
"qwq-32b",-3.20117227571559,42,31,52,33,1
"claude-sonnet-4-20250514",1.46567343372435,25,12,52,14,6
"qwen3-30b-a3b",-2.14240106032308,37,30,52,30,1
"command-a-03-2025",-1.83098343583862,36,29,52,30,1
"o3-mini",-2.21602361729157,38,30,52,30,1
"amazon-nova-experimental-",-5.63482688280074,43,42,52,43,1
"gemma-3n-e4b-it",-7.46533900714689,48,43,52,43,1
"claude-3-7-sonnet-2025021",-1.42941342121993,35,28,52,29,1
"claude-3-5-sonnet-2024102",-2.37755475733191,40,30,52,30,1
"llama-4-maverick-17b-128e",-7.32799663202367,47,43,52,43,1
"claude-3-7-sonnet-2025021.1",-2.25996641495181,39,30,52,30,1
"llama-4-scout-17b-16e-ins",-6.77405492303469,45,43,52,43,1
"llama-3.3-70b-instruct",-7.48727331214629,49,43,52,43,1
"amazon.nova-pro-v1:0",-9.8984661143038,52,47,52,50,1
"mistral-small-3.1-24b-ins",-9.44686212479719,50,47,52,47,1
"magistral-medium-2506",-6.80746731904421,46,43,52,43,1
"claude-3-5-haiku-20241022",-9.76800745232045,51,47,52,48,1
"gpt-4o-mini-2024-07-18",-5.79995086835679,44,42,52,43,1
