"method","theta_hat","rank","ci_two_left","ci_two_right","ci_left","ci_uniform_left"
"gemini-2.5-pro",10.5086677296496,1,1,28,1,1
"gemini-2.5-pro-preview-03",10.3050766038288,2,1,29,1,1
"grok-4-0709",8.25701179527838,4,1,52,1,1
"o3-2025-04-16",6.18369806565433,7,4,52,5,3
"chatgpt-4o-latest-2025032",8.78854506169566,3,1,52,1,1
"gemini-2.5-pro-preview-05",7.06786544634791,5,3,52,3,2
"deepseek-r1-0528",4.48719566958827,11,7,52,7,3
"grok-3-preview-02-24",6.95720792667511,6,3,52,3,2
"llama-4-maverick-03-26-ex",6.01401464788651,8,4,52,5,3
"gemini-2.5-flash",4.85469414440388,10,5,52,7,3
"qwen3-235b-a22b-no-thinki",2.95761200467748,13,9,52,10,3
"gemini-2.5-flash-preview-",3.9306811524106,12,7,52,8,3
"gemini-2.0-flash-thinking",5.2337344987759,9,4,52,5,3
"kimi-k2-0711-preview",2.92929061887874,15,9,52,10,3
"gpt-4.1-2025-04-14",2.86303812313889,16,9,52,10,3
"deepseek-v3-0324",2.23591581458095,20,10,52,11,3
"o4-mini-2025-04-16",1.64882829987553,26,11,52,12,1
"mistral-medium-2505",1.87988980104183,24,11,52,12,2
"gemini-2.5-flash-lite-pre",2.70314143561642,18,9,52,10,3
"qwen-max-2025-01-25",1.79960886951528,25,11,52,12,1
"hunyuan-turbos-20250416",2.17674006153842,21,11,52,11,3
"qwen3-235b-a22b",2.11968892969449,22,11,52,11,3
"minimax-m1",-1.12760744027912,33,28,52,29,1
"claude-opus-4-20250514-th",2.85196929206779,17,9,52,10,3
"qwen3-235b-a22b-instruct-",2.05997719790155,23,11,52,11,3
"gemma-3-27b-it",1.27451614358216,28,12,52,13,1
"claude-opus-4-20250514",2.93916042282227,14,9,52,10,3
"grok-3-mini-beta",1.55597134387485,27,11,52,12,1
"grok-3-mini-high",0.737060639818061,30,12,52,13,1
"gpt-4o-2024-11-20",-1.11514752332296,32,26,52,28,1
"claude-sonnet-4-20250514-",2.40669163107777,19,10,52,11,3
"gemini-2.0-flash-001",-1.05557521573024,31,26,52,28,1
"mistral-small-2506",-2.99778480739628,37,31,52,31,1
"gpt-4.1-mini-2025-04-14",-1.42845922561962,34,28,52,29,1
"qwq-32b",-3.57664973188587,38,31,52,31,1
"claude-sonnet-4-20250514",0.85609671240006,29,12,52,13,1
"qwen3-30b-a3b",-3.60115078577242,39,31,52,31,1
"command-a-03-2025",-1.84436288699044,35,29,52,30,1
"o3-mini",-4.4449154217329,41,35,52,36,1
"amazon-nova-experimental-",-6.49730788168033,44,38,52,40,1
"gemma-3n-e4b-it",-8.64251519823065,49,42,52,42,1
"claude-3-7-sonnet-2025021",-2.00813720307228,36,29,52,31,1
"claude-3-5-sonnet-2024102",-5.94023432607562,42,38,52,38,1
"llama-4-maverick-17b-128e",-8.4718418158147,47,42,52,42,1
"claude-3-7-sonnet-2025021.1",-4.3128016880433,40,35,52,36,1
"llama-4-scout-17b-16e-ins",-8.1830324682183,45,42,52,42,1
"llama-3.3-70b-instruct",-8.632284205925,48,42,52,42,1
"amazon.nova-pro-v1:0",-10.6694121656043,50,45,52,45,1
"mistral-small-3.1-24b-ins",-10.6793408099434,51,45,52,45,1
"magistral-medium-2506",-8.29792638738759,46,42,52,42,1
"claude-3-5-haiku-20241022",-10.7351896396786,52,45,52,45,1
"gpt-4o-mini-2024-07-18",-6.32191325589341,43,38,52,38,1
