"method","theta_hat","rank","ci_two_left","ci_two_right","ci_left","ci_uniform_left"
"gemini-2.5-pro",7.86354960934641,1,1,24,1,1
"gemini-2.5-pro-preview-03",7.81121742272585,2,1,28,1,1
"grok-4-0709",5.3970260251316,4,1,41,3,1
"o3-2025-04-16",3.621029864711,15,4,52,4,3
"chatgpt-4o-latest-2025032",4.76172295483926,7,3,52,3,1
"gemini-2.5-pro-preview-05",4.83769907400655,6,3,52,3,1
"deepseek-r1-0528",3.70133136012436,13,4,52,4,3
"grok-3-preview-02-24",6.32667634488519,3,1,37,1,1
"llama-4-maverick-03-26-ex",4.50453693364617,9,3,52,3,1
"gemini-2.5-flash",4.21045920970754,11,3,52,4,3
"qwen3-235b-a22b-no-thinki",2.30529757738026,20,7,52,10,3
"gemini-2.5-flash-preview-",3.88810390411197,12,4,52,4,3
"gemini-2.0-flash-thinking",4.2121595671912,10,3,52,3,3
"kimi-k2-0711-preview",2.86276212794796,17,6,52,6,3
"gpt-4.1-2025-04-14",2.53291390506298,18,6,52,8,3
"deepseek-v3-0324",1.22130996925998,25,13,52,16,3
"o4-mini-2025-04-16",-0.978098802291363,32,22,52,22,1
"mistral-medium-2505",1.41319684219642,22,10,52,12,3
"gemini-2.5-flash-lite-pre",2.53081992985483,19,6,52,8,3
"qwen-max-2025-01-25",1.30323862581432,23,13,52,15,3
"hunyuan-turbos-20250416",0.417415365711638,29,16,52,17,3
"qwen3-235b-a22b",1.1131736458023,27,10,52,12,3
"minimax-m1",-1.1536226023104,35,22,52,24,1
"claude-opus-4-20250514-th",3.56983653777706,16,4,52,4,3
"qwen3-235b-a22b-instruct-",5.32719997743424,5,1,52,1,1
"gemma-3-27b-it",1.22648804454539,24,12,52,15,3
"claude-opus-4-20250514",3.66806925734614,14,4,52,4,3
"grok-3-mini-beta",1.20768262658733,26,10,52,12,3
"grok-3-mini-high",-0.487081159513163,31,21,52,22,1
"gpt-4o-2024-11-20",0.493431041204823,28,15,52,17,3
"claude-sonnet-4-20250514-",4.64166205850887,8,1,52,3,1
"gemini-2.0-flash-001",0.259844539824861,30,15,52,17,3
"mistral-small-2506",-5.30108922494138,42,37,52,41,1
"gpt-4.1-mini-2025-04-14",-1.0363992512888,33,22,52,23,1
"qwq-32b",-4.57105983391155,41,36,52,37,1
"claude-sonnet-4-20250514",1.87194433552549,21,10,52,12,3
"qwen3-30b-a3b",-2.36199004387732,40,28,52,30,1
"command-a-03-2025",-1.94973034322573,36,28,52,28,1
"o3-mini",-2.18648397227175,38,28,52,29,1
"amazon-nova-experimental-",-6.27358524480395,44,41,52,41,1
"gemma-3n-e4b-it",-7.25416940708245,49,41,52,41,1
"claude-3-7-sonnet-2025021",-1.14579230136035,34,22,52,23,1
"claude-3-5-sonnet-2024102",-2.25771262070861,39,28,52,30,1
"llama-4-maverick-17b-128e",-7.07311175248224,47,41,52,41,1
"claude-3-7-sonnet-2025021.1",-2.17396373535888,37,28,52,30,1
"llama-4-scout-17b-16e-ins",-6.3939559591378,46,41,52,41,1
"llama-3.3-70b-instruct",-7.22888916807319,48,41,52,41,1
"amazon.nova-pro-v1:0",-9.43971832243417,52,45,52,47,1
"mistral-small-3.1-24b-ins",-8.98840956151356,50,44,52,45,1
"magistral-medium-2506",-6.33590295786651,45,41,52,41,1
"claude-3-5-haiku-20241022",-9.19733710164799,51,44,52,47,1
"gpt-4o-mini-2024-07-18",-5.3136953121109,43,37,52,41,1
