"method","theta_hat","rank","ci_two_left","ci_two_right","ci_left","ci_uniform_left"
"gemini-2.5-pro",7.83297849198344,1,1,21,1,1
"gemini-2.5-pro-preview-03",7.37293362448002,2,1,22,1,1
"grok-4-0709",5.90888326629822,4,1,30,1,1
"o3-2025-04-16",3.93909701740343,11,4,52,6,3
"chatgpt-4o-latest-2025032",5.87123050978106,5,1,35,1,1
"gemini-2.5-pro-preview-05",4.78892570291708,6,3,42,3,2
"deepseek-r1-0528",3.56548046593218,14,6,52,6,3
"grok-3-preview-02-24",5.93714594032417,3,1,29,1,1
"llama-4-maverick-03-26-ex",4.54026234201335,8,3,44,3,2
"gemini-2.5-flash",4.03333626461896,10,3,52,6,3
"qwen3-235b-a22b-no-thinki",2.32340836651218,20,9,52,9,6
"gemini-2.5-flash-preview-",3.3992333429081,15,6,52,6,3
"gemini-2.0-flash-thinking",3.5950557395249,13,6,52,6,3
"kimi-k2-0711-preview",2.71042844646,17,7,52,9,6
"gpt-4.1-2025-04-14",2.54712985001441,18,8,52,9,6
"deepseek-v3-0324",1.66062075628551,22,12,52,13,6
"o4-mini-2025-04-16",0.837793028321126,28,17,52,17,6
"mistral-medium-2505",1.53158582573057,25,12,52,15,6
"gemini-2.5-flash-lite-pre",2.32591040332913,19,9,52,9,6
"qwen-max-2025-01-25",1.00825835711488,27,17,52,17,6
"hunyuan-turbos-20250416",1.55184909436997,23,12,52,15,6
"qwen3-235b-a22b",1.53631462464278,24,12,52,15,6
"minimax-m1",-1.16144412845501,34,27,52,29,1
"claude-opus-4-20250514-th",3.30014879090153,16,6,52,6,3
"qwen3-235b-a22b-instruct-",4.64426609143593,7,2,52,3,2
"gemma-3-27b-it",0.744374682722225,29,17,52,17,6
"claude-opus-4-20250514",3.69660673204198,12,6,52,6,3
"grok-3-mini-beta",1.13406128327317,26,15,52,17,6
"grok-3-mini-high",-0.638162131085346,32,26,52,26,3
"gpt-4o-2024-11-20",-0.214425740809117,30,19,52,21,3
"claude-sonnet-4-20250514-",4.03878568732838,9,3,52,3,3
"gemini-2.0-flash-001",-0.410962717007141,31,19,52,21,3
"mistral-small-2506",-3.64470403377341,41,36,52,36,1
"gpt-4.1-mini-2025-04-14",-1.02520248319684,33,26,52,28,2
"qwq-32b",-4.71617146697815,42,41,52,41,1
"claude-sonnet-4-20250514",1.80298754745631,21,12,52,13,6
"qwen3-30b-a3b",-2.05385357805299,38,30,52,30,1
"command-a-03-2025",-1.68560297042508,36,30,52,30,1
"o3-mini",-2.08747392040094,39,30,52,30,1
"amazon-nova-experimental-",-6.30902567939756,44,42,52,42,1
"gemma-3n-e4b-it",-7.20747441121133,49,42,52,42,1
"claude-3-7-sonnet-2025021",-1.25820602144265,35,28,52,30,1
"claude-3-5-sonnet-2024102",-2.1899044287384,40,30,52,30,1
"llama-4-maverick-17b-128e",-7.04340173762044,47,42,52,42,1
"claude-3-7-sonnet-2025021.1",-2.0317914748772,37,30,52,30,1
"llama-4-scout-17b-16e-ins",-6.45129878778056,45,42,52,42,1
"llama-3.3-70b-instruct",-7.1852361273023,48,42,52,42,1
"amazon.nova-pro-v1:0",-9.88906655186858,52,48,52,50,1
"mistral-small-3.1-24b-ins",-9.40955324865534,50,47,52,47,1
"magistral-medium-2506",-6.45611337160245,46,42,52,42,1
"claude-3-5-haiku-20241022",-9.60654164043611,51,47,52,48,1
"gpt-4o-mini-2024-07-18",-5.50347562500804,43,41,52,41,1
