"method","theta_hat","rank","ci_two_left","ci_two_right","ci_left","ci_uniform_left"
"gemini-2.5-pro",9.95069132854953,2,1,30,1,1
"gemini-2.5-pro-preview-03",10.1306807613559,1,1,32,1,1
"grok-4-0709",8.3956523557319,4,1,52,1,1
"o3-2025-04-16",5.61026410173177,9,5,52,5,3
"chatgpt-4o-latest-2025032",8.58030253832431,3,1,52,1,1
"gemini-2.5-pro-preview-05",7.52666286095994,5,3,52,3,1
"deepseek-r1-0528",4.08998794071316,12,7,52,7,3
"grok-3-preview-02-24",7.18851533863311,6,3,52,3,1
"llama-4-maverick-03-26-ex",6.08202833363075,7,3,52,5,3
"gemini-2.5-flash",4.42230726658833,10,7,52,7,3
"qwen3-235b-a22b-no-thinki",3.08113843123959,15,9,52,10,3
"gemini-2.5-flash-preview-",4.13663327330618,11,7,52,7,3
"gemini-2.0-flash-thinking",5.70756266554332,8,3,52,4,3
"kimi-k2-0711-preview",3.00591283983465,17,10,52,10,3
"gpt-4.1-2025-04-14",3.00036219289173,18,10,52,10,3
"deepseek-v3-0324",2.48447623495542,20,10,52,10,3
"o4-mini-2025-04-16",1.63644739167328,26,10,52,10,1
"mistral-medium-2505",1.9122349052805,25,10,52,10,1
"gemini-2.5-flash-lite-pre",3.03780978521641,16,10,52,10,3
"qwen-max-2025-01-25",2.00655638991874,24,10,52,10,1
"hunyuan-turbos-20250416",2.31324885754741,21,10,52,10,3
"qwen3-235b-a22b",2.05813885852877,23,10,52,10,2
"minimax-m1",-0.935287905478759,33,26,52,29,1
"claude-opus-4-20250514-th",3.13722135973865,14,9,52,10,3
"qwen3-235b-a22b-instruct-",2.27118101722918,22,10,52,10,3
"gemma-3-27b-it",0.98088352413664,29,13,52,13,1
"claude-opus-4-20250514",3.25024122218024,13,8,52,10,3
"grok-3-mini-beta",1.60087281406247,27,10,52,10,1
"grok-3-mini-high",-0.550212598510404,30,23,52,26,1
"gpt-4o-2024-11-20",-0.644010745987044,31,23,52,26,1
"claude-sonnet-4-20250514-",2.79406434394253,19,10,52,10,3
"gemini-2.0-flash-001",-0.646140230763294,32,23,52,26,1
"mistral-small-2506",-3.67463690393216,37,34,52,34,1
"gpt-4.1-mini-2025-04-14",-1.18937884350982,34,26,52,29,1
"qwq-32b",-5.15705038861847,41,37,52,37,1
"claude-sonnet-4-20250514",1.58305778045398,28,10,52,10,1
"qwen3-30b-a3b",-4.0385126299829,39,34,52,35,1
"command-a-03-2025",-1.59853952957865,35,29,52,29,1
"o3-mini",-4.33246131990049,40,35,52,36,1
"amazon-nova-experimental-",-7.57733141286438,44,41,52,41,1
"gemma-3n-e4b-it",-8.81430015839817,49,42,52,42,1
"claude-3-7-sonnet-2025021",-1.69291161667878,36,29,52,29,1
"claude-3-5-sonnet-2024102",-5.6818410279626,42,37,52,37,1
"llama-4-maverick-17b-128e",-8.55553970954427,47,42,52,42,1
"claude-3-7-sonnet-2025021.1",-3.68533602788424,38,34,52,35,1
"llama-4-scout-17b-16e-ins",-8.10979306327155,45,42,52,42,1
"llama-3.3-70b-instruct",-8.68909244226931,48,42,52,42,1
"amazon.nova-pro-v1:0",-10.7566657231933,50,44,52,45,1
"mistral-small-3.1-24b-ins",-10.7836025704012,52,44,52,45,1
"magistral-medium-2506",-8.18140050024431,46,42,52,42,1
"claude-3-5-haiku-20241022",-10.7701795658396,51,44,52,44,1
"gpt-4o-mini-2024-07-18",-5.91091179908476,43,37,52,37,1
