"method","theta_hat","rank","ci_two_left","ci_two_right","ci_left","ci_uniform_left"
"gemini-2.5-pro",7.84039194931938,1,1,29,1,1
"gemini-2.5-pro-preview-03",7.22074078960845,2,1,37,1,1
"grok-4-0709",5.03164254380007,5,2,52,2,1
"o3-2025-04-16",3.31390228419342,16,5,52,5,2
"chatgpt-4o-latest-2025032",4.28271171945866,9,3,52,4,1
"gemini-2.5-pro-preview-05",4.09039129915222,10,3,52,4,1
"deepseek-r1-0528",3.93889796919795,12,4,52,4,1
"grok-3-preview-02-24",6.56110687127633,3,1,37,1,1
"llama-4-maverick-03-26-ex",4.72148761549629,7,2,52,3,1
"gemini-2.5-flash",4.03218216490241,11,3,52,4,1
"qwen3-235b-a22b-no-thinki",1.2119256886602,24,13,52,14,3
"gemini-2.5-flash-preview-",3.71221822229224,13,4,52,5,2
"gemini-2.0-flash-thinking",4.89053081290753,6,2,52,2,1
"kimi-k2-0711-preview",2.65818768073109,17,5,52,7,3
"gpt-4.1-2025-04-14",1.76352881713743,20,8,52,11,3
"deepseek-v3-0324",1.35119773843329,23,10,52,13,3
"o4-mini-2025-04-16",-1.95991091396445,39,25,52,26,1
"mistral-medium-2505",-0.381336689853418,28,18,52,19,1
"gemini-2.5-flash-lite-pre",1.84807210974923,19,9,52,11,3
"qwen-max-2025-01-25",1.39496497418788,22,11,52,13,3
"hunyuan-turbos-20250416",0.539704151401621,26,13,52,15,2
"qwen3-235b-a22b",-1.31479063089942,34,22,52,24,1
"minimax-m1",-1.13463692819366,32,21,52,21,1
"claude-opus-4-20250514-th",3.32066943309726,15,5,52,5,2
"qwen3-235b-a22b-instruct-",6.16890592855192,4,1,52,1,1
"gemma-3-27b-it",1.43875742792524,21,10,52,13,3
"claude-opus-4-20250514",3.62613799439903,14,5,52,5,2
"grok-3-mini-beta",-0.965416945039172,30,21,52,21,1
"grok-3-mini-high",-0.492112649570531,29,19,52,19,1
"gpt-4o-2024-11-20",0.734569867125582,25,13,52,15,2
"claude-sonnet-4-20250514-",4.36994796941432,8,1,52,2,1
"gemini-2.0-flash-001",0.437547736703632,27,13,52,15,2
"mistral-small-2506",-4.73333580258141,43,36,52,40,1
"gpt-4.1-mini-2025-04-14",-1.17573390774474,33,21,52,24,1
"qwq-32b",-4.31489392586184,41,35,52,35,1
"claude-sonnet-4-20250514",2.21402081911665,18,7,52,8,3
"qwen3-30b-a3b",-1.81937327405439,37,25,52,25,1
"command-a-03-2025",-1.90622975665988,38,25,52,26,1
"o3-mini",-1.80811914234849,36,25,52,25,1
"amazon-nova-experimental-",-5.46431003144597,45,41,52,41,1
"gemma-3n-e4b-it",-6.25829358818165,48,41,52,41,1
"claude-3-7-sonnet-2025021",-0.989216823077417,31,21,52,21,1
"claude-3-5-sonnet-2024102",-1.65803764638166,35,25,52,25,1
"llama-4-maverick-17b-128e",-6.21466290423148,47,41,52,41,1
"claude-3-7-sonnet-2025021.1",-2.07651644118053,40,25,52,26,1
"llama-4-scout-17b-16e-ins",-5.56158673650415,46,41,52,41,1
"llama-3.3-70b-instruct",-6.32195735166714,49,41,52,41,1
"amazon.nova-pro-v1:0",-9.18788555611686,52,46,52,47,1
"mistral-small-3.1-24b-ins",-8.2829181883693,50,44,52,46,1
"magistral-medium-2506",-5.45192017474652,44,41,52,41,1
"claude-3-5-haiku-20241022",-8.60435286852649,51,44,52,47,1
"gpt-4o-mini-2024-07-18",-4.63679370103873,42,36,52,40,1
