"method","theta_hat","rank","ci_two_left","ci_two_right","ci_left","ci_uniform_left"
"gemini-2.5-pro",7.41821118664994,1,1,17,1,1
"gemini-2.5-pro-preview-03",6.51848512117323,2,1,19,1,1
"grok-4-0709",5.40147214245981,5,1,30,1,1
"o3-2025-04-16",3.60701698796365,9,4,52,5,2
"chatgpt-4o-latest-2025032",5.47732799056739,4,1,35,1,1
"gemini-2.5-pro-preview-05",3.91454714808551,8,3,50,4,2
"deepseek-r1-0528",3.43723461837426,14,6,52,6,3
"grok-3-preview-02-24",5.73607928178602,3,1,20,1,1
"llama-4-maverick-03-26-ex",4.43635846359563,7,3,36,3,1
"gemini-2.5-flash",3.6062536962255,10,4,52,6,2
"qwen3-235b-a22b-no-thinki",1.96901176349116,20,8,52,9,6
"gemini-2.5-flash-preview-",2.91069250495531,16,6,52,6,3
"gemini-2.0-flash-thinking",3.52631288342888,13,4,52,6,2
"kimi-k2-0711-preview",2.5170979124797,17,7,52,8,4
"gpt-4.1-2025-04-14",2.24879683902435,18,8,52,8,4
"deepseek-v3-0324",1.76542295548319,22,9,52,9,6
"o4-mini-2025-04-16",0.870046353487345,27,15,52,15,6
"mistral-medium-2505",1.24281441130938,25,11,52,15,6
"gemini-2.5-flash-lite-pre",2.02927248957525,19,8,52,9,6
"qwen-max-2025-01-25",1.00324762279753,26,15,52,16,6
"hunyuan-turbos-20250416",1.69463732420415,23,9,52,11,6
"qwen3-235b-a22b",1.27180249904299,24,14,52,15,6
"minimax-m1",-0.964728086938376,33,26,52,26,3
"claude-opus-4-20250514-th",2.97646976208505,15,6,52,6,3
"qwen3-235b-a22b-instruct-",4.62555620961549,6,1,52,2,1
"gemma-3-27b-it",0.801270324679527,28,17,52,17,6
"claude-opus-4-20250514",3.53800101882844,12,4,52,6,2
"grok-3-mini-beta",0.768227872839753,29,15,52,15,6
"grok-3-mini-high",-0.678913350893625,32,24,52,25,3
"gpt-4o-2024-11-20",-0.180412343452478,30,19,52,19,4
"claude-sonnet-4-20250514-",3.54563681906598,11,3,52,4,2
"gemini-2.0-flash-001",-0.416853681897319,31,19,52,22,4
"mistral-small-2506",-3.19777604287139,41,34,52,36,1
"gpt-4.1-mini-2025-04-14",-1.14463151354881,35,26,52,28,2
"qwq-32b",-4.6486198321232,42,41,52,41,1
"claude-sonnet-4-20250514",1.83846072948548,21,9,52,9,6
"qwen3-30b-a3b",-1.65009121566195,37,30,52,30,1
"command-a-03-2025",-1.37157311456567,36,27,52,30,2
"o3-mini",-1.77240650429951,39,30,52,30,1
"amazon-nova-experimental-",-5.77526801250121,44,41,52,42,1
"gemma-3n-e4b-it",-6.47826202594736,48,42,52,42,1
"claude-3-7-sonnet-2025021",-1.0130204646374,34,26,52,27,2
"claude-3-5-sonnet-2024102",-1.77133438487752,38,30,52,30,1
"llama-4-maverick-17b-128e",-6.399970675338,47,42,52,42,1
"claude-3-7-sonnet-2025021.1",-1.79055385792301,40,30,52,30,1
"llama-4-scout-17b-16e-ins",-5.81329008786651,46,41,52,42,1
"llama-3.3-70b-instruct",-6.507218777429,49,42,52,42,1
"amazon.nova-pro-v1:0",-9.96711521212619,52,50,52,50,1
"mistral-small-3.1-24b-ins",-9.01790473382323,50,47,52,50,1
"magistral-medium-2506",-5.80531655927688,45,41,52,42,1
"claude-3-5-haiku-20241022",-9.31865321758179,51,48,52,50,1
"gpt-4o-mini-2024-07-18",-5.01185123717949,43,41,52,41,1
