"method","theta_hat","rank","ci_two_left","ci_two_right","ci_left","ci_uniform_left"
"gemini-2.5-pro",10.2509967259441,1,1,28,1,1
"gemini-2.5-pro-preview-03",8.81360415294513,2,1,52,1,1
"grok-4-0709",7.25155063547314,3,1,44,1,1
"o3-2025-04-16",4.61369957720016,5,3,52,3,2
"chatgpt-4o-latest-2025032",5.04521561844994,4,3,52,3,2
"gemini-2.5-pro-preview-05",4.29246426674358,7,3,52,4,2
"deepseek-r1-0528",2.78032675519863,11,4,52,4,3
"grok-3-preview-02-24",4.38381214395018,6,3,52,3,2
"llama-4-maverick-03-26-ex",3.93764450823255,8,4,52,4,2
"gemini-2.5-flash",3.58591405934858,9,4,52,4,2
"qwen3-235b-a22b-no-thinki",2.06951675229321,14,4,52,5,3
"gemini-2.5-flash-preview-",2.23135096965126,13,4,52,5,3
"gemini-2.0-flash-thinking",3.08457237141312,10,3,52,4,2
"kimi-k2-0711-preview",1.84724159092792,17,5,52,5,3
"gpt-4.1-2025-04-14",1.0508015760692,24,8,52,9,2
"deepseek-v3-0324",0.837343228870647,25,8,52,9,2
"o4-mini-2025-04-16",1.12248491589649,23,7,52,8,2
"mistral-medium-2505",0.33491242702973,27,10,52,10,2
"gemini-2.5-flash-lite-pre",1.36737178023858,20,6,52,8,3
"qwen-max-2025-01-25",1.39048698878754,19,6,52,8,3
"hunyuan-turbos-20250416",1.39879325474059,18,6,52,8,3
"qwen3-235b-a22b",2.48116804205772,12,4,52,4,3
"minimax-m1",1.99615996608624,15,4,52,5,3
"claude-opus-4-20250514-th",1.99067959826571,16,4,52,5,3
"qwen3-235b-a22b-instruct-",0.825743972509802,26,8,52,9,2
"gemma-3-27b-it",-0.0422101135939048,31,10,52,11,1
"claude-opus-4-20250514",1.36118910363123,21,6,52,8,3
"grok-3-mini-beta",0.0723090278520857,30,10,52,11,2
"grok-3-mini-high",0.183798993631545,28,10,52,10,2
"gpt-4o-2024-11-20",0.118310089144167,29,10,52,11,2
"claude-sonnet-4-20250514-",1.19955661302493,22,6,52,8,2
"gemini-2.0-flash-001",-1.18228935212425,37,14,52,18,1
"mistral-small-2506",-1.11102868586381,36,13,52,17,1
"gpt-4.1-mini-2025-04-14",-1.0961165477556,34,13,52,17,1
"qwq-32b",-1.09791528707681,35,13,52,17,1
"claude-sonnet-4-20250514",-0.368240235693975,32,11,52,12,1
"qwen3-30b-a3b",-0.757702207131064,33,12,52,13,1
"command-a-03-2025",-2.08026509202614,40,18,52,23,1
"o3-mini",-1.3240943862284,38,14,52,18,1
"amazon-nova-experimental-",-4.92068568299644,45,39,52,39,1
"gemma-3n-e4b-it",-5.77024769338182,48,39,52,41,1
"claude-3-7-sonnet-2025021",-2.04825280758116,39,18,52,23,1
"claude-3-5-sonnet-2024102",-3.99207974686384,42,33,52,34,1
"llama-4-maverick-17b-128e",-4.58426270071232,43,34,52,39,1
"claude-3-7-sonnet-2025021.1",-3.95812935655028,41,33,52,34,1
"llama-4-scout-17b-16e-ins",-5.37229449369297,46,39,52,41,1
"llama-3.3-70b-instruct",-5.96880574308046,49,39,52,41,1
"amazon.nova-pro-v1:0",-8.46957225476821,50,46,52,48,1
"mistral-small-3.1-24b-ins",-8.78593374363134,52,47,52,49,1
"magistral-medium-2506",-5.49725117013575,47,39,52,41,1
"claude-3-5-haiku-20241022",-8.63616167686144,51,46,52,48,1
"gpt-4o-mini-2024-07-18",-4.85548072785772,44,39,52,39,1
