"method","theta_hat","rank","ci_two_left","ci_two_right","ci_left","ci_uniform_left"
"gemini-2.5-pro",7.84038534505822,1,1,18,1,1
"gemini-2.5-pro-preview-03",6.31794748061294,2,1,23,1,1
"grok-4-0709",5.12656103147866,3,1,34,1,1
"o3-2025-04-16",3.40772882177219,8,2,52,3,2
"chatgpt-4o-latest-2025032",3.97459873271799,5,2,52,2,1
"gemini-2.5-pro-preview-05",3.14345839772624,10,2,52,3,2
"deepseek-r1-0528",2.70479172869534,12,3,52,3,2
"grok-3-preview-02-24",4.15530361346459,4,1,52,2,1
"llama-4-maverick-03-26-ex",3.64821494503001,7,2,52,2,1
"gemini-2.5-flash",3.37231110101659,9,2,52,3,2
"qwen3-235b-a22b-no-thinki",2.11281752710036,17,3,52,4,3
"gemini-2.5-flash-preview-",2.25084354688932,15,3,52,4,3
"gemini-2.0-flash-thinking",1.9478718945867,19,4,52,4,3
"kimi-k2-0711-preview",2.16759691700813,16,3,52,4,3
"gpt-4.1-2025-04-14",1.50787998347466,20,4,52,5,3
"deepseek-v3-0324",0.780585168006448,26,7,52,10,3
"o4-mini-2025-04-16",1.01031704236635,25,5,52,8,3
"mistral-medium-2505",0.437559459224625,28,8,52,11,3
"gemini-2.5-flash-lite-pre",1.44152471791399,21,4,52,6,3
"qwen-max-2025-01-25",1.24471653158949,23,4,52,7,3
"hunyuan-turbos-20250416",1.19324470157608,24,4,52,7,3
"qwen3-235b-a22b",1.99464453293423,18,4,52,4,3
"minimax-m1",1.27226598843429,22,4,52,7,3
"claude-opus-4-20250514-th",2.50270154535279,13,3,52,4,2
"qwen3-235b-a22b-instruct-",3.82906049807723,6,1,52,2,1
"gemma-3-27b-it",-0.137198254453785,32,11,52,15,3
"claude-opus-4-20250514",2.43856466360603,14,3,52,4,2
"grok-3-mini-beta",0.171487271693815,30,10,52,12,3
"grok-3-mini-high",0.15987843527096,31,10,52,11,3
"gpt-4o-2024-11-20",0.310971132490129,29,10,52,11,3
"claude-sonnet-4-20250514-",2.72567253784858,11,3,52,3,2
"gemini-2.0-flash-001",-1.21996567257962,37,20,52,22,2
"mistral-small-2506",-1.73093705586723,39,22,52,26,2
"gpt-4.1-mini-2025-04-14",-0.995104434253107,36,18,52,20,3
"qwq-32b",-0.791609931516629,35,15,52,19,3
"claude-sonnet-4-20250514",0.616185438336985,27,8,52,11,3
"qwen3-30b-a3b",-0.530898437601876,33,13,52,17,3
"command-a-03-2025",-1.99773591065752,40,25,52,27,1
"o3-mini",-0.72661751087544,34,13,52,18,3
"amazon-nova-experimental-",-4.59850183867915,43,39,52,40,1
"gemma-3n-e4b-it",-5.79669213263012,48,41,52,43,1
"claude-3-7-sonnet-2025021",-1.40884303219107,38,20,52,24,2
"claude-3-5-sonnet-2024102",-2.35446784147855,41,27,52,29,1
"llama-4-maverick-17b-128e",-4.61386215321825,44,38,52,39,1
"claude-3-7-sonnet-2025021.1",-2.42606705874061,42,27,52,30,1
"llama-4-scout-17b-16e-ins",-5.2508216066322,46,40,52,42,1
"llama-3.3-70b-instruct",-5.96399616095936,49,41,52,43,1
"amazon.nova-pro-v1:0",-8.51172180347027,52,48,52,49,1
"mistral-small-3.1-24b-ins",-8.13653163973638,50,46,52,48,1
"magistral-medium-2506",-5.30257659945768,47,40,52,43,1
"claude-3-5-haiku-20241022",-8.40529610918524,51,47,52,48,1
"gpt-4o-mini-2024-07-18",-4.9082455471699,45,39,52,41,1
