"method","theta_hat","rank","ci_two_left","ci_two_right","ci_left","ci_uniform_left"
"gemini-2.5-pro",9.19619152325749,1,1,18,1,1
"gemini-2.5-pro-preview-03",7.71327232851986,2,1,20,1,1
"grok-4-0709",6.81134859710903,3,1,23,2,1
"o3-2025-04-16",4.55010800484658,6,5,45,5,2
"chatgpt-4o-latest-2025032",6.75154391637425,4,1,32,1,1
"gemini-2.5-pro-preview-05",4.3034326348589,8,5,52,5,2
"deepseek-r1-0528",2.9854895974717,11,5,52,5,3
"grok-3-preview-02-24",4.52079412273301,7,3,52,5,2
"llama-4-maverick-03-26-ex",4.58101359603078,5,3,46,5,2
"gemini-2.5-flash",3.97932431173035,9,5,52,5,3
"qwen3-235b-a22b-no-thinki",2.20509405998774,15,8,52,8,5
"gemini-2.5-flash-preview-",2.20694113313301,14,6,52,8,5
"gemini-2.0-flash-thinking",2.97430562202956,12,5,52,5,3
"kimi-k2-0711-preview",1.99214326904367,16,8,52,9,5
"gpt-4.1-2025-04-14",1.41893235463661,21,10,52,10,5
"deepseek-v3-0324",1.0791303562928,25,10,52,10,5
"o4-mini-2025-04-16",1.17787182308774,24,10,52,10,5
"mistral-medium-2505",0.563436998329067,27,10,52,13,5
"gemini-2.5-flash-lite-pre",1.46077019382922,20,10,52,10,5
"qwen-max-2025-01-25",1.33918940355748,22,10,52,10,5
"hunyuan-turbos-20250416",1.71089861297382,18,9,52,10,5
"qwen3-235b-a22b",3.03406796207236,10,5,52,5,3
"minimax-m1",2.48906669482521,13,5,52,5,5
"claude-opus-4-20250514-th",1.95459593846301,17,9,52,9,5
"qwen3-235b-a22b-instruct-",0.880891980409521,26,10,52,10,5
"gemma-3-27b-it",0.0497892459151643,30,13,52,14,3
"claude-opus-4-20250514",1.69480108984206,19,9,52,10,5
"grok-3-mini-beta",0.223231690198865,28,13,52,13,5
"grok-3-mini-high",0.0266374844596289,31,13,52,14,3
"gpt-4o-2024-11-20",0.0607957313699732,29,13,52,14,3
"claude-sonnet-4-20250514-",1.23719812705065,23,10,52,10,5
"gemini-2.0-flash-001",-1.04434337753608,36,20,52,21,2
"mistral-small-2506",-0.957595803135877,35,18,52,20,2
"gpt-4.1-mini-2025-04-14",-0.935329295835885,33,18,52,20,2
"qwq-32b",-1.35784986953941,37,21,52,24,1
"claude-sonnet-4-20250514",-0.0529046685009753,32,13,52,14,3
"qwen3-30b-a3b",-0.944244067155559,34,18,52,20,2
"command-a-03-2025",-1.77258241379316,39,23,52,26,1
"o3-mini",-1.50543787608612,38,22,52,25,1
"amazon-nova-experimental-",-5.24190895236724,45,41,52,41,1
"gemma-3n-e4b-it",-6.18512575396926,48,41,52,41,1
"claude-3-7-sonnet-2025021",-1.8853524393554,40,23,52,26,1
"claude-3-5-sonnet-2024102",-4.13569038906046,42,38,52,39,1
"llama-4-maverick-17b-128e",-4.86074940349207,43,40,52,41,1
"claude-3-7-sonnet-2025021.1",-3.71752062921518,41,36,52,37,1
"llama-4-scout-17b-16e-ins",-5.74610683871992,46,41,52,41,1
"llama-3.3-70b-instruct",-6.34344307302367,49,41,52,41,1
"amazon.nova-pro-v1:0",-9.00445015689661,50,49,52,50,1
"mistral-small-3.1-24b-ins",-9.33467542188384,52,50,52,50,1
"magistral-medium-2506",-5.89980753776454,47,41,52,41,1
"claude-3-5-haiku-20241022",-9.14609482190725,51,49,52,50,1
"gpt-4o-mini-2024-07-18",-5.10109561520063,44,41,52,41,1
