"method","theta_hat","rank","ci_two_left","ci_two_right","ci_left","ci_uniform_left"
"gemini-2.5-pro",7.34429501313,1,1,15,1,1
"gemini-2.5-pro-preview-03",5.96218808519392,2,1,19,1,1
"grok-4-0709",5.00800821844625,3,1,26,1,1
"o3-2025-04-16",2.884459172125,10,3,52,3,2
"chatgpt-4o-latest-2025032",3.4711307855201,7,2,52,3,1
"gemini-2.5-pro-preview-05",3.04911037578139,9,3,52,3,2
"deepseek-r1-0528",2.47993614605294,13,3,52,4,2
"grok-3-preview-02-24",3.97607973129919,4,1,45,2,1
"llama-4-maverick-03-26-ex",3.52589765617441,6,2,52,2,1
"gemini-2.5-flash",3.14403188782118,8,2,52,3,2
"qwen3-235b-a22b-no-thinki",1.9139027566391,18,4,52,4,3
"gemini-2.5-flash-preview-",2.09695097572461,15,4,52,4,3
"gemini-2.0-flash-thinking",2.06818960980447,16,4,52,4,3
"kimi-k2-0711-preview",1.93090782777563,17,4,52,4,3
"gpt-4.1-2025-04-14",1.14493364131438,23,5,52,8,3
"deepseek-v3-0324",0.540444219346729,28,8,52,11,4
"o4-mini-2025-04-16",0.794959221285083,25,6,52,9,4
"mistral-medium-2505",-0.0891725650662876,31,12,52,15,4
"gemini-2.5-flash-lite-pre",1.29499937138806,22,4,52,6,3
"qwen-max-2025-01-25",1.37830865053538,20,4,52,6,3
"hunyuan-turbos-20250416",1.00044089874388,24,5,52,8,4
"qwen3-235b-a22b",1.80509131388902,19,4,52,4,3
"minimax-m1",1.34670049013005,21,4,52,6,3
"claude-opus-4-20250514-th",2.51178616422261,12,3,52,4,2
"qwen3-235b-a22b-instruct-",3.72433575163709,5,1,52,1,1
"gemma-3-27b-it",-0.125537207905986,32,12,52,15,4
"claude-opus-4-20250514",2.38292061528621,14,3,52,4,2
"grok-3-mini-beta",0.0446920425545043,30,11,52,14,4
"grok-3-mini-high",0.211194007480294,29,10,52,14,4
"gpt-4o-2024-11-20",0.550045381686073,27,8,52,11,4
"claude-sonnet-4-20250514-",2.80091321118573,11,3,52,3,2
"gemini-2.0-flash-001",-1.04728681940576,37,20,52,22,3
"mistral-small-2506",-1.63145941610268,39,23,52,26,2
"gpt-4.1-mini-2025-04-14",-0.874302220165699,36,19,52,20,3
"qwq-32b",-0.735073359797408,35,15,52,19,3
"claude-sonnet-4-20250514",0.758020045141936,26,7,52,9,4
"qwen3-30b-a3b",-0.384340493948954,33,14,52,16,4
"command-a-03-2025",-1.87438832166881,40,25,52,28,2
"o3-mini",-0.600565069143404,34,14,52,17,4
"amazon-nova-experimental-",-4.46551342023956,44,39,52,41,1
"gemma-3n-e4b-it",-5.45735300805983,48,41,52,43,1
"claude-3-7-sonnet-2025021",-1.21545941404925,38,20,52,23,3
"claude-3-5-sonnet-2024102",-2.12410800211222,41,27,52,29,2
"llama-4-maverick-17b-128e",-4.18909374405716,43,37,52,39,1
"claude-3-7-sonnet-2025021.1",-2.21386079684142,42,27,52,29,1
"llama-4-scout-17b-16e-ins",-4.88216758663287,46,40,52,42,1
"llama-3.3-70b-instruct",-5.60779170334742,49,41,52,43,1
"amazon.nova-pro-v1:0",-8.29245874574678,52,48,52,50,1
"mistral-small-3.1-24b-ins",-7.82975386876335,50,47,52,48,1
"magistral-medium-2506",-4.91298133773324,47,40,52,42,1
"claude-3-5-haiku-20241022",-8.06599593127536,51,48,52,49,1
"gpt-4o-mini-2024-07-18",-4.52621023525177,45,39,52,41,1
