"method","theta_hat","rank","ci_two_left","ci_two_right","ci_left","ci_uniform_left"
"gemini-2.5-pro",7.42427010390967,1,1,14,1,1
"gemini-2.5-pro-preview-03",5.98423864182798,2,1,17,1,1
"grok-4-0709",5.4005344765924,3,1,20,1,1
"o3-2025-04-16",3.25408605813441,10,3,52,4,2
"chatgpt-4o-latest-2025032",4.90930908421636,4,1,28,1,1
"gemini-2.5-pro-preview-05",3.31263289879574,9,3,52,4,2
"deepseek-r1-0528",2.68132626032527,12,4,52,5,3
"grok-3-preview-02-24",4.2124463292815,5,2,32,2,1
"llama-4-maverick-03-26-ex",3.85849715454597,6,2,39,3,2
"gemini-2.5-flash",3.36056238230998,8,3,52,3,2
"qwen3-235b-a22b-no-thinki",2.03492970799103,19,5,52,6,4
"gemini-2.5-flash-preview-",2.12438149732139,15,5,52,6,4
"gemini-2.0-flash-thinking",2.11362247115966,16,5,52,5,4
"kimi-k2-0711-preview",2.04042968496053,18,5,52,6,4
"gpt-4.1-2025-04-14",1.44715654299492,20,7,52,8,5
"deepseek-v3-0324",0.876831907201461,26,11,52,11,5
"o4-mini-2025-04-16",0.964615860213319,25,10,52,11,5
"mistral-medium-2505",0.393154159087743,28,12,52,15,5
"gemini-2.5-flash-lite-pre",1.43671504398588,21,7,52,8,5
"qwen-max-2025-01-25",1.24302295338166,24,7,52,11,5
"hunyuan-turbos-20250416",1.41136282928022,23,7,52,8,5
"qwen3-235b-a22b",2.07190738112459,17,5,52,6,4
"minimax-m1",1.43520640486585,22,7,52,7,5
"claude-opus-4-20250514-th",2.52420800818679,14,5,52,5,3
"qwen3-235b-a22b-instruct-",3.53126380875807,7,2,52,2,2
"gemma-3-27b-it",-0.157814001095102,32,15,52,20,5
"claude-opus-4-20250514",2.66212740574599,13,4,52,5,3
"grok-3-mini-beta",0.238196060634952,30,14,52,15,5
"grok-3-mini-high",-0.048969297156626,31,15,52,20,5
"gpt-4o-2024-11-20",0.284738877775849,29,14,52,15,5
"claude-sonnet-4-20250514-",2.76039376291365,11,4,52,4,3
"gemini-2.0-flash-001",-1.14906660250823,37,24,52,25,4
"mistral-small-2506",-1.5503995322446,39,27,52,28,3
"gpt-4.1-mini-2025-04-14",-0.869816662856687,35,20,52,25,5
"qwq-32b",-1.08317297668945,36,20,52,24,4
"claude-sonnet-4-20250514",0.870695848604222,27,11,52,11,5
"qwen3-30b-a3b",-0.586699325234321,33,20,52,20,5
"command-a-03-2025",-1.76874775944545,40,28,52,28,3
"o3-mini",-0.845285559563985,34,20,52,20,5
"amazon-nova-experimental-",-4.8870763636592,44,43,52,43,1
"gemma-3n-e4b-it",-5.88846006070001,48,43,52,43,1
"claude-3-7-sonnet-2025021",-1.34086447976448,38,25,52,28,4
"claude-3-5-sonnet-2024102",-2.24653946726092,42,31,52,31,2
"llama-4-maverick-17b-128e",-4.6244256856858,43,41,52,41,1
"claude-3-7-sonnet-2025021.1",-2.18888199115101,41,31,52,31,2
"llama-4-scout-17b-16e-ins",-5.29834956082303,46,43,52,43,1
"llama-3.3-70b-instruct",-6.00023809176148,49,43,52,43,1
"amazon.nova-pro-v1:0",-8.90602637539147,52,50,52,50,1
"mistral-small-3.1-24b-ins",-8.47775539444864,50,48,52,50,1
"magistral-medium-2506",-5.37079805213,47,43,52,43,1
"claude-3-5-haiku-20241022",-8.68100226777544,51,50,52,50,1
"gpt-4o-mini-2024-07-18",-4.89247409878112,45,42,52,43,1
