"method","theta_hat","rank","ci_two_left","ci_two_right","ci_left","ci_uniform_left"
"gemini-2.5-pro",10.0262415457233,1,1,32,1,1
"gemini-2.5-pro-preview-03",9.08694080709243,2,1,52,1,1
"grok-4-0709",6.93607970236483,3,1,52,1,1
"o3-2025-04-16",4.46733050330321,5,3,52,3,1
"chatgpt-4o-latest-2025032",4.88553999545692,4,3,52,3,1
"gemini-2.5-pro-preview-05",4.39749561592156,6,3,52,3,1
"deepseek-r1-0528",2.52752499520449,13,4,52,4,2
"grok-3-preview-02-24",4.26988615980842,7,3,52,3,1
"llama-4-maverick-03-26-ex",4.05457254380048,8,3,52,4,1
"gemini-2.5-flash",3.73618433362962,9,4,52,4,2
"qwen3-235b-a22b-no-thinki",2.12793716978907,15,4,52,4,2
"gemini-2.5-flash-preview-",2.65999426421707,11,4,52,4,2
"gemini-2.0-flash-thinking",3.3066163173122,10,3,52,3,2
"kimi-k2-0711-preview",1.99175556487737,16,4,52,5,2
"gpt-4.1-2025-04-14",1.11396404253949,24,7,52,9,2
"deepseek-v3-0324",1.05245691029043,25,8,52,9,1
"o4-mini-2025-04-16",1.20443799494082,22,5,52,8,2
"mistral-medium-2505",0.096880111182104,30,10,52,11,1
"gemini-2.5-flash-lite-pre",1.77046145381436,18,4,52,5,2
"qwen-max-2025-01-25",1.68748936398352,19,4,52,5,2
"hunyuan-turbos-20250416",1.54305946833976,20,5,52,6,2
"qwen3-235b-a22b",2.62381763884797,12,4,52,4,2
"minimax-m1",2.34959311506744,14,4,52,4,2
"claude-opus-4-20250514-th",1.96709293233251,17,4,52,5,2
"qwen3-235b-a22b-instruct-",0.806847976111889,26,9,52,10,1
"gemma-3-27b-it",0.452837186339174,27,10,52,10,1
"claude-opus-4-20250514",1.26682228756322,21,6,52,8,2
"grok-3-mini-beta",0.109917491576624,29,10,52,11,1
"grok-3-mini-high",0.318366851331412,28,10,52,11,1
"gpt-4o-2024-11-20",-0.974002798452975,36,14,52,16,1
"claude-sonnet-4-20250514-",1.16594762461342,23,6,52,8,2
"gemini-2.0-flash-001",-0.7773612863637,33,14,52,15,1
"mistral-small-2506",-3.14403983385704,40,31,52,31,1
"gpt-4.1-mini-2025-04-14",-3.01810414982961,39,29,52,31,1
"qwq-32b",-0.725791539299495,32,11,52,14,1
"claude-sonnet-4-20250514",-0.299843108342866,31,11,52,11,1
"qwen3-30b-a3b",-0.831065034037819,34,11,52,14,1
"command-a-03-2025",-1.69402217421311,38,17,52,20,1
"o3-mini",-0.90754010516628,35,11,52,14,1
"amazon-nova-experimental-",-4.67403477697278,43,37,52,37,1
"gemma-3n-e4b-it",-5.58993074533004,48,39,52,39,1
"claude-3-7-sonnet-2025021",-1.67508730772,37,18,52,19,1
"claude-3-5-sonnet-2024102",-4.30208003066761,42,37,52,37,1
"llama-4-maverick-17b-128e",-4.80771814591146,44,37,52,39,1
"claude-3-7-sonnet-2025021.1",-4.12294230965389,41,35,52,37,1
"llama-4-scout-17b-16e-ins",-4.99613993626322,46,37,52,39,1
"llama-3.3-70b-instruct",-5.72526504945887,49,39,52,39,1
"amazon.nova-pro-v1:0",-8.33798810462893,50,48,52,48,1
"mistral-small-3.1-24b-ins",-8.76036547918375,52,48,52,49,1
"magistral-medium-2506",-5.10345757083534,47,37,52,39,1
"claude-3-5-haiku-20241022",-8.60606160242299,51,48,52,49,1
"gpt-4o-mini-2024-07-18",-4.93125087876329,45,37,52,39,1
