"method","theta_hat","rank","ci_two_left","ci_two_right","ci_left","ci_uniform_left"
"gemini-2.5-pro",7.49314950783413,1,1,14,1,1
"gemini-2.5-pro-preview-03",6.17773176882632,2,1,18,1,1
"grok-4-0709",5.164227380676,3,1,24,1,1
"o3-2025-04-16",3.48093890022318,9,3,52,3,2
"chatgpt-4o-latest-2025032",5.06508855502817,4,1,29,1,1
"gemini-2.5-pro-preview-05",3.35387184250139,10,3,52,3,2
"deepseek-r1-0528",2.63823150699055,13,5,52,5,3
"grok-3-preview-02-24",4.27079013246547,5,2,35,2,1
"llama-4-maverick-03-26-ex",3.95215231888233,6,2,43,3,1
"gemini-2.5-flash",3.55120013761803,8,3,52,3,2
"qwen3-235b-a22b-no-thinki",2.10372280928318,19,5,52,6,3
"gemini-2.5-flash-preview-",2.45587795343349,15,5,52,5,3
"gemini-2.0-flash-thinking",2.19786995103057,17,5,52,5,3
"kimi-k2-0711-preview",2.24531100982542,16,5,52,6,3
"gpt-4.1-2025-04-14",1.68635600052339,21,6,52,7,5
"deepseek-v3-0324",1.0841922280163,26,10,52,11,5
"o4-mini-2025-04-16",1.11962989517362,25,10,52,11,5
"mistral-medium-2505",0.59465512508801,28,11,52,12,5
"gemini-2.5-flash-lite-pre",1.74983423517865,20,6,52,7,5
"qwen-max-2025-01-25",1.27314767391299,24,7,52,11,5
"hunyuan-turbos-20250416",1.56662590179197,22,7,52,7,5
"qwen3-235b-a22b",2.1663854284903,18,5,52,6,3
"minimax-m1",1.52891698949554,23,6,52,7,5
"claude-opus-4-20250514-th",2.46004134974782,14,5,52,5,3
"qwen3-235b-a22b-instruct-",3.5551769284956,7,2,52,2,2
"gemma-3-27b-it",0.0591637003553283,30,16,52,19,5
"claude-opus-4-20250514",2.64215636952302,12,5,52,5,3
"grok-3-mini-beta",0.374466565550798,29,11,52,14,5
"grok-3-mini-high",-0.00794401330047823,31,14,52,20,5
"gpt-4o-2024-11-20",-1.00431275984293,35,24,52,25,3
"claude-sonnet-4-20250514-",2.69766893450312,11,3,52,5,3
"gemini-2.0-flash-001",-1.13282435331861,36,24,52,27,3
"mistral-small-2506",-2.40255478332185,42,30,52,32,1
"gpt-4.1-mini-2025-04-14",-1.20010728851774,37,25,52,27,3
"qwq-32b",-0.982814277419629,34,21,52,24,3
"claude-sonnet-4-20250514",0.906163352775384,27,11,52,11,5
"qwen3-30b-a3b",-0.651209349622142,32,20,52,23,5
"command-a-03-2025",-1.70635174640215,39,28,52,29,2
"o3-mini",-0.78097028075038,33,20,52,23,5
"amazon-nova-experimental-",-4.89174490999834,43,42,52,43,1
"gemma-3n-e4b-it",-5.9566480974421,48,43,52,43,1
"claude-3-7-sonnet-2025021",-1.28098824759422,38,25,52,27,3
"claude-3-5-sonnet-2024102",-2.22260375027358,41,30,52,31,1
"llama-4-maverick-17b-128e",-5.23631014300646,45,43,52,43,1
"claude-3-7-sonnet-2025021.1",-2.18121765573572,40,30,52,30,1
"llama-4-scout-17b-16e-ins",-5.33892993420053,46,43,52,43,1
"llama-3.3-70b-instruct",-6.03528330009662,49,43,52,43,1
"amazon.nova-pro-v1:0",-8.86960598030884,52,50,52,50,1
"mistral-small-3.1-24b-ins",-8.5346391161215,50,48,52,50,1
"magistral-medium-2506",-5.40963104694174,47,43,52,43,1
"claude-3-5-haiku-20241022",-8.73772111429925,51,50,52,50,1
"gpt-4o-mini-2024-07-18",-5.05033230472529,44,42,52,43,1
