"method","theta_hat","rank","ci_two_left","ci_two_right","ci_left","ci_uniform_left"
"gemini-2.5-pro",8.81413816793691,1,1,18,1,1
"gemini-2.5-pro-preview-03",7.64938179257739,2,1,20,1,1
"grok-4-0709",6.47079373455844,4,1,25,2,1
"o3-2025-04-16",4.43556320746964,7,4,43,5,2
"chatgpt-4o-latest-2025032",6.61590757841459,3,1,32,1,1
"gemini-2.5-pro-preview-05",4.40273215517751,8,3,52,4,2
"deepseek-r1-0528",2.77194293059994,12,5,52,5,4
"grok-3-preview-02-24",4.45651224301946,6,3,52,4,2
"llama-4-maverick-03-26-ex",4.68456203813612,5,3,43,3,2
"gemini-2.5-flash",4.0870832854638,9,5,52,5,3
"qwen3-235b-a22b-no-thinki",2.2591504582431,15,6,52,9,5
"gemini-2.5-flash-preview-",2.52469999018428,14,5,52,6,5
"gemini-2.0-flash-thinking",3.13474416884063,10,5,52,5,3
"kimi-k2-0711-preview",2.13512647110428,16,9,52,9,5
"gpt-4.1-2025-04-14",1.53956356750887,22,10,52,10,5
"deepseek-v3-0324",1.28942954882414,23,10,52,10,5
"o4-mini-2025-04-16",1.25788981900146,24,10,52,10,5
"mistral-medium-2505",0.4621094784187,27,12,52,14,5
"gemini-2.5-flash-lite-pre",1.78493735271819,19,10,52,10,5
"qwen-max-2025-01-25",1.55001570503037,21,10,52,10,5
"hunyuan-turbos-20250416",1.90458920788931,17,9,52,10,5
"qwen3-235b-a22b",3.13195611791612,11,5,52,5,3
"minimax-m1",2.69564110406497,13,5,52,5,4
"claude-opus-4-20250514-th",1.90065468076007,18,9,52,10,5
"qwen3-235b-a22b-instruct-",0.875087640596507,26,10,52,12,5
"gemma-3-27b-it",0.430617295448611,28,12,52,14,5
"claude-opus-4-20250514",1.68885788316994,20,10,52,10,5
"grok-3-mini-beta",0.275971344278608,29,13,52,15,5
"grok-3-mini-high",0.0412210408220446,31,14,52,15,5
"gpt-4o-2024-11-20",-0.958128397061747,33,19,52,23,2
"claude-sonnet-4-20250514-",1.21589534529618,25,10,52,10,5
"gemini-2.0-flash-001",-0.744484487957999,32,17,52,21,3
"mistral-small-2506",-1.78251635199216,40,26,52,27,1
"gpt-4.1-mini-2025-04-14",-1.73213535179269,39,26,52,27,1
"qwq-32b",-1.10160347134804,35,21,52,23,2
"claude-sonnet-4-20250514",0.124908456462522,30,14,52,15,5
"qwen3-30b-a3b",-1.05615162367342,34,21,52,23,2
"command-a-03-2025",-1.48358689007201,37,21,52,25,1
"o3-mini",-1.20991323201905,36,21,52,25,2
"amazon-nova-experimental-",-5.16162702385299,44,41,52,41,1
"gemma-3n-e4b-it",-6.10820574622058,48,41,52,41,1
"claude-3-7-sonnet-2025021",-1.58850248249569,38,23,52,25,1
"claude-3-5-sonnet-2024102",-4.35599095798179,42,41,52,41,1
"llama-4-maverick-17b-128e",-5.13462206462536,43,41,52,41,1
"claude-3-7-sonnet-2025021.1",-3.85151873580921,41,37,52,38,1
"llama-4-scout-17b-16e-ins",-5.50608826938375,46,41,52,41,1
"llama-3.3-70b-instruct",-6.2034496424619,49,41,52,41,1
"amazon.nova-pro-v1:0",-9.03935036825303,50,50,52,50,1
"mistral-small-3.1-24b-ins",-9.49565170147135,52,50,52,50,1
"magistral-medium-2506",-5.64460605811379,47,41,52,41,1
"claude-3-5-haiku-20241022",-9.26432658895442,51,50,52,50,1
"gpt-4o-mini-2024-07-18",-5.18922436439175,45,41,52,41,1
