"method","theta_hat","rank","ci_two_left","ci_two_right","ci_left","ci_uniform_left"
"gemini-2.5-pro",8.95197445050228,2,1,25,1,1
"gemini-2.5-pro-preview-03",9.19867383086743,1,1,27,1,1
"grok-4-0709",7.12324200150888,3,1,52,1,1
"o3-2025-04-16",3.39343024984098,10,4,52,4,3
"chatgpt-4o-latest-2025032",3.99092455822267,6,4,52,4,2
"gemini-2.5-pro-preview-05",5.40914742472447,4,3,52,3,1
"deepseek-r1-0528",2.02169015876062,16,5,52,5,3
"grok-3-preview-02-24",4.33652424457526,5,3,52,3,1
"llama-4-maverick-03-26-ex",3.73278090058301,7,4,52,4,3
"gemini-2.5-flash",3.66649275021528,8,4,52,4,3
"qwen3-235b-a22b-no-thinki",2.034493926164,15,5,52,5,3
"gemini-2.5-flash-preview-",2.84956040930535,11,4,52,4,3
"gemini-2.0-flash-thinking",3.62011720273967,9,3,52,4,3
"kimi-k2-0711-preview",1.73672548603559,18,5,52,5,3
"gpt-4.1-2025-04-14",0.950809752478845,24,6,52,7,3
"deepseek-v3-0324",0.745528981748826,25,7,52,10,3
"o4-mini-2025-04-16",1.00786604931547,23,5,52,7,3
"mistral-medium-2505",-0.180776898116555,31,11,52,12,1
"gemini-2.5-flash-lite-pre",1.91655069963321,17,5,52,5,3
"qwen-max-2025-01-25",1.68783829456122,20,5,52,5,3
"hunyuan-turbos-20250416",1.16233683087494,22,5,52,6,3
"qwen3-235b-a22b",2.41408520566837,12,4,52,5,3
"minimax-m1",2.31155237535182,13,4,52,5,3
"claude-opus-4-20250514-th",2.23359010230143,14,5,52,5,3
"qwen3-235b-a22b-instruct-",0.60063347269544,26,8,52,11,3
"gemma-3-27b-it",0.165695847168633,27,11,52,11,2
"claude-opus-4-20250514",1.42036294963653,21,5,52,6,3
"grok-3-mini-beta",0.130023582942327,29,10,52,11,2
"grok-3-mini-high",0.140615258695941,28,10,52,11,2
"gpt-4o-2024-11-20",-0.910257441785737,36,13,52,17,1
"claude-sonnet-4-20250514-",1.72321778113491,19,5,52,5,3
"gemini-2.0-flash-001",-0.823464474027528,35,13,52,15,1
"mistral-small-2506",-4.00825736411397,41,35,52,37,1
"gpt-4.1-mini-2025-04-14",-1.56731966427983,37,20,52,22,1
"qwq-32b",-0.661500999847155,32,11,52,12,1
"claude-sonnet-4-20250514",0.115297450712319,30,10,52,11,1
"qwen3-30b-a3b",-0.741775572497989,34,11,52,12,1
"command-a-03-2025",-1.82834190389909,39,19,52,22,1
"o3-mini",-0.708038665695337,33,11,52,12,1
"amazon-nova-experimental-",-4.74025800035749,44,37,52,39,1
"gemma-3n-e4b-it",-5.62221286911076,48,39,52,40,1
"claude-3-7-sonnet-2025021",-1.65511994650758,38,18,52,21,1
"claude-3-5-sonnet-2024102",-4.11152424444237,42,37,52,37,1
"llama-4-maverick-17b-128e",-4.74920062231957,45,37,52,39,1
"claude-3-7-sonnet-2025021.1",-3.07615240452457,40,31,52,32,1
"llama-4-scout-17b-16e-ins",-4.84155030547692,46,37,52,39,1
"llama-3.3-70b-instruct",-5.64240456395437,49,39,52,40,1
"amazon.nova-pro-v1:0",-8.23591612876708,50,48,52,48,1
"mistral-small-3.1-24b-ins",-8.70906995290131,52,48,52,50,1
"magistral-medium-2506",-4.91694625257171,47,37,52,39,1
"claude-3-5-haiku-20241022",-8.38297416264537,51,48,52,48,1
"gpt-4o-mini-2024-07-18",-4.67871979112338,43,37,52,39,1
