"method","theta_hat","rank","ci_two_left","ci_two_right","ci_left","ci_uniform_left"
"gemini-2.5-pro",9.34693545088505,1,1,21,1,1
"gemini-2.5-pro-preview-03",8.86891406502205,2,1,24,1,1
"grok-4-0709",7.3806310601559,3,1,35,1,1
"o3-2025-04-16",3.65583001855242,8,4,52,4,3
"chatgpt-4o-latest-2025032",4.21649606992125,6,4,52,4,3
"gemini-2.5-pro-preview-05",5.16590302320125,4,3,52,3,1
"deepseek-r1-0528",2.60690599608559,11,4,52,4,3
"grok-3-preview-02-24",4.45388573107488,5,3,52,4,2
"llama-4-maverick-03-26-ex",3.72915667974538,7,4,52,4,3
"gemini-2.5-flash",3.5972837217459,9,4,52,4,3
"qwen3-235b-a22b-no-thinki",1.99241669325619,15,5,52,5,3
"gemini-2.5-flash-preview-",2.36102167528825,12,4,52,5,3
"gemini-2.0-flash-thinking",3.27703788857153,10,3,52,4,3
"kimi-k2-0711-preview",1.66148861194613,17,5,52,6,3
"gpt-4.1-2025-04-14",0.924121690982998,24,7,52,9,3
"deepseek-v3-0324",0.618248313271772,26,7,52,10,3
"o4-mini-2025-04-16",1.00704368808415,23,7,52,7,3
"mistral-medium-2505",0.242384459457885,27,10,52,11,3
"gemini-2.5-flash-lite-pre",1.47968159777341,19,5,52,6,3
"qwen-max-2025-01-25",1.4050814804704,21,5,52,7,3
"hunyuan-turbos-20250416",1.13929556053238,22,6,52,7,3
"qwen3-235b-a22b",2.25471379593244,13,4,52,5,3
"minimax-m1",1.90154408180377,16,5,52,5,3
"claude-opus-4-20250514-th",2.20321156457797,14,5,52,5,3
"qwen3-235b-a22b-instruct-",0.730003920785611,25,7,52,10,3
"gemma-3-27b-it",-0.293236711439382,32,11,52,12,3
"claude-opus-4-20250514",1.45283505462299,20,5,52,7,3
"grok-3-mini-beta",0.116504158231514,29,10,52,11,3
"grok-3-mini-high",0.0824819673556565,30,10,52,11,3
"gpt-4o-2024-11-20",0.174430723425283,28,10,52,11,3
"claude-sonnet-4-20250514-",1.6392792707297,18,5,52,6,3
"gemini-2.0-flash-001",-1.23812067106766,38,15,52,19,1
"mistral-small-2506",-1.14614936579516,36,12,52,16,1
"gpt-4.1-mini-2025-04-14",-0.757311392242583,34,12,52,15,1
"qwq-32b",-1.11970936540823,35,13,52,17,1
"claude-sonnet-4-20250514",-0.0738579034673776,31,11,52,11,3
"qwen3-30b-a3b",-0.696836359874867,33,11,52,12,1
"command-a-03-2025",-2.18196666196065,40,22,52,25,1
"o3-mini",-1.22260100558992,37,13,52,17,1
"amazon-nova-experimental-",-4.74242737350691,45,39,52,39,1
"gemma-3n-e4b-it",-5.80637905943542,48,40,52,41,1
"claude-3-7-sonnet-2025021",-2.0377824715076,39,21,52,24,1
"claude-3-5-sonnet-2024102",-3.7937361930763,42,33,52,35,1
"llama-4-maverick-17b-128e",-4.5278381932433,43,35,52,39,1
"claude-3-7-sonnet-2025021.1",-3.13262007021039,41,30,52,33,1
"llama-4-scout-17b-16e-ins",-5.28715270122188,46,39,52,41,1
"llama-3.3-70b-instruct",-5.91330558233183,49,40,52,41,1
"amazon.nova-pro-v1:0",-8.39375809614984,50,46,52,48,1
"mistral-small-3.1-24b-ins",-8.72320787257004,52,48,52,49,1
"magistral-medium-2506",-5.3867748222383,47,39,52,41,1
"claude-3-5-haiku-20241022",-8.48370873542131,51,46,52,48,1
"gpt-4o-mini-2024-07-18",-4.72628740573075,44,39,52,39,1
