"method","theta_hat","rank","ci_two_left","ci_two_right","ci_left","ci_uniform_left"
"gemini-2.5-pro",10.1156331594252,1,1,23,1,1
"gemini-2.5-pro-preview-03",9.38253331952166,2,1,27,1,1
"grok-4-0709",7.56881047619854,3,1,36,1,1
"o3-2025-04-16",4.74811007643614,6,4,52,4,3
"chatgpt-4o-latest-2025032",5.26622719510027,4,3,52,4,2
"gemini-2.5-pro-preview-05",5.12086080193516,5,3,52,4,2
"deepseek-r1-0528",2.94574589912092,11,4,52,4,3
"grok-3-preview-02-24",4.65346517178459,7,4,52,4,3
"llama-4-maverick-03-26-ex",4.01831222979182,8,4,52,4,3
"gemini-2.5-flash",3.91221452944952,9,4,52,4,3
"qwen3-235b-a22b-no-thinki",2.11779642726098,15,6,52,8,3
"gemini-2.5-flash-preview-",2.5016365833508,12,5,52,6,3
"gemini-2.0-flash-thinking",3.2277797558165,10,4,52,4,3
"kimi-k2-0711-preview",1.87197222731485,17,8,52,8,3
"gpt-4.1-2025-04-14",1.20577924022687,23,8,52,10,3
"deepseek-v3-0324",0.690345342131817,26,10,52,10,3
"o4-mini-2025-04-16",1.08826771710147,24,9,52,10,3
"mistral-medium-2505",0.463297080117313,27,10,52,11,3
"gemini-2.5-flash-lite-pre",1.52252808566106,20,8,52,8,3
"qwen-max-2025-01-25",1.32645989488024,21,8,52,10,3
"hunyuan-turbos-20250416",1.22552779355052,22,8,52,10,3
"qwen3-235b-a22b",2.4737220901233,13,5,52,6,3
"minimax-m1",1.97356795129005,16,6,52,7,3
"claude-opus-4-20250514-th",2.15200874597979,14,6,52,8,3
"qwen3-235b-a22b-instruct-",0.77385549019996,25,10,52,10,3
"gemma-3-27b-it",-0.11072768344032,31,12,52,13,2
"claude-opus-4-20250514",1.53499508250017,19,8,52,9,3
"grok-3-mini-beta",0.257687766360421,28,11,52,12,3
"grok-3-mini-high",0.151372366934137,29,11,52,12,2
"gpt-4o-2024-11-20",-0.0555113822339397,30,12,52,12,2
"claude-sonnet-4-20250514-",1.549184846252,18,8,52,8,3
"gemini-2.0-flash-001",-1.38353254120578,37,18,52,22,1
"mistral-small-2506",-1.31835324585198,36,17,52,19,1
"gpt-4.1-mini-2025-04-14",-0.925965345973545,34,16,52,18,1
"qwq-32b",-1.27300356951358,35,17,52,18,1
"claude-sonnet-4-20250514",-0.305801100581766,32,12,52,14,1
"qwen3-30b-a3b",-0.912361548366841,33,14,52,17,1
"command-a-03-2025",-2.2812886277587,40,25,52,26,1
"o3-mini",-1.43356786135188,38,18,52,21,1
"amazon-nova-experimental-",-5.03671128454239,44,39,52,41,1
"gemma-3n-e4b-it",-6.20539801080185,48,41,52,41,1
"claude-3-7-sonnet-2025021",-2.19070098144506,39,25,52,27,1
"claude-3-5-sonnet-2024102",-4.23274015332957,42,35,52,39,1
"llama-4-maverick-17b-128e",-4.96888180572049,43,39,52,39,1
"claude-3-7-sonnet-2025021.1",-3.57735752758307,41,33,52,35,1
"llama-4-scout-17b-16e-ins",-5.73529214402259,46,41,52,41,1
"llama-3.3-70b-instruct",-6.33918599094028,49,41,52,41,1
"amazon.nova-pro-v1:0",-8.73017518320797,50,46,52,48,1
"mistral-small-3.1-24b-ins",-8.95133351478201,52,48,52,49,1
"magistral-medium-2506",-5.84404611672235,47,41,52,41,1
"claude-3-5-haiku-20241022",-8.85896865377593,51,47,52,48,1
"gpt-4o-mini-2024-07-18",-5.1687930726642,45,39,52,41,1
