"method","theta_hat","rank","ci_two_left","ci_two_right","ci_left","ci_uniform_left"
"gemini-2.5-pro",7.96572456302511,1,1,15,1,1
"gemini-2.5-pro-preview-03",6.96921640498156,2,1,18,1,1
"grok-4-0709",5.46014191440559,3,1,27,1,1
"o3-2025-04-16",3.59381762854159,9,3,52,3,2
"chatgpt-4o-latest-2025032",4.23614562263087,5,2,50,3,1
"gemini-2.5-pro-preview-05",3.69577162504677,8,3,52,3,2
"deepseek-r1-0528",2.78980025351935,12,3,52,4,3
"grok-3-preview-02-24",4.45347400966085,4,2,44,3,1
"llama-4-maverick-03-26-ex",3.70871771196041,7,3,52,3,2
"gemini-2.5-flash",3.58842259485757,10,3,52,3,2
"qwen3-235b-a22b-no-thinki",2.2121316598174,17,4,52,5,3
"gemini-2.5-flash-preview-",2.53995328214987,15,4,52,4,3
"gemini-2.0-flash-thinking",2.09421049916315,18,4,52,5,3
"kimi-k2-0711-preview",2.22506860426426,16,4,52,5,3
"gpt-4.1-2025-04-14",1.65655985857777,20,5,52,6,3
"deepseek-v3-0324",0.704416109827119,26,11,52,12,4
"o4-mini-2025-04-16",1.00710220368973,25,9,52,11,4
"mistral-medium-2505",0.687493997403109,27,11,52,12,4
"gemini-2.5-flash-lite-pre",1.62491746509014,21,6,52,6,3
"qwen-max-2025-01-25",1.22677497748706,23,6,52,11,3
"hunyuan-turbos-20250416",1.11350699796899,24,7,52,11,3
"qwen3-235b-a22b",2.0301989443257,19,4,52,5,3
"minimax-m1",1.2420074366253,22,6,52,11,3
"claude-opus-4-20250514-th",2.6498898906649,13,4,52,4,3
"qwen3-235b-a22b-instruct-",3.8375598116808,6,2,52,3,2
"gemma-3-27b-it",-0.157563598933182,32,15,52,18,3
"claude-opus-4-20250514",2.56494475672006,14,4,52,4,3
"grok-3-mini-beta",0.470833898962076,29,11,52,12,4
"grok-3-mini-high",0.0843553788229574,31,12,52,16,3
"gpt-4o-2024-11-20",0.219448398391574,30,12,52,16,3
"claude-sonnet-4-20250514-",3.10602627844501,11,3,52,3,3
"gemini-2.0-flash-001",-1.25850892415718,37,22,52,25,3
"mistral-small-2506",-1.92746689411345,39,26,52,30,1
"gpt-4.1-mini-2025-04-14",-0.957488160002869,36,20,52,22,3
"qwq-32b",-0.956748597743472,35,19,52,20,3
"claude-sonnet-4-20250514",0.626872326177987,28,11,52,12,4
"qwen3-30b-a3b",-0.71773699847151,33,18,52,20,3
"command-a-03-2025",-2.17445768565334,40,28,52,30,1
"o3-mini",-0.875486082118202,34,18,52,20,3
"amazon-nova-experimental-",-4.85677534948013,43,40,52,41,1
"gemma-3n-e4b-it",-6.20606227930912,48,43,52,43,1
"claude-3-7-sonnet-2025021",-1.55635488670141,38,24,52,26,2
"claude-3-5-sonnet-2024102",-2.60296307925658,42,31,52,33,1
"llama-4-maverick-17b-128e",-4.9146062113939,44,39,52,41,1
"claude-3-7-sonnet-2025021.1",-2.45582468475457,41,30,52,32,1
"llama-4-scout-17b-16e-ins",-5.59999820530613,46,42,52,43,1
"llama-3.3-70b-instruct",-6.32811567814429,49,43,52,43,1
"amazon.nova-pro-v1:0",-8.78539071403801,52,48,52,49,1
"mistral-small-3.1-24b-ins",-8.46363050272334,50,48,52,48,1
"magistral-medium-2506",-5.64973745282216,47,43,52,43,1
"claude-3-5-haiku-20241022",-8.71079596852952,51,48,52,48,1
"gpt-4o-mini-2024-07-18",-5.22979315123229,45,41,52,43,1
