"method","theta_hat","rank","ci_two_left","ci_two_right","ci_left","ci_uniform_left"
"gemini-2.5-pro",9.37204040853594,1,1,18,1,1
"gemini-2.5-pro-preview-03",8.42650457428365,2,1,20,1,1
"grok-4-0709",7.18973506483098,3,1,23,2,1
"o3-2025-04-16",4.68548010658472,7,5,42,5,3
"chatgpt-4o-latest-2025032",6.88173986611492,4,1,29,2,1
"gemini-2.5-pro-preview-05",5.05491591220866,5,4,37,4,3
"deepseek-r1-0528",3.06195888544966,11,5,52,6,5
"grok-3-preview-02-24",4.73318737548481,6,5,43,5,3
"llama-4-maverick-03-26-ex",4.56800269308247,8,5,43,5,3
"gemini-2.5-flash",4.15680236714291,9,5,52,5,3
"qwen3-235b-a22b-no-thinki",2.2216854811601,15,9,52,10,5
"gemini-2.5-flash-preview-",2.47772285406844,13,8,52,9,5
"gemini-2.0-flash-thinking",3.10245652713676,10,5,52,5,5
"kimi-k2-0711-preview",1.98764953001763,17,9,52,10,5
"gpt-4.1-2025-04-14",1.49361355507634,22,10,52,10,5
"deepseek-v3-0324",0.943781852841369,25,10,52,12,5
"o4-mini-2025-04-16",1.13706005787967,24,10,52,10,5
"mistral-medium-2505",0.671157149078013,27,12,52,13,5
"gemini-2.5-flash-lite-pre",1.57943050232092,19,10,52,10,5
"qwen-max-2025-01-25",1.2856084771609,23,10,52,10,5
"hunyuan-turbos-20250416",1.51533281603956,21,10,52,10,5
"qwen3-235b-a22b",2.96797740147087,12,5,52,5,5
"minimax-m1",2.4237142359964,14,5,52,5,5
"claude-opus-4-20250514-th",2.09797120193537,16,9,52,10,5
"qwen3-235b-a22b-instruct-",0.83369641213241,26,10,52,13,5
"gemma-3-27b-it",-0.021780844954252,30,14,52,16,4
"claude-opus-4-20250514",1.78859742576866,18,10,52,10,5
"grok-3-mini-beta",0.39503421968749,28,13,52,13,5
"grok-3-mini-high",0.0282007515701022,29,13,52,15,5
"gpt-4o-2024-11-20",-0.106323380951613,32,15,52,17,4
"claude-sonnet-4-20250514-",1.53312423430202,20,10,52,10,5
"gemini-2.0-flash-001",-1.25324092617542,36,23,52,25,2
"mistral-small-2506",-1.17857850281022,35,21,52,24,2
"gpt-4.1-mini-2025-04-14",-0.790561041997424,33,19,52,23,3
"qwq-32b",-1.49805487601442,37,24,52,25,1
"claude-sonnet-4-20250514",-0.02635546846785,31,14,52,16,4
"qwen3-30b-a3b",-1.08428466933547,34,20,52,24,2
"command-a-03-2025",-1.99824536790068,39,26,52,28,1
"o3-mini",-1.60446665962324,38,24,52,26,1
"amazon-nova-experimental-",-5.26545764671806,44,41,52,41,1
"gemma-3n-e4b-it",-6.55359754741416,48,41,52,42,1
"claude-3-7-sonnet-2025021",-2.05345001989567,40,26,52,28,1
"claude-3-5-sonnet-2024102",-4.33043955584597,42,39,52,40,1
"llama-4-maverick-17b-128e",-5.2016245408444,43,41,52,41,1
"claude-3-7-sonnet-2025021.1",-3.5206022655231,41,34,52,37,1
"llama-4-scout-17b-16e-ins",-6.05724528605229,46,41,52,41,1
"llama-3.3-70b-instruct",-6.66267200016442,49,41,52,42,1
"amazon.nova-pro-v1:0",-9.16949347970729,50,48,52,50,1
"mistral-small-3.1-24b-ins",-9.40284678119451,52,50,52,50,1
"magistral-medium-2506",-6.19425839399077,47,41,52,42,1
"claude-3-5-haiku-20241022",-9.27835774312739,51,48,52,50,1
"gpt-4o-mini-2024-07-18",-5.36224494065314,45,41,52,41,1
