"method","theta_hat","rank","ci_two_left","ci_two_right","ci_left","ci_uniform_left"
"gemini-2.5-pro",8.84544012270924,1,1,18,1,1
"gemini-2.5-pro-preview-03",8.04286390095476,2,1,18,1,1
"grok-4-0709",7.08957115715294,3,1,20,1,1
"o3-2025-04-16",3.99973331392797,8,5,46,5,3
"chatgpt-4o-latest-2025032",6.46601598597093,4,1,30,1,1
"gemini-2.5-pro-preview-05",5.07299892717879,5,3,35,4,2
"deepseek-r1-0528",2.8147338868597,11,6,52,6,4
"grok-3-preview-02-24",4.56877233056812,6,4,44,4,3
"llama-4-maverick-03-26-ex",4.39658528861246,7,4,43,5,3
"gemini-2.5-flash",3.9054723266938,9,5,52,5,3
"qwen3-235b-a22b-no-thinki",2.10850151760897,16,8,52,8,5
"gemini-2.5-flash-preview-",2.37337015946951,13,7,52,8,5
"gemini-2.0-flash-thinking",3.11617020222956,10,5,52,5,4
"kimi-k2-0711-preview",1.80830349402629,17,8,52,10,5
"gpt-4.1-2025-04-14",1.28559634584343,23,10,52,10,5
"deepseek-v3-0324",0.910861237972835,25,10,52,11,5
"o4-mini-2025-04-16",1.07355059136013,24,10,52,10,5
"mistral-medium-2505",0.533566323128568,27,11,52,13,5
"gemini-2.5-flash-lite-pre",1.53862706847774,20,10,52,10,5
"qwen-max-2025-01-25",1.32791628864043,22,10,52,10,5
"hunyuan-turbos-20250416",1.47748948197218,21,10,52,10,5
"qwen3-235b-a22b",2.80146584481458,12,5,52,5,4
"minimax-m1",2.33505380541845,14,5,52,6,5
"claude-opus-4-20250514-th",2.11195047208798,15,8,52,8,5
"qwen3-235b-a22b-instruct-",0.793198958910311,26,11,52,11,5
"gemma-3-27b-it",-0.171172805198752,32,15,52,17,4
"claude-opus-4-20250514",1.74170235840095,18,9,52,10,5
"grok-3-mini-beta",0.289739363480786,28,13,52,13,5
"grok-3-mini-high",-0.0949933016050153,31,15,52,15,5
"gpt-4o-2024-11-20",0.0453809619756527,30,13,52,15,5
"claude-sonnet-4-20250514-",1.59046882206716,19,10,52,10,5
"gemini-2.0-flash-001",-1.15401287558002,36,22,52,24,3
"mistral-small-2506",-1.07621546732693,35,19,52,22,3
"gpt-4.1-mini-2025-04-14",-0.685451192330307,33,17,52,19,3
"qwq-32b",-1.42445997556684,37,22,52,24,2
"claude-sonnet-4-20250514",0.150309925582143,29,13,52,13,5
"qwen3-30b-a3b",-0.934258154751843,34,18,52,20,3
"command-a-03-2025",-1.91447350264513,39,25,52,27,1
"o3-mini",-1.46023647493678,38,24,52,24,1
"amazon-nova-experimental-",-5.103993551591,45,41,52,41,1
"gemma-3n-e4b-it",-6.25678222581775,48,41,52,42,1
"claude-3-7-sonnet-2025021",-1.95734259639006,40,26,52,27,1
"claude-3-5-sonnet-2024102",-4.01145946925848,42,39,52,39,1
"llama-4-maverick-17b-128e",-4.87355973222851,43,39,52,41,1
"claude-3-7-sonnet-2025021.1",-3.18916226673873,41,34,52,35,1
"llama-4-scout-17b-16e-ins",-5.71544714468002,46,41,52,41,1
"llama-3.3-70b-instruct",-6.33727939455374,49,41,52,42,1
"amazon.nova-pro-v1:0",-8.98483402913585,50,49,52,50,1
"mistral-small-3.1-24b-ins",-9.3269416624309,52,50,52,50,1
"magistral-medium-2506",-5.84897802540459,47,41,52,42,1
"claude-3-5-haiku-20241022",-9.05696539922215,51,49,52,50,1
"gpt-4o-mini-2024-07-18",-5.037391216703,44,41,52,41,1
