"method","theta_hat","rank","ci_two_left","ci_two_right","ci_left","ci_uniform_left"
"gemini-2.5-pro",7.6230482218027,1,1,16,1,1
"gemini-2.5-pro-preview-03",6.90396330233088,2,1,18,1,1
"grok-4-0709",5.05617305991117,3,1,29,1,1
"o3-2025-04-16",3.36849217355845,10,3,52,3,2
"chatgpt-4o-latest-2025032",4.05149262723778,5,3,49,3,1
"gemini-2.5-pro-preview-05",3.68377151215708,8,3,52,3,2
"deepseek-r1-0528",2.56451099470484,14,3,52,4,3
"grok-3-preview-02-24",4.39959277422632,4,2,45,2,1
"llama-4-maverick-03-26-ex",3.68832768552832,7,3,52,3,2
"gemini-2.5-flash",3.6054785981445,9,3,52,3,2
"qwen3-235b-a22b-no-thinki",2.13836705499316,18,4,52,5,3
"gemini-2.5-flash-preview-",2.80824244745952,12,3,52,4,3
"gemini-2.0-flash-thinking",2.28349594958556,16,4,52,4,3
"kimi-k2-0711-preview",2.24026814852267,17,4,52,5,3
"gpt-4.1-2025-04-14",1.6377035497628,21,5,52,6,3
"deepseek-v3-0324",0.777230766652998,27,11,52,12,3
"o4-mini-2025-04-16",1.03836004179788,25,9,52,11,3
"mistral-medium-2505",0.643395576798324,28,11,52,12,3
"gemini-2.5-flash-lite-pre",1.88426045917387,20,5,52,6,3
"qwen-max-2025-01-25",1.37696791129848,23,6,52,10,3
"hunyuan-turbos-20250416",1.14410894669929,24,7,52,10,3
"qwen3-235b-a22b",1.96306131496926,19,4,52,5,3
"minimax-m1",1.38563139683017,22,6,52,9,3
"claude-opus-4-20250514-th",2.6035537271196,13,3,52,4,3
"qwen3-235b-a22b-instruct-",3.78392139096878,6,2,52,2,2
"gemma-3-27b-it",0.0707585997819811,31,13,52,16,3
"claude-opus-4-20250514",2.49106799247567,15,3,52,4,3
"grok-3-mini-beta",0.557819011202037,29,11,52,13,4
"grok-3-mini-high",0.163167106154139,30,13,52,16,3
"gpt-4o-2024-11-20",-0.90274127108704,35,21,52,22,3
"claude-sonnet-4-20250514-",3.15143923813061,11,3,52,3,3
"gemini-2.0-flash-001",-1.06989242733553,36,22,52,24,3
"mistral-small-2506",-3.22945601237888,42,32,52,35,1
"gpt-4.1-mini-2025-04-14",-1.18682551679943,37,22,52,25,3
"qwq-32b",-0.823130369933367,34,19,52,21,3
"claude-sonnet-4-20250514",0.793873186736226,26,11,52,12,3
"qwen3-30b-a3b",-0.660879613430287,32,19,52,21,3
"command-a-03-2025",-1.97703662795021,39,28,52,30,1
"o3-mini",-0.693582088617175,33,18,52,21,3
"amazon-nova-experimental-",-4.85294602787227,43,40,52,42,1
"gemma-3n-e4b-it",-6.00662011820066,48,42,52,42,1
"claude-3-7-sonnet-2025021",-1.34872897955198,38,24,52,26,3
"claude-3-5-sonnet-2024102",-2.41590975870792,41,30,52,32,1
"llama-4-maverick-17b-128e",-5.2459910315319,45,41,52,42,1
"claude-3-7-sonnet-2025021.1",-2.27374362294671,40,30,52,32,1
"llama-4-scout-17b-16e-ins",-5.32589985743582,46,41,52,42,1
"llama-3.3-70b-instruct",-6.06995418315463,49,42,52,42,1
"amazon.nova-pro-v1:0",-8.57595866791618,52,48,52,50,1
"mistral-small-3.1-24b-ins",-8.29253081147857,50,48,52,48,1
"magistral-medium-2506",-5.36183086481208,47,41,52,42,1
"claude-3-5-haiku-20241022",-8.49149306015159,51,48,52,49,1
"gpt-4o-mini-2024-07-18",-5.07639385542284,44,40,52,42,1
