"method","theta_hat","rank","ci_two_left","ci_two_right","ci_left","ci_uniform_left"
"gemini-2.5-pro",7.70827207170291,1,1,15,1,1
"gemini-2.5-pro-preview-03",6.81526821410356,2,1,17,1,1
"grok-4-0709",5.48601236551439,3,1,23,1,1
"o3-2025-04-16",3.66787170620543,9,3,52,3,3
"chatgpt-4o-latest-2025032",5.27298255163817,4,1,28,2,1
"gemini-2.5-pro-preview-05",3.9219286638276,7,3,48,3,2
"deepseek-r1-0528",2.74330617301756,13,5,52,5,3
"grok-3-preview-02-24",4.53528112578179,5,2,37,3,1
"llama-4-maverick-03-26-ex",3.98759232073054,6,3,46,3,2
"gemini-2.5-flash",3.74940124143231,8,3,52,3,3
"qwen3-235b-a22b-no-thinki",2.21253778924668,18,6,52,6,4
"gemini-2.5-flash-preview-",2.73078897016649,14,5,52,5,3
"gemini-2.0-flash-thinking",2.31630362363725,16,5,52,6,4
"kimi-k2-0711-preview",2.29884956643009,17,6,52,6,4
"gpt-4.1-2025-04-14",1.82890398612316,21,6,52,9,5
"deepseek-v3-0324",1.0232136529963,26,11,52,12,5
"o4-mini-2025-04-16",1.12423160388878,25,11,52,11,5
"mistral-medium-2505",0.805057018730239,28,11,52,12,5
"gemini-2.5-flash-lite-pre",1.8891093853997,20,6,52,8,5
"qwen-max-2025-01-25",1.25796074396724,24,11,52,11,5
"hunyuan-turbos-20250416",1.46361852470181,23,9,52,11,5
"qwen3-235b-a22b",2.19499820778783,19,6,52,6,4
"minimax-m1",1.49697249664544,22,8,52,11,5
"claude-opus-4-20250514-th",2.62747107339781,15,5,52,5,3
"qwen3-235b-a22b-instruct-",3.63347212937001,10,3,52,3,3
"gemma-3-27b-it",0.0119634469392693,30,16,52,20,5
"claude-opus-4-20250514",2.75196422244357,12,5,52,5,3
"grok-3-mini-beta",0.606385972985659,29,12,52,16,5
"grok-3-mini-high",-0.0424473984361375,31,16,52,20,5
"gpt-4o-2024-11-20",-1.06953485815452,34,24,52,26,3
"claude-sonnet-4-20250514-",3.04729226143202,11,3,52,5,3
"gemini-2.0-flash-001",-1.19900543846499,37,25,52,28,3
"mistral-small-2506",-2.68571724547441,42,32,52,32,1
"gpt-4.1-mini-2025-04-14",-1.11793799832251,36,24,52,28,3
"qwq-32b",-1.09461211501335,35,22,52,24,3
"claude-sonnet-4-20250514",0.90988157435872,27,11,52,12,5
"qwen3-30b-a3b",-0.820674950244345,32,22,52,24,4
"command-a-03-2025",-1.90665426201912,39,30,52,30,2
"o3-mini",-0.900817016551504,33,22,52,24,4
"amazon-nova-experimental-",-5.17012375994373,43,42,52,43,1
"gemma-3n-e4b-it",-6.34431232617245,48,43,52,43,1
"claude-3-7-sonnet-2025021",-1.43791073851489,38,27,52,29,3
"claude-3-5-sonnet-2024102",-2.47381959911826,41,30,52,32,1
"llama-4-maverick-17b-128e",-5.5516394641634,45,43,52,43,1
"claude-3-7-sonnet-2025021.1",-2.29613334019366,40,30,52,32,1
"llama-4-scout-17b-16e-ins",-5.66602838130613,46,43,52,43,1
"llama-3.3-70b-instruct",-6.39003020327838,49,43,52,43,1
"amazon.nova-pro-v1:0",-9.07395612228496,52,50,52,50,1
"mistral-small-3.1-24b-ins",-8.80719048997802,50,48,52,50,1
"magistral-medium-2506",-5.73215343409178,47,43,52,43,1
"claude-3-5-haiku-20241022",-8.98333362115666,51,49,52,50,1
"gpt-4o-mini-2024-07-18",-5.35485992171911,44,43,52,43,1
