"method","theta_hat","rank","ci_two_left","ci_two_right","ci_left","ci_uniform_left"
"gemini-2.5-pro",9.09114822041347,1,1,19,1,1
"gemini-2.5-pro-preview-03",8.45629793521795,2,1,23,1,1
"grok-4-0709",6.92774446212198,3,1,30,2,1
"o3-2025-04-16",4.60439853908824,8,5,42,5,3
"chatgpt-4o-latest-2025032",6.83066684457307,4,1,30,1,1
"gemini-2.5-pro-preview-05",5.18428436540545,5,3,36,3,3
"deepseek-r1-0528",2.8663493800095,12,6,52,6,5
"grok-3-preview-02-24",4.71595331488663,6,5,44,5,3
"llama-4-maverick-03-26-ex",4.67076979197947,7,5,44,5,3
"gemini-2.5-flash",4.27789665060477,9,5,52,5,3
"qwen3-235b-a22b-no-thinki",2.29972092732839,15,9,52,10,5
"gemini-2.5-flash-preview-",2.80125953360315,13,6,52,6,5
"gemini-2.0-flash-thinking",3.27200522949965,10,5,52,5,4
"kimi-k2-0711-preview",2.12781274464874,16,9,52,10,5
"gpt-4.1-2025-04-14",1.6317742491824,21,10,52,10,5
"deepseek-v3-0324",1.11618239714764,25,10,52,11,5
"o4-mini-2025-04-16",1.21161635887316,24,10,52,10,5
"mistral-medium-2505",0.636966591072795,27,12,52,14,5
"gemini-2.5-flash-lite-pre",1.89054408688954,18,10,52,10,5
"qwen-max-2025-01-25",1.471715512634,23,10,52,10,5
"hunyuan-turbos-20250416",1.65324312083913,20,10,52,10,5
"qwen3-235b-a22b",3.08463027331546,11,5,52,5,5
"minimax-m1",2.62684085418367,14,5,52,5,5
"claude-opus-4-20250514-th",2.10252903928304,17,10,52,10,5
"qwen3-235b-a22b-instruct-",0.832049280494093,26,11,52,12,5
"gemma-3-27b-it",0.317091703490807,29,14,52,15,5
"claude-opus-4-20250514",1.83341925651513,19,10,52,10,5
"grok-3-mini-beta",0.493901329885183,28,13,52,15,5
"grok-3-mini-high",0.0598163242128429,31,15,52,16,5
"gpt-4o-2024-11-20",-1.14999814949769,33,23,52,24,2
"claude-sonnet-4-20250514-",1.58904824251311,22,10,52,10,5
"gemini-2.0-flash-001",-0.991491120492213,32,23,52,24,2
"mistral-small-2506",-2.13407974956089,40,28,52,29,1
"gpt-4.1-mini-2025-04-14",-1.23063954725956,34,24,52,25,1
"qwq-32b",-1.26919718356393,36,23,52,24,1
"claude-sonnet-4-20250514",0.139279756573867,30,15,52,15,5
"qwen3-30b-a3b",-1.24928141535811,35,24,52,24,1
"command-a-03-2025",-1.74791739540045,38,24,52,26,1
"o3-mini",-1.33506350138162,37,24,52,25,1
"amazon-nova-experimental-",-5.40064562949093,43,41,52,41,1
"gemma-3n-e4b-it",-6.57064432917317,48,41,52,41,1
"claude-3-7-sonnet-2025021",-1.78413786748696,39,25,52,26,1
"claude-3-5-sonnet-2024102",-4.62767675004979,42,40,52,41,1
"llama-4-maverick-17b-128e",-5.55727810114509,45,41,52,41,1
"claude-3-7-sonnet-2025021.1",-3.64058633687121,41,35,52,38,1
"llama-4-scout-17b-16e-ins",-5.89151644383341,46,41,52,41,1
"llama-3.3-70b-instruct",-6.62068082763437,49,41,52,41,1
"amazon.nova-pro-v1:0",-9.22721262520413,50,50,52,50,1
"mistral-small-3.1-24b-ins",-9.52793303584684,52,50,52,50,1
"magistral-medium-2506",-6.01235061367387,47,41,52,41,1
"claude-3-5-haiku-20241022",-9.37983730502084,51,50,52,50,1
"gpt-4o-mini-2024-07-18",-5.46878838854129,44,41,52,41,1
