"method","theta_hat","rank","ci_two_left","ci_two_right","ci_left","ci_uniform_left"
"gemini-2.5-pro",7.2793560544364,1,1,14,1,1
"gemini-2.5-pro-preview-03",6.52204630741437,2,1,16,1,1
"grok-4-0709",5.38734132403221,3,1,21,1,1
"o3-2025-04-16",3.22384319615554,10,4,52,4,3
"chatgpt-4o-latest-2025032",4.93746004109657,4,1,28,2,1
"gemini-2.5-pro-preview-05",3.90476007838876,6,3,36,3,2
"deepseek-r1-0528",2.52384872139403,15,5,52,6,4
"grok-3-preview-02-24",4.39600735813489,5,2,30,3,1
"llama-4-maverick-03-26-ex",3.88937001507798,7,3,36,3,2
"gemini-2.5-flash",3.57311078878024,8,3,42,4,3
"qwen3-235b-a22b-no-thinki",2.05292531044284,18,6,52,8,4
"gemini-2.5-flash-preview-",2.69208253993828,13,5,52,5,3
"gemini-2.0-flash-thinking",2.43330716372638,16,5,52,6,4
"kimi-k2-0711-preview",2.12551410794235,17,6,52,8,4
"gpt-4.1-2025-04-14",1.60271570079024,21,8,52,10,5
"deepseek-v3-0324",0.904114172769778,27,12,52,12,6
"o4-mini-2025-04-16",0.988653229583011,26,11,52,12,6
"mistral-medium-2505",0.563397619210429,28,13,52,17,6
"gemini-2.5-flash-lite-pre",1.8532440497791,20,7,52,8,5
"qwen-max-2025-01-25",1.36052539839855,24,10,52,11,5
"hunyuan-turbos-20250416",1.36714475696223,23,10,52,11,5
"qwen3-235b-a22b",2.04934453751372,19,6,52,8,4
"minimax-m1",1.52741521169873,22,8,52,10,5
"claude-opus-4-20250514-th",2.61771300496895,14,5,52,6,3
"qwen3-235b-a22b-instruct-",3.52436451610002,9,3,52,3,3
"gemma-3-27b-it",0.030023301016989,30,17,52,20,6
"claude-opus-4-20250514",2.72901440224913,12,5,52,5,3
"grok-3-mini-beta",0.531936260401543,29,14,52,17,6
"grok-3-mini-high",-0.0626238969104982,31,17,52,21,6
"gpt-4o-2024-11-20",-0.881225112346304,34,23,52,25,5
"claude-sonnet-4-20250514-",3.10611540881495,11,3,52,4,3
"gemini-2.0-flash-001",-1.03609938624797,35,25,52,26,5
"mistral-small-2506",-2.82047082710073,42,32,52,33,1
"gpt-4.1-mini-2025-04-14",-1.04421560682114,36,25,52,28,5
"qwq-32b",-1.07132680641759,37,23,52,25,5
"claude-sonnet-4-20250514",1.06889584744647,25,11,52,12,6
"qwen3-30b-a3b",-0.710523139881686,32,21,52,25,5
"command-a-03-2025",-1.78327126625433,39,30,52,30,3
"o3-mini",-0.784549359592984,33,21,52,23,5
"amazon-nova-experimental-",-5.2571102896288,45,42,52,43,1
"gemma-3n-e4b-it",-6.08904097237634,48,43,52,43,1
"claude-3-7-sonnet-2025021",-1.28457745130443,38,27,52,28,4
"claude-3-5-sonnet-2024102",-2.30177800195595,41,31,52,32,2
"llama-4-maverick-17b-128e",-5.23209596445741,44,42,52,43,1
"claude-3-7-sonnet-2025021.1",-2.09379172750066,40,30,52,32,3
"llama-4-scout-17b-16e-ins",-5.36715339861829,46,42,52,43,1
"llama-3.3-70b-instruct",-6.09999357111777,49,43,52,43,1
"amazon.nova-pro-v1:0",-8.95552372298306,52,50,52,50,1
"mistral-small-3.1-24b-ins",-8.65622693973403,50,50,52,50,1
"magistral-medium-2506",-5.41762340679338,47,42,52,43,1
"claude-3-5-haiku-20241022",-8.75643717727295,51,50,52,50,1
"gpt-4o-mini-2024-07-18",-5.05993239934841,43,42,52,43,1
