"method","theta_hat","rank","ci_two_left","ci_two_right","ci_left","ci_uniform_left"
"gemini-2.5-pro",10.1860612621616,1,1,30,1,1
"gemini-2.5-pro-preview-03",9.82913721932506,2,1,32,1,1
"grok-4-0709",8.58010423466587,4,1,52,1,1
"o3-2025-04-16",6.31646792289768,9,4,52,5,1
"chatgpt-4o-latest-2025032",9.0482739465531,3,1,52,1,1
"gemini-2.5-pro-preview-05",7.3978439992811,6,1,52,2,1
"deepseek-r1-0528",5.04146677875914,10,6,52,7,3
"grok-3-preview-02-24",7.93376512909749,5,1,52,1,1
"llama-4-maverick-03-26-ex",7.00060593600646,7,3,52,3,1
"gemini-2.5-flash",4.54726691245357,11,7,52,8,3
"qwen3-235b-a22b-no-thinki",3.73013013829243,17,9,52,9,3
"gemini-2.5-flash-preview-",4.52208910903014,12,7,52,8,3
"gemini-2.0-flash-thinking",6.57544527990982,8,2,52,3,1
"kimi-k2-0711-preview",3.79466865943033,15,9,52,10,3
"gpt-4.1-2025-04-14",3.73013013829239,18,9,52,10,3
"deepseek-v3-0324",3.94856101978194,13,8,52,9,3
"o4-mini-2025-04-16",2.81259602379667,26,10,52,10,3
"mistral-medium-2505",2.99091818880008,24,10,52,10,3
"gemini-2.5-flash-lite-pre",3.72635391686522,19,9,52,10,3
"qwen-max-2025-01-25",3.2209091571067,22,9,52,10,3
"hunyuan-turbos-20250416",3.79466865942998,16,9,52,10,3
"qwen3-235b-a22b",3.14717727006518,23,9,52,10,3
"minimax-m1",0.568832084926713,32,21,52,22,1
"claude-opus-4-20250514-th",3.57395201405532,20,9,52,10,3
"qwen3-235b-a22b-instruct-",3.53261672117152,21,9,52,10,3
"gemma-3-27b-it",2.25756689424301,29,11,52,11,1
"claude-opus-4-20250514",3.91245169508671,14,8,52,9,3
"grok-3-mini-beta",2.61875676303753,28,9,52,10,2
"grok-3-mini-high",0.178009376891829,33,22,52,24,1
"gpt-4o-2024-11-20",0.657897545409895,31,21,52,22,1
"claude-sonnet-4-20250514-",2.97521350236477,25,9,52,10,3
"gemini-2.0-flash-001",0.718078057556594,30,20,52,22,1
"mistral-small-2506",-2.02190298639094,36,30,52,30,1
"gpt-4.1-mini-2025-04-14",-2.02190298639786,37,30,52,30,1
"qwq-32b",-5.10318144298486,41,38,52,38,1
"claude-sonnet-4-20250514",2.81123490549286,27,9,52,10,3
"qwen3-30b-a3b",-2.43340017111559,38,31,52,33,1
"command-a-03-2025",-0.0335311967588137,34,24,52,26,1
"o3-mini",-3.35812886025619,40,34,52,35,1
"amazon-nova-experimental-",-6.42960716975904,44,39,52,41,1
"gemma-3n-e4b-it",-6.85348240116156,48,40,52,41,1
"claude-3-7-sonnet-2025021",-0.257265938306636,35,24,52,28,1
"claude-3-5-sonnet-2024102",-5.23874403339592,42,38,52,38,1
"llama-4-maverick-17b-128e",-6.80463057831831,47,39,52,41,1
"claude-3-7-sonnet-2025021.1",-3.12357905385897,39,34,52,35,1
"llama-4-scout-17b-16e-ins",-6.43231509468895,45,39,52,40,1
"llama-3.3-70b-instruct",-6.87577270561,49,39,52,40,1
"amazon.nova-pro-v1:0",-25.6070285095621,51,50,52,50,1
"mistral-small-3.1-24b-ins",-25.6070285095621,51,50,52,50,1
"magistral-medium-2506",-6.51316298570433,46,39,52,40,1
"claude-3-5-haiku-20241022",-25.6070285095621,51,50,52,50,1
"gpt-4o-mini-2024-07-18",-5.35755732884458,43,38,52,39,1
