model,theta_hat,rank,ci_two_left,ci_two_right,ci_left,ci_uniform_left
gemini-2.5-pro-preview-03-25,1.0915,1,1,2,1,1
gemini-2.5-pro,0.9424,2,1,2,1,1
grok-4-0709,0.6474,3,3,11,3,1
chatgpt-4o-latest-20250326,0.6304,4,3,10,3,3
grok-3-preview-02-24,0.6005,5,3,11,3,3
gemini-2.5-pro-preview-05-06,0.5918,6,3,11,3,3
o3-2025-04-16,0.5519,7,3,12,3,3
gemini-2.5-flash,0.5156,8,3,12,3,3
llama-4-maverick-03-26-experimental,0.5043,9,3,13,3,3
deepseek-r1-0528,0.4557,10,4,14,4,3
gemini-2.5-flash-preview-04-17,0.318,11,9,23,10,6
qwen3-235b-a22b-no-thinking,0.2722,12,11,23,11,10
claude-opus-4-20250514-thinking-16k,0.2629,13,11,27,11,10
kimi-k2-0711-preview,0.2558,14,10,28,11,9
gpt-4.1-2025-04-14,0.2524,15,11,27,11,10
claude-opus-4-20250514,0.2355,16,11,27,11,11
gemini-2.5-flash-lite-preview-06-17-thinking,0.2259,17,11,28,11,10
claude-sonnet-4-20250514-thinking-32k,0.1806,18,11,30,11,11
gemini-2.0-flash-thinking-exp-01-21,0.1767,19,5,38,7,3
qwen3-235b-a22b-instruct-2507,0.1555,20,9,35,10,3
deepseek-v3-0324,0.1325,21,11,31,12,11
qwen3-235b-a22b,0.1295,22,11,31,12,11
mistral-medium-2505,0.1155,23,13,31,13,11
o4-mini-2025-04-16,0.0938,24,13,32,14,11
hunyuan-turbos-20250416,0.087,25,11,35,11,11
qwen-max-2025-01-25,0.0818,26,13,33,14,11
grok-3-mini-beta,0.044,27,16,35,18,13
grok-3-mini-high,0.0381,28,14,35,16,11
gemma-3-27b-it,0.0136,29,18,35,19,16
minimax-m1,-0.0273,30,19,36,19,18
claude-sonnet-4-20250514,-0.0572,31,22,36,22,19
gpt-4.1-mini-2025-04-14,-0.0987,32,23,39,23,21
qwq-32b,-0.1301,33,23,41,24,21
gemini-2.0-flash-001,-0.14,34,24,40,25,23
gpt-4o-2024-11-20,-0.2146,35,19,44,22,11
o3-mini,-0.2365,36,30,42,30,26
qwen3-30b-a3b,-0.2449,37,30,43,31,26
mistral-small-2506,-0.2553,38,28,43,30,24
command-a-03-2025,-0.2668,39,31,43,32,30
claude-3-7-sonnet-20250219-thinking-32k,-0.3058,40,32,43,33,30
claude-3-7-sonnet-20250219,-0.3224,41,32,44,34,31
amazon-nova-experimental-chat-05-14,-0.3896,42,35,47,35,31
claude-3-5-sonnet-20241022,-0.4205,43,36,47,37,34
llama-4-scout-17b-16e-instruct,-0.5904,44,41,51,41,38
llama-4-maverick-17b-128e-instruct,-0.5921,45,41,50,41,41
gemma-3n-e4b-it,-0.617,46,41,52,42,39
magistral-medium-2506,-0.7367,47,44,52,44,43
mistral-small-3.1-24b-instruct-2503,-0.7526,48,44,52,44,43
llama-3.3-70b-instruct,-0.7806,49,44,52,45,44
gpt-4o-mini-2024-07-18,-0.7838,50,42,52,44,35
amazon.nova-pro-v1:0,-0.8034,51,45,52,45,44
claude-3-5-haiku-20241022,-0.8366,52,46,52,46,44
