model,theta_hat,rank,ci_two_left,ci_two_right,ci_left,ci_uniform_left
gemini-2.5-pro-preview-03-25,1.0589,1,1,2,1,1
gemini-2.5-pro,0.916,2,1,2,1,1
grok-4-0709,0.6366,3,3,12,3,1
grok-3-preview-02-24,0.6085,4,3,12,3,3
chatgpt-4o-latest-20250326,0.6079,5,3,11,3,3
gemini-2.5-pro-preview-05-06,0.5572,6,3,12,3,3
o3-2025-04-16,0.5197,7,3,12,3,3
gemini-2.5-flash,0.5027,8,3,12,3,3
llama-4-maverick-03-26-experimental,0.4986,9,3,12,3,3
deepseek-r1-0528,0.4425,10,3,15,4,3
gemini-2.5-flash-preview-04-17,0.3112,11,10,21,10,5
claude-opus-4-20250514-thinking-16k,0.2751,12,10,23,11,10
qwen3-235b-a22b-no-thinking,0.2627,13,11,23,11,10
claude-opus-4-20250514,0.2582,14,11,22,11,10
kimi-k2-0711-preview,0.2523,15,10,27,11,9
gpt-4.1-2025-04-14,0.2497,16,11,25,11,10
qwen3-235b-a22b-instruct-2507,0.2435,17,6,33,6,3
gemini-2.5-flash-lite-preview-06-17-thinking,0.2209,18,11,28,11,10
claude-sonnet-4-20250514-thinking-32k,0.218,19,11,28,11,11
gemini-2.0-flash-thinking-exp-01-21,0.1993,20,3,35,6,3
qwen3-235b-a22b,0.1202,21,12,32,12,11
mistral-medium-2505,0.1188,22,14,31,15,11
deepseek-v3-0324,0.0958,23,15,32,16,11
qwen-max-2025-01-25,0.0764,24,15,33,16,11
o4-mini-2025-04-16,0.0762,25,16,33,16,12
hunyuan-turbos-20250416,0.0573,26,12,35,12,11
grok-3-mini-beta,0.0472,27,16,34,19,15
grok-3-mini-high,0.0286,28,16,35,17,12
gemma-3-27b-it,0.0085,29,19,35,19,17
claude-sonnet-4-20250514,-0.0341,30,20,35,20,19
minimax-m1,-0.0384,31,19,36,20,19
gpt-4.1-mini-2025-04-14,-0.083,32,22,39,23,20
qwq-32b,-0.1421,33,24,41,26,21
gemini-2.0-flash-001,-0.1576,34,26,41,27,23
gpt-4o-2024-11-20,-0.2193,35,19,43,22,12
o3-mini,-0.2283,36,31,43,31,26
qwen3-30b-a3b,-0.2351,37,31,43,31,26
command-a-03-2025,-0.2536,38,32,43,32,29
mistral-small-2506,-0.2577,39,30,43,31,25
claude-3-7-sonnet-20250219-thinking-32k,-0.2809,40,32,43,32,31
claude-3-7-sonnet-20250219,-0.3036,41,32,43,33,32
claude-3-5-sonnet-20241022,-0.3919,42,35,46,36,34
amazon-nova-experimental-chat-05-14,-0.4091,43,35,47,35,32
llama-4-maverick-17b-128e-instruct,-0.582,44,42,50,42,41
llama-4-scout-17b-16e-instruct,-0.5937,45,41,51,42,40
gemma-3n-e4b-it,-0.6156,46,42,52,43,41
magistral-medium-2506,-0.7013,47,44,52,44,42
mistral-small-3.1-24b-instruct-2503,-0.7233,48,44,52,44,43
llama-3.3-70b-instruct,-0.7734,49,44,52,45,44
amazon.nova-pro-v1:0,-0.8023,50,45,52,45,44
gpt-4o-mini-2024-07-18,-0.8206,51,44,52,44,38
claude-3-5-haiku-20241022,-0.8216,52,46,52,46,45
