model,theta_hat,rank,ci_two_left,ci_two_right,ci_left,ci_uniform_left
gemini-2.5-pro-preview-03-25,1.042,1,1,2,1,1
gemini-2.5-pro,0.9568,2,1,2,1,1
grok-4-0709,0.6905,3,3,9,3,1
chatgpt-4o-latest-20250326,0.6628,4,3,7,3,3
gemini-2.5-pro-preview-05-06,0.5621,5,3,11,3,3
o3-2025-04-16,0.5517,6,3,11,3,3
grok-3-preview-02-24,0.5445,7,3,11,3,3
gemini-2.5-flash,0.5123,8,4,11,4,3
llama-4-maverick-03-26-experimental,0.5094,9,4,11,4,3
deepseek-r1-0528,0.438,10,5,14,5,4
gemini-2.5-flash-preview-04-17,0.317,11,10,22,10,8
qwen3-235b-a22b-no-thinking,0.2931,12,11,22,11,10
kimi-k2-0711-preview,0.2659,13,10,26,11,10
claude-opus-4-20250514-thinking-16k,0.2608,14,11,25,11,10
claude-opus-4-20250514,0.254,15,11,23,11,11
gpt-4.1-2025-04-14,0.2507,16,11,25,11,10
gemini-2.5-flash-lite-preview-06-17-thinking,0.2306,17,11,26,11,11
qwen3-235b-a22b,0.1948,18,11,29,11,11
claude-sonnet-4-20250514-thinking-32k,0.171,19,11,29,11,11
hunyuan-turbos-20250416,0.1417,20,11,31,11,10
deepseek-v3-0324,0.1386,21,13,29,13,11
gemini-2.0-flash-thinking-exp-01-21,0.1357,22,9,38,10,3
o4-mini-2025-04-16,0.1161,23,14,31,15,13
qwen3-235b-a22b-instruct-2507,0.1137,24,11,35,11,5
mistral-medium-2505,0.1032,25,16,31,16,13
qwen-max-2025-01-25,0.0965,26,15,31,16,11
grok-3-mini-beta,0.0407,27,18,33,19,16
minimax-m1,0.0276,28,18,34,19,16
grok-3-mini-high,0.0035,29,18,35,19,16
claude-sonnet-4-20250514,-0.0198,30,21,35,23,20
gemma-3-27b-it,-0.0227,31,21,35,22,20
gpt-4.1-mini-2025-04-14,-0.1026,32,25,38,25,23
qwq-32b,-0.1464,33,27,40,27,24
gemini-2.0-flash-001,-0.1478,34,27,39,27,24
qwen3-30b-a3b,-0.2066,35,30,41,30,27
o3-mini,-0.2168,36,30,41,30,29
mistral-small-2506,-0.2319,37,30,43,31,26
gpt-4o-2024-11-20,-0.2739,38,25,45,28,18
command-a-03-2025,-0.2758,39,32,43,32,30
claude-3-7-sonnet-20250219,-0.3041,40,33,43,35,31
claude-3-7-sonnet-20250219-thinking-32k,-0.3108,41,33,43,35,31
claude-3-5-sonnet-20241022,-0.403,42,37,44,37,34
amazon-nova-experimental-chat-05-14,-0.421,43,37,47,37,34
llama-4-scout-17b-16e-instruct,-0.5674,44,41,50,41,41
llama-4-maverick-17b-128e-instruct,-0.5714,45,42,48,42,41
gemma-3n-e4b-it,-0.6453,46,42,52,44,41
magistral-medium-2506,-0.739,47,44,52,44,43
llama-3.3-70b-instruct,-0.7593,48,45,52,45,44
mistral-small-3.1-24b-instruct-2503,-0.7841,49,45,52,46,44
gpt-4o-mini-2024-07-18,-0.8152,50,44,52,44,41
amazon.nova-pro-v1:0,-0.8214,51,46,52,46,45
claude-3-5-haiku-20241022,-0.8392,52,46,52,46,46
