model,theta_hat,rank,ci_two_left,ci_two_right,ci_left,ci_uniform_left
gemini-2.5-pro-preview-03-25,1.0436,1,1,2,1,1
gemini-2.5-pro,0.9349,2,1,2,1,1
chatgpt-4o-latest-20250326,0.6797,3,3,7,3,3
grok-4-0709,0.6702,4,3,10,3,1
grok-3-preview-02-24,0.5815,5,3,11,3,3
gemini-2.5-pro-preview-05-06,0.5727,6,3,11,3,3
o3-2025-04-16,0.5554,7,3,11,3,3
llama-4-maverick-03-26-experimental,0.5005,8,4,12,4,3
gemini-2.5-flash,0.4911,9,4,12,4,4
deepseek-r1-0528,0.4553,10,4,14,4,4
gemini-2.5-flash-preview-04-17,0.3095,11,10,23,10,8
qwen3-235b-a22b-no-thinking,0.2822,12,11,23,11,10
gpt-4.1-2025-04-14,0.2735,13,11,23,11,10
kimi-k2-0711-preview,0.2625,14,11,26,11,8
claude-opus-4-20250514,0.2593,15,11,23,11,11
claude-opus-4-20250514-thinking-16k,0.2505,16,11,25,11,11
gemini-2.5-flash-lite-preview-06-17-thinking,0.2285,17,11,26,11,11
claude-sonnet-4-20250514-thinking-32k,0.1604,18,11,28,11,11
gemini-2.0-flash-thinking-exp-01-21,0.1587,19,6,39,8,3
deepseek-v3-0324,0.154,20,11,30,11,11
qwen3-235b-a22b,0.1459,21,11,30,11,11
hunyuan-turbos-20250416,0.1303,22,11,33,11,11
mistral-medium-2505,0.1225,23,15,31,15,11
qwen3-235b-a22b-instruct-2507,0.117,24,11,36,11,5
o4-mini-2025-04-16,0.1007,25,15,32,16,13
qwen-max-2025-01-25,0.069,26,16,33,17,13
grok-3-mini-beta,0.0463,27,18,33,18,16
gemma-3-27b-it,-0.0024,28,19,35,20,18
grok-3-mini-high,-0.0087,29,18,36,18,16
claude-sonnet-4-20250514,-0.0305,30,22,36,22,18
minimax-m1,-0.0371,31,22,36,22,18
gpt-4.1-mini-2025-04-14,-0.0942,32,23,39,23,22
gemini-2.0-flash-001,-0.1519,33,26,41,27,23
qwq-32b,-0.17,34,26,41,27,23
mistral-small-2506,-0.2238,35,27,43,28,24
qwen3-30b-a3b,-0.2357,36,30,42,30,28
o3-mini,-0.2427,37,30,42,32,28
gpt-4o-2024-11-20,-0.2429,38,24,44,25,15
command-a-03-2025,-0.2511,39,30,43,32,29
claude-3-7-sonnet-20250219,-0.3026,40,32,43,34,31
claude-3-7-sonnet-20250219-thinking-32k,-0.3058,41,32,43,33,31
claude-3-5-sonnet-20241022,-0.4063,42,36,45,38,34
amazon-nova-experimental-chat-05-14,-0.4165,43,35,47,36,33
llama-4-scout-17b-16e-instruct,-0.573,44,41,50,41,41
llama-4-maverick-17b-128e-instruct,-0.5818,45,42,50,42,41
gemma-3n-e4b-it,-0.6387,46,42,52,44,41
magistral-medium-2506,-0.7195,47,44,52,44,43
llama-3.3-70b-instruct,-0.7453,48,44,52,44,43
mistral-small-3.1-24b-instruct-2503,-0.7603,49,44,52,44,43
gpt-4o-mini-2024-07-18,-0.7777,50,42,52,44,37
claude-3-5-haiku-20241022,-0.818,51,46,52,46,45
amazon.nova-pro-v1:0,-0.8194,52,46,52,46,45
