model,theta_hat,rank,ci_two_left,ci_two_right,ci_left,ci_uniform_left
gemini-2.5-pro-preview-03-25,0.9709,1,1,3,1,1
gemini-2.5-pro,0.9528,2,1,3,1,1
grok-4-0709,0.6913,3,2,10,2,1
chatgpt-4o-latest-20250326,0.6549,4,3,9,3,2
grok-3-preview-02-24,0.5632,5,3,12,3,3
o3-2025-04-16,0.5478,6,3,12,3,3
llama-4-maverick-03-26-experimental,0.5258,7,3,12,3,3
gemini-2.5-flash,0.5029,8,4,12,4,3
gemini-2.5-pro-preview-05-06,0.4891,9,3,14,3,3
deepseek-r1-0528,0.4569,10,4,14,4,3
gemini-2.5-flash-preview-04-17,0.2875,11,9,24,11,9
qwen3-235b-a22b-no-thinking,0.2861,12,11,23,11,9
kimi-k2-0711-preview,0.2821,13,9,26,9,7
claude-opus-4-20250514,0.2628,14,11,24,11,10
gpt-4.1-2025-04-14,0.2558,15,11,25,11,9
claude-opus-4-20250514-thinking-16k,0.2482,16,11,26,11,10
gemini-2.5-flash-lite-preview-06-17-thinking,0.2247,17,11,26,11,11
qwen3-235b-a22b-instruct-2507,0.2203,18,6,32,8,3
qwen3-235b-a22b,0.1989,19,11,29,11,11
hunyuan-turbos-20250416,0.1576,20,11,31,11,9
claude-sonnet-4-20250514-thinking-32k,0.1566,21,11,29,11,11
gemini-2.0-flash-thinking-exp-01-21,0.1532,22,5,38,8,3
deepseek-v3-0324,0.1353,23,11,29,12,11
o4-mini-2025-04-16,0.1079,24,14,32,14,11
qwen-max-2025-01-25,0.1043,25,12,32,14,11
mistral-medium-2505,0.1019,26,15,32,17,12
minimax-m1,0.0302,27,18,35,18,16
grok-3-mini-beta,0.0292,28,18,35,19,16
grok-3-mini-high,-0.0076,29,18,37,19,15
claude-sonnet-4-20250514,-0.0209,30,20,37,21,19
gemma-3-27b-it,-0.0231,31,20,37,21,19
gpt-4.1-mini-2025-04-14,-0.1073,32,25,39,25,23
qwq-32b,-0.152,33,26,40,28,24
gemini-2.0-flash-001,-0.1572,34,27,39,28,24
mistral-small-2506,-0.1775,35,26,41,28,23
qwen3-30b-a3b,-0.1839,36,28,41,30,25
o3-mini,-0.2175,37,31,41,31,28
command-a-03-2025,-0.2698,38,31,43,32,31
gpt-4o-2024-11-20,-0.3032,39,26,46,28,18
claude-3-7-sonnet-20250219-thinking-32k,-0.3253,40,33,43,35,32
claude-3-7-sonnet-20250219,-0.3408,41,34,43,35,32
claude-3-5-sonnet-20241022,-0.4088,42,38,47,38,35
amazon-nova-experimental-chat-05-14,-0.4465,43,38,47,38,34
llama-4-maverick-17b-128e-instruct,-0.5711,44,41,50,42,41
llama-4-scout-17b-16e-instruct,-0.5735,45,41,50,41,39
gemma-3n-e4b-it,-0.5941,46,41,50,41,39
magistral-medium-2506,-0.7214,47,44,52,44,42
llama-3.3-70b-instruct,-0.7424,48,44,52,44,43
mistral-small-3.1-24b-instruct-2503,-0.7556,49,44,52,44,43
claude-3-5-haiku-20241022,-0.8284,50,47,52,47,45
amazon.nova-pro-v1:0,-0.8312,51,47,52,47,45
gpt-4o-mini-2024-07-18,-0.8391,52,43,52,44,39
