model,theta_hat,rank,ci_two_left,ci_two_right,ci_left,ci_uniform_left
gemini-2.5-pro-preview-03-25,0.9949,1,1,3,1,1
gemini-2.5-pro,0.9821,2,1,3,1,1
grok-4-0709,0.7071,3,2,10,2,1
chatgpt-4o-latest-20250326,0.6807,4,3,8,3,2
o3-2025-04-16,0.5809,5,3,11,3,3
grok-3-preview-02-24,0.5525,6,3,12,3,3
llama-4-maverick-03-26-experimental,0.534,7,3,12,3,3
gemini-2.5-pro-preview-05-06,0.5167,8,3,13,3,3
gemini-2.5-flash,0.5149,9,4,12,4,3
deepseek-r1-0528,0.4708,10,4,15,4,3
qwen3-235b-a22b-no-thinking,0.2968,11,11,22,11,9
gemini-2.5-flash-preview-04-17,0.2925,12,10,25,11,9
kimi-k2-0711-preview,0.2885,13,9,26,10,6
gpt-4.1-2025-04-14,0.2587,14,11,25,11,9
claude-opus-4-20250514,0.2413,15,11,25,11,11
claude-opus-4-20250514-thinking-16k,0.2344,16,11,26,11,11
gemini-2.5-flash-lite-preview-06-17-thinking,0.2294,17,11,28,11,11
qwen3-235b-a22b,0.2152,18,11,28,11,11
hunyuan-turbos-20250416,0.1963,19,11,31,11,7
deepseek-v3-0324,0.1735,20,11,29,11,11
qwen3-235b-a22b-instruct-2507,0.1338,21,10,37,11,4
o4-mini-2025-04-16,0.1269,22,12,30,12,11
gemini-2.0-flash-thinking-exp-01-21,0.1251,23,6,39,8,3
claude-sonnet-4-20250514-thinking-32k,0.1146,24,12,31,13,11
qwen-max-2025-01-25,0.113,25,12,32,12,11
mistral-medium-2505,0.0966,26,15,32,15,12
minimax-m1,0.0469,27,17,35,18,13
grok-3-mini-beta,0.0242,28,19,36,19,15
grok-3-mini-high,-0.003,29,18,37,19,13
gemma-3-27b-it,-0.0208,30,20,37,20,19
claude-sonnet-4-20250514,-0.0416,31,21,37,21,20
gpt-4.1-mini-2025-04-14,-0.1236,32,25,39,26,23
gemini-2.0-flash-001,-0.1409,33,26,39,26,24
qwq-32b,-0.1412,34,25,39,26,23
mistral-small-2506,-0.168,35,25,41,26,21
qwen3-30b-a3b,-0.1884,36,27,41,28,25
o3-mini,-0.2247,37,29,42,30,27
command-a-03-2025,-0.2839,38,31,43,32,30
gpt-4o-2024-11-20,-0.3035,39,25,47,28,17
claude-3-7-sonnet-20250219-thinking-32k,-0.3514,40,34,45,34,31
claude-3-7-sonnet-20250219,-0.3616,41,34,46,35,32
amazon-nova-experimental-chat-05-14,-0.4306,42,37,47,38,34
claude-3-5-sonnet-20241022,-0.4378,43,38,47,38,36
llama-4-scout-17b-16e-instruct,-0.5684,44,40,50,41,39
llama-4-maverick-17b-128e-instruct,-0.58,45,41,50,41,40
gemma-3n-e4b-it,-0.5937,46,41,50,41,39
llama-3.3-70b-instruct,-0.7474,47,44,52,44,43
magistral-medium-2506,-0.7594,48,44,52,44,42
mistral-small-3.1-24b-instruct-2503,-0.7855,49,44,52,44,43
gpt-4o-mini-2024-07-18,-0.8085,50,41,52,44,38
amazon.nova-pro-v1:0,-0.8349,51,46,52,47,44
claude-3-5-haiku-20241022,-0.8436,52,47,52,47,45
