model,theta_hat,rank,ci_two_left,ci_two_right,ci_left,ci_uniform_left
gemini-2.5-pro-preview-03-25,0.9882,1,1,4,1,1
gemini-2.5-pro,0.9563,2,1,3,1,1
chatgpt-4o-latest-20250326,0.7053,3,2,9,2,2
grok-4-0709,0.6828,4,2,11,2,1
grok-3-preview-02-24,0.6018,5,3,11,3,2
o3-2025-04-16,0.5892,6,3,11,3,2
llama-4-maverick-03-26-experimental,0.5259,7,3,12,4,3
gemini-2.5-pro-preview-05-06,0.5241,8,3,13,3,3
deepseek-r1-0528,0.4972,9,4,13,4,3
gemini-2.5-flash,0.488,10,4,13,4,4
gpt-4.1-2025-04-14,0.289,11,11,22,11,8
kimi-k2-0711-preview,0.2862,12,8,26,10,6
qwen3-235b-a22b-no-thinking,0.2829,13,11,22,11,9
gemini-2.5-flash-preview-04-17,0.2796,14,11,26,11,7
claude-opus-4-20250514,0.2467,15,11,26,11,11
gemini-2.5-flash-lite-preview-06-17-thinking,0.2268,16,11,26,11,11
claude-opus-4-20250514-thinking-16k,0.2187,17,11,26,11,11
deepseek-v3-0324,0.1981,18,11,29,11,11
hunyuan-turbos-20250416,0.1877,19,11,32,11,7
qwen3-235b-a22b,0.1554,20,11,31,11,11
gemini-2.0-flash-thinking-exp-01-21,0.1533,21,4,39,7,3
qwen3-235b-a22b-instruct-2507,0.14,22,8,37,11,4
mistral-medium-2505,0.1205,23,12,31,13,11
o4-mini-2025-04-16,0.1079,24,13,32,13,11
claude-sonnet-4-20250514-thinking-32k,0.0956,25,13,33,14,11
qwen-max-2025-01-25,0.0792,26,13,34,15,11
grok-3-mini-beta,0.0294,27,18,36,18,14
gemma-3-27b-it,0.0065,28,19,36,19,16
grok-3-mini-high,-0.0197,29,18,37,19,13
minimax-m1,-0.0333,30,19,37,20,18
claude-sonnet-4-20250514,-0.0573,31,21,37,22,19
gpt-4.1-mini-2025-04-14,-0.1157,32,24,39,25,21
gemini-2.0-flash-001,-0.1455,33,25,39,26,22
mistral-small-2506,-0.1509,34,24,41,24,19
qwq-32b,-0.1712,35,25,41,26,23
qwen3-30b-a3b,-0.2236,36,27,42,27,26
command-a-03-2025,-0.2525,37,30,42,30,27
o3-mini,-0.2596,38,30,42,30,27
gpt-4o-2024-11-20,-0.2688,39,22,47,24,11
claude-3-7-sonnet-20250219-thinking-32k,-0.3503,40,33,46,33,31
claude-3-7-sonnet-20250219,-0.3677,41,33,46,34,31
amazon-nova-experimental-chat-05-14,-0.4256,42,35,47,36,31
claude-3-5-sonnet-20241022,-0.447,43,39,47,39,34
llama-4-scout-17b-16e-instruct,-0.5753,44,39,50,41,38
gemma-3n-e4b-it,-0.5794,45,39,51,40,38
llama-4-maverick-17b-128e-instruct,-0.5938,46,41,50,41,38
llama-3.3-70b-instruct,-0.7273,47,43,52,44,42
magistral-medium-2506,-0.735,48,43,52,44,41
mistral-small-3.1-24b-instruct-2503,-0.7553,49,44,52,44,42
gpt-4o-mini-2024-07-18,-0.7571,50,39,52,41,32
claude-3-5-haiku-20241022,-0.8173,51,45,52,47,43
amazon.nova-pro-v1:0,-0.8334,52,47,52,47,43
