model,theta_hat,rank,ci_two_left,ci_two_right,ci_left,ci_uniform_left
gemini-2.5-pro-preview-03-25,1.2081,1,1,3,1,1
gemini-2.5-pro,0.9099,2,1,5,1,1
gemini-2.5-pro-preview-05-06,0.7083,3,2,12,2,1
grok-4-0709,0.6171,4,2,17,2,1
grok-3-preview-02-24,0.5692,5,3,14,3,3
chatgpt-4o-latest-20250326,0.569,6,3,14,3,3
llama-4-maverick-03-26-experimental,0.4588,7,3,21,3,3
gemini-2.5-flash,0.449,8,3,20,3,3
o3-2025-04-16,0.4262,9,3,22,3,3
gemini-2.0-flash-thinking-exp-01-21,0.4098,10,2,38,2,1
gemini-2.5-flash-preview-04-17,0.4051,11,3,24,3,3
deepseek-r1-0528,0.368,12,4,24,4,3
claude-opus-4-20250514-thinking-16k,0.3525,13,4,24,4,3
claude-opus-4-20250514,0.2727,14,6,28,6,5
claude-sonnet-4-20250514-thinking-32k,0.2715,15,6,31,6,4
gemini-2.5-flash-lite-preview-06-17-thinking,0.2512,16,6,32,6,4
qwen3-235b-a22b-no-thinking,0.2381,17,6,32,6,6
gpt-4.1-2025-04-14,0.2002,18,6,32,9,6
kimi-k2-0711-preview,0.189,19,6,33,7,4
qwen3-235b-a22b-instruct-2507,0.12,20,4,43,4,2
deepseek-v3-0324,0.1198,21,10,36,11,7
qwen-max-2025-01-25,0.0956,22,10,37,12,7
mistral-medium-2505,0.0729,23,13,37,13,10
gemma-3-27b-it,0.0696,24,13,37,13,10
o4-mini-2025-04-16,0.017,25,14,38,14,12
qwen3-235b-a22b,0.0145,26,13,38,14,11
claude-sonnet-4-20250514,0.0116,27,14,38,16,13
hunyuan-turbos-20250416,0.0078,28,10,42,12,6
grok-3-mini-beta,-0.0078,29,14,39,16,13
grok-3-mini-high,-0.0116,30,13,41,13,10
minimax-m1,-0.0325,31,16,41,17,13
gemini-2.0-flash-001,-0.1211,32,18,43,19,17
claude-3-7-sonnet-20250219-thinking-32k,-0.1349,33,18,44,19,17
gpt-4o-2024-11-20,-0.1351,34,9,47,11,3
claude-3-7-sonnet-20250219,-0.1529,35,20,44,20,18
gpt-4.1-mini-2025-04-14,-0.1575,36,19,44,20,18
qwq-32b,-0.1828,37,20,45,20,18
command-a-03-2025,-0.205,38,23,45,23,18
o3-mini,-0.2796,39,26,46,27,23
claude-3-5-sonnet-20241022,-0.315,40,27,47,29,24
amazon-nova-experimental-chat-05-14,-0.398,41,29,49,30,25
qwen3-30b-a3b,-0.4291,42,33,49,35,28
mistral-small-2506,-0.4646,43,31,52,33,25
llama-4-scout-17b-16e-instruct,-0.5247,44,35,52,38,28
magistral-medium-2506,-0.579,45,38,52,38,30
llama-4-maverick-17b-128e-instruct,-0.5844,46,39,52,40,36
gpt-4o-mini-2024-07-18,-0.7221,47,32,52,36,18
gemma-3n-e4b-it,-0.7688,48,40,52,41,39
llama-3.3-70b-instruct,-0.7866,49,42,52,43,40
amazon.nova-pro-v1:0,-0.7879,50,42,52,43,40
mistral-small-3.1-24b-instruct-2503,-0.7983,51,42,52,43,40
claude-3-5-haiku-20241022,-0.8234,52,43,52,43,41
