model,theta_hat,rank,ci_two_left,ci_two_right,ci_left,ci_uniform_left
gemini-2.5-pro-preview-03-25,1.1197,1,1,3,1,1
gemini-2.5-pro,0.859,2,1,6,1,1
gemini-2.5-pro-preview-05-06,0.6161,3,2,15,2,1
grok-4-0709,0.6017,4,2,17,2,1
grok-3-preview-02-24,0.5896,5,3,15,3,1
chatgpt-4o-latest-20250326,0.534,6,3,15,3,3
llama-4-maverick-03-26-experimental,0.4554,7,3,21,3,3
gemini-2.5-flash,0.4343,8,3,19,3,3
gemini-2.0-flash-thinking-exp-01-21,0.3987,9,2,36,2,1
o3-2025-04-16,0.3799,10,3,21,3,3
gemini-2.5-flash-preview-04-17,0.3762,11,3,21,3,3
claude-opus-4-20250514-thinking-16k,0.3618,12,3,21,3,3
deepseek-r1-0528,0.3558,13,3,22,3,3
claude-sonnet-4-20250514-thinking-32k,0.3385,14,3,23,4,3
claude-opus-4-20250514,0.3145,15,6,23,6,3
qwen3-235b-a22b-instruct-2507,0.3093,16,3,36,3,1
gemini-2.5-flash-lite-preview-06-17-thinking,0.2366,17,6,31,7,4
qwen3-235b-a22b-no-thinking,0.2234,18,7,30,9,6
gpt-4.1-2025-04-14,0.2036,19,9,32,9,6
kimi-k2-0711-preview,0.1943,20,7,32,7,4
mistral-medium-2505,0.0877,21,15,34,15,10
qwen-max-2025-01-25,0.0839,22,13,37,15,9
claude-sonnet-4-20250514,0.0497,23,15,37,15,14
gemma-3-27b-it,0.0484,24,15,37,15,14
deepseek-v3-0324,0.0443,25,15,38,15,13
qwen3-235b-a22b,0.0164,26,15,38,15,14
grok-3-mini-beta,0.0076,27,15,38,16,15
o4-mini-2025-04-16,-0.0072,28,16,38,17,15
grok-3-mini-high,-0.0218,29,15,40,15,10
hunyuan-turbos-20250416,-0.0428,30,15,42,15,9
minimax-m1,-0.0537,31,17,40,18,15
claude-3-7-sonnet-20250219-thinking-32k,-0.1079,32,19,42,19,18
gpt-4.1-mini-2025-04-14,-0.1139,33,19,42,19,18
claude-3-7-sonnet-20250219,-0.1417,34,20,42,20,18
gpt-4o-2024-11-20,-0.1477,35,10,47,15,3
gemini-2.0-flash-001,-0.1611,36,20,43,20,18
command-a-03-2025,-0.1895,37,23,44,24,19
qwq-32b,-0.2,38,20,45,23,19
o3-mini,-0.2544,39,27,46,29,23
claude-3-5-sonnet-20241022,-0.2735,40,28,46,29,24
qwen3-30b-a3b,-0.3737,41,32,47,33,27
mistral-small-2506,-0.4329,42,32,50,35,27
amazon-nova-experimental-chat-05-14,-0.4392,43,34,49,36,28
magistral-medium-2506,-0.5326,44,38,52,38,33
llama-4-scout-17b-16e-instruct,-0.5452,45,38,52,39,34
llama-4-maverick-17b-128e-instruct,-0.564,46,40,52,40,38
mistral-small-3.1-24b-instruct-2503,-0.7278,47,41,52,42,40
gemma-3n-e4b-it,-0.7421,48,41,52,42,40
llama-3.3-70b-instruct,-0.7705,49,42,52,44,41
amazon.nova-pro-v1:0,-0.7892,50,44,52,44,41
claude-3-5-haiku-20241022,-0.7967,51,44,52,44,41
gpt-4o-mini-2024-07-18,-0.8112,52,40,52,41,29
