model,theta_hat,rank,ci_two_left,ci_two_right,ci_left,ci_uniform_left
gemini-2.5-pro-preview-03-25,1.0954,1,1,2,1,1
gemini-2.5-pro,0.9192,2,1,3,1,1
grok-4-0709,0.6566,3,2,15,2,1
gemini-2.5-pro-preview-05-06,0.5838,4,3,15,3,2
chatgpt-4o-latest-20250326,0.5289,5,3,15,3,3
grok-3-preview-02-24,0.5104,6,3,15,3,3
gemini-2.5-flash,0.4905,7,3,15,3,3
llama-4-maverick-03-26-experimental,0.4838,8,3,16,3,3
o3-2025-04-16,0.4023,9,3,19,3,3
gemini-2.5-flash-preview-04-17,0.3774,10,3,22,3,3
claude-opus-4-20250514-thinking-16k,0.3661,11,3,22,3,3
deepseek-r1-0528,0.3364,12,3,23,3,3
claude-sonnet-4-20250514-thinking-32k,0.3349,13,3,24,3,3
claude-opus-4-20250514,0.2948,14,8,24,8,3
gemini-2.0-flash-thinking-exp-01-21,0.2911,15,3,38,3,1
qwen3-235b-a22b-instruct-2507,0.275,16,3,36,3,2
qwen3-235b-a22b-no-thinking,0.2588,17,9,26,9,4
gemini-2.5-flash-lite-preview-06-17-thinking,0.2407,18,9,31,9,4
kimi-k2-0711-preview,0.2122,19,9,32,9,3
gpt-4.1-2025-04-14,0.1689,20,10,32,10,9
qwen3-235b-a22b,0.1463,21,10,32,11,9
qwen-max-2025-01-25,0.1347,22,10,32,12,9
minimax-m1,0.0911,23,13,34,15,10
claude-sonnet-4-20250514,0.0609,24,16,34,16,14
mistral-medium-2505,0.053,25,16,35,16,15
o4-mini-2025-04-16,0.0462,26,16,36,16,15
deepseek-v3-0324,0.0316,27,16,37,16,15
grok-3-mini-high,0.0094,28,15,39,16,10
hunyuan-turbos-20250416,0.0084,29,12,41,14,9
grok-3-mini-beta,0.0052,30,17,38,17,15
gemma-3-27b-it,-0.0032,31,17,38,17,16
gpt-4.1-mini-2025-04-14,-0.1294,32,21,42,22,18
qwq-32b,-0.1473,33,21,42,22,18
gemini-2.0-flash-001,-0.1537,34,24,42,24,19
claude-3-7-sonnet-20250219-thinking-32k,-0.1589,35,24,42,25,20
claude-3-7-sonnet-20250219,-0.1765,36,25,43,26,21
o3-mini,-0.1984,37,26,43,26,22
gpt-4o-2024-11-20,-0.242,38,17,46,19,9
command-a-03-2025,-0.2531,39,29,44,30,26
qwen3-30b-a3b,-0.2852,40,29,45,31,26
claude-3-5-sonnet-20241022,-0.294,41,30,44,31,28
mistral-small-2506,-0.4145,42,32,48,33,28
amazon-nova-experimental-chat-05-14,-0.4441,43,37,48,38,30
llama-4-scout-17b-16e-instruct,-0.5389,44,38,51,39,35
llama-4-maverick-17b-128e-instruct,-0.5425,45,41,50,41,38
magistral-medium-2506,-0.5931,46,41,52,41,38
gemma-3n-e4b-it,-0.7349,47,41,52,42,41
mistral-small-3.1-24b-instruct-2503,-0.7839,48,44,52,44,41
llama-3.3-70b-instruct,-0.7917,49,44,52,45,41
amazon.nova-pro-v1:0,-0.7968,50,45,52,45,41
claude-3-5-haiku-20241022,-0.8473,51,46,52,46,43
gpt-4o-mini-2024-07-18,-0.8846,52,41,52,43,36
