model,theta_hat,rank,ci_two_left,ci_two_right,ci_left,ci_uniform_left
gemini-2.5-pro-preview-03-25,1.0284,1,1,3,1,1
gemini-2.5-pro,0.9135,2,1,3,1,1
grok-4-0709,0.6888,3,1,10,1,1
chatgpt-4o-latest-20250326,0.6216,4,3,10,3,2
gemini-2.5-pro-preview-05-06,0.5571,5,3,13,3,3
grok-3-preview-02-24,0.506,6,3,14,3,3
llama-4-maverick-03-26-experimental,0.482,7,3,15,3,3
gemini-2.5-flash,0.4611,8,3,15,4,3
o3-2025-04-16,0.4456,9,4,17,4,3
deepseek-r1-0528,0.3652,10,5,22,5,4
gemini-2.5-flash-preview-04-17,0.3481,11,5,22,5,4
claude-opus-4-20250514-thinking-16k,0.3184,12,6,22,7,4
claude-opus-4-20250514,0.3128,13,7,22,9,4
qwen3-235b-a22b-no-thinking,0.2771,14,10,23,10,6
claude-sonnet-4-20250514-thinking-32k,0.2615,15,9,26,10,5
gemini-2.0-flash-thinking-exp-01-21,0.2559,16,3,37,3,2
gemini-2.5-flash-lite-preview-06-17-thinking,0.2413,17,10,28,10,7
kimi-k2-0711-preview,0.2323,18,9,29,10,5
gpt-4.1-2025-04-14,0.2226,19,10,28,10,9
qwen3-235b-a22b-instruct-2507,0.1923,20,5,36,5,3
qwen3-235b-a22b,0.1658,21,10,32,11,10
qwen-max-2025-01-25,0.1025,22,14,32,14,10
hunyuan-turbos-20250416,0.0904,23,10,36,11,9
deepseek-v3-0324,0.0885,24,15,32,15,13
mistral-medium-2505,0.0797,25,15,32,16,14
o4-mini-2025-04-16,0.0697,26,15,33,16,14
claude-sonnet-4-20250514,0.0651,27,16,33,16,15
minimax-m1,0.0453,28,16,33,17,14
grok-3-mini-beta,0.0181,29,18,35,18,15
gemma-3-27b-it,-0.0231,30,19,37,20,18
grok-3-mini-high,-0.0516,31,19,41,19,15
gpt-4.1-mini-2025-04-14,-0.1141,32,23,41,25,20
gemini-2.0-flash-001,-0.1665,33,26,42,26,24
claude-3-7-sonnet-20250219,-0.1885,34,27,42,27,25
claude-3-7-sonnet-20250219-thinking-32k,-0.198,35,27,42,29,25
qwq-32b,-0.1987,36,26,42,27,25
o3-mini,-0.2166,37,29,42,29,26
command-a-03-2025,-0.2351,38,29,43,30,27
qwen3-30b-a3b,-0.2612,39,29,43,30,27
gpt-4o-2024-11-20,-0.2737,40,20,46,22,13
claude-3-5-sonnet-20241022,-0.3053,41,33,44,33,29
mistral-small-2506,-0.3252,42,31,46,32,27
amazon-nova-experimental-chat-05-14,-0.4708,43,39,48,39,34
llama-4-scout-17b-16e-instruct,-0.5279,44,40,50,41,36
llama-4-maverick-17b-128e-instruct,-0.5419,45,41,50,41,40
magistral-medium-2506,-0.6036,46,41,52,41,39
gemma-3n-e4b-it,-0.7388,47,42,52,44,41
llama-3.3-70b-instruct,-0.7392,48,43,52,44,42
mistral-small-3.1-24b-instruct-2503,-0.7894,49,44,52,45,42
claude-3-5-haiku-20241022,-0.816,50,46,52,46,44
amazon.nova-pro-v1:0,-0.8237,51,46,52,46,44
gpt-4o-mini-2024-07-18,-0.8476,52,43,52,43,38
