model,theta_hat,rank,ci_two_left,ci_two_right,ci_left,ci_uniform_left
gemini-2.5-pro-preview-03-25,1.0316,1,1,3,1,1
gemini-2.5-pro,0.8702,2,1,4,1,1
grok-4-0709,0.6538,3,1,12,1,1
chatgpt-4o-latest-20250326,0.6428,4,3,9,3,1
gemini-2.5-pro-preview-05-06,0.5747,5,3,13,3,1
grok-3-preview-02-24,0.561,6,3,13,3,3
llama-4-maverick-03-26-experimental,0.4619,7,3,19,3,3
o3-2025-04-16,0.436,8,4,20,4,3
gemini-2.5-flash,0.4169,9,4,20,4,4
deepseek-r1-0528,0.3833,10,4,21,4,4
gemini-2.5-flash-preview-04-17,0.3416,11,4,21,6,4
claude-opus-4-20250514,0.3303,12,5,21,7,4
gemini-2.0-flash-thinking-exp-01-21,0.3237,13,3,37,3,1
claude-opus-4-20250514-thinking-16k,0.3083,14,7,23,7,4
qwen3-235b-a22b-no-thinking,0.2565,15,8,26,9,6
gpt-4.1-2025-04-14,0.2559,16,7,26,9,6
claude-sonnet-4-20250514-thinking-32k,0.2544,17,7,27,8,5
gemini-2.5-flash-lite-preview-06-17-thinking,0.239,18,8,29,9,6
kimi-k2-0711-preview,0.2221,19,7,30,8,5
qwen3-235b-a22b-instruct-2507,0.2079,20,4,37,5,3
mistral-medium-2505,0.1076,21,14,32,14,12
deepseek-v3-0324,0.1074,22,13,33,14,11
qwen3-235b-a22b,0.0786,23,14,33,14,11
hunyuan-turbos-20250416,0.0652,24,11,38,12,7
claude-sonnet-4-20250514,0.0598,25,15,33,17,14
qwen-max-2025-01-25,0.0579,26,14,33,15,12
o4-mini-2025-04-16,0.0367,27,17,33,17,14
grok-3-mini-beta,0.0233,28,17,36,18,14
gemma-3-27b-it,0.0113,29,18,36,18,15
minimax-m1,-0.0656,30,19,40,19,18
grok-3-mini-high,-0.081,31,19,42,19,16
gpt-4.1-mini-2025-04-14,-0.1017,32,20,42,21,19
claude-3-7-sonnet-20250219,-0.1666,33,24,42,25,21
claude-3-7-sonnet-20250219-thinking-32k,-0.1684,34,24,42,25,21
gemini-2.0-flash-001,-0.174,35,25,42,25,21
command-a-03-2025,-0.1871,36,27,42,27,22
gpt-4o-2024-11-20,-0.2193,37,18,47,19,8
qwq-32b,-0.2464,38,27,43,30,23
o3-mini,-0.2592,39,28,44,30,27
claude-3-5-sonnet-20241022,-0.2936,40,30,46,31,27
qwen3-30b-a3b,-0.3193,41,31,46,32,27
mistral-small-2506,-0.3263,42,30,47,31,25
amazon-nova-experimental-chat-05-14,-0.4698,43,37,50,37,33
llama-4-scout-17b-16e-instruct,-0.5307,44,39,51,39,37
llama-4-maverick-17b-128e-instruct,-0.5562,45,41,51,41,39
magistral-medium-2506,-0.5583,46,39,52,40,37
llama-3.3-70b-instruct,-0.713,47,42,52,43,42
gemma-3n-e4b-it,-0.7413,48,42,52,43,41
mistral-small-3.1-24b-instruct-2503,-0.7512,49,42,52,44,42
claude-3-5-haiku-20241022,-0.7776,50,44,52,45,42
gpt-4o-mini-2024-07-18,-0.7912,51,41,52,43,32
amazon.nova-pro-v1:0,-0.8222,52,46,52,47,43
