model,theta_hat,rank,ci_two_left,ci_two_right,ci_left,ci_uniform_left
gemini-2.5-pro-preview-03-25,1.1586,1,1,2,1,1
gemini-2.5-pro,0.9712,2,1,3,1,1
grok-4-0709,0.6797,3,2,14,2,1
gemini-2.5-pro-preview-05-06,0.6498,4,3,12,3,1
chatgpt-4o-latest-20250326,0.5553,5,3,14,3,3
gemini-2.5-flash,0.5126,6,3,15,3,3
llama-4-maverick-03-26-experimental,0.492,7,3,18,3,3
grok-3-preview-02-24,0.4834,8,3,18,3,3
o3-2025-04-16,0.4433,9,3,19,3,3
gemini-2.5-flash-preview-04-17,0.4012,10,3,23,3,3
claude-opus-4-20250514-thinking-16k,0.359,11,3,24,4,3
deepseek-r1-0528,0.3409,12,4,25,4,3
gemini-2.0-flash-thinking-exp-01-21,0.2799,13,3,39,3,1
claude-sonnet-4-20250514-thinking-32k,0.2798,14,6,28,7,3
qwen3-235b-a22b-no-thinking,0.2765,15,7,28,7,5
claude-opus-4-20250514,0.2581,16,8,28,9,6
gemini-2.5-flash-lite-preview-06-17-thinking,0.2523,17,7,30,8,5
kimi-k2-0711-preview,0.2108,18,7,32,9,4
qwen3-235b-a22b,0.1716,19,10,32,10,7
gpt-4.1-2025-04-14,0.1605,20,10,32,11,10
qwen-max-2025-01-25,0.1544,21,10,33,10,9
minimax-m1,0.1311,22,10,34,11,10
qwen3-235b-a22b-instruct-2507,0.1187,23,5,41,5,3
deepseek-v3-0324,0.0904,24,12,34,13,10
o4-mini-2025-04-16,0.0743,25,13,35,13,11
hunyuan-turbos-20250416,0.0588,26,10,39,11,6
claude-sonnet-4-20250514,0.0343,27,16,36,16,13
mistral-medium-2505,0.0335,28,16,36,16,13
grok-3-mini-high,0.0229,29,13,39,13,10
gemma-3-27b-it,0.0062,30,16,38,17,14
grok-3-mini-beta,-0.0071,31,17,38,17,14
gemini-2.0-flash-001,-0.1209,32,21,43,22,17
qwq-32b,-0.125,33,20,43,22,17
gpt-4.1-mini-2025-04-14,-0.1654,34,23,43,24,20
claude-3-7-sonnet-20250219-thinking-32k,-0.1845,35,24,43,26,22
claude-3-7-sonnet-20250219,-0.1924,36,26,43,26,22
o3-mini,-0.2086,37,26,44,26,23
gpt-4o-2024-11-20,-0.2407,38,17,48,18,9
command-a-03-2025,-0.2762,39,28,45,29,26
qwen3-30b-a3b,-0.3142,40,29,47,30,27
claude-3-5-sonnet-20241022,-0.3298,41,30,47,31,28
amazon-nova-experimental-chat-05-14,-0.411,42,31,48,32,28
mistral-small-2506,-0.4377,43,31,48,34,28
llama-4-scout-17b-16e-instruct,-0.5222,44,38,51,38,31
llama-4-maverick-17b-128e-instruct,-0.5549,45,39,51,39,37
magistral-medium-2506,-0.6457,46,39,52,41,37
gemma-3n-e4b-it,-0.7524,47,41,52,42,39
amazon.nova-pro-v1:0,-0.7972,48,43,52,44,42
llama-3.3-70b-instruct,-0.8091,49,43,52,44,42
gpt-4o-mini-2024-07-18,-0.8362,50,39,52,41,31
mistral-small-3.1-24b-instruct-2503,-0.8531,51,44,52,45,41
claude-3-5-haiku-20241022,-0.8769,52,46,52,46,43
