model,theta_hat,rank,ci_two_left,ci_two_right,ci_left,ci_uniform_left
gemini-2.5-pro-preview-03-25,1.0674,1,1,3,1,1
gemini-2.5-pro,0.9498,2,1,3,1,1
grok-4-0709,0.7102,3,1,10,1,1
chatgpt-4o-latest-20250326,0.6522,4,3,9,3,2
gemini-2.5-pro-preview-05-06,0.6023,5,3,12,3,2
llama-4-maverick-03-26-experimental,0.4877,6,3,15,3,3
grok-3-preview-02-24,0.4854,7,3,16,3,3
o3-2025-04-16,0.479,8,3,15,4,3
gemini-2.5-flash,0.4726,9,4,14,4,3
deepseek-r1-0528,0.3721,10,5,22,6,4
gemini-2.5-flash-preview-04-17,0.3618,11,5,22,6,4
claude-opus-4-20250514-thinking-16k,0.3081,12,6,24,6,4
qwen3-235b-a22b-no-thinking,0.2911,13,10,24,10,6
claude-opus-4-20250514,0.289,14,10,24,10,6
gemini-2.5-flash-lite-preview-06-17-thinking,0.2502,15,10,27,10,6
gemini-2.0-flash-thinking-exp-01-21,0.24,16,3,39,3,2
kimi-k2-0711-preview,0.2345,17,10,30,10,6
gpt-4.1-2025-04-14,0.2227,18,10,28,10,10
claude-sonnet-4-20250514-thinking-32k,0.2135,19,10,31,10,10
qwen3-235b-a22b,0.1858,20,10,32,10,10
hunyuan-turbos-20250416,0.1365,21,10,34,10,6
deepseek-v3-0324,0.1363,22,12,32,12,10
qwen-max-2025-01-25,0.1136,23,12,32,12,10
o4-mini-2025-04-16,0.0915,24,15,32,15,12
minimax-m1,0.0696,25,15,34,15,12
mistral-medium-2505,0.0692,26,15,32,15,15
qwen3-235b-a22b-instruct-2507,0.0657,27,9,42,10,3
claude-sonnet-4-20250514,0.0467,28,15,34,16,15
grok-3-mini-beta,0.0102,29,17,35,18,15
gemma-3-27b-it,-0.0193,30,19,36,20,16
grok-3-mini-high,-0.0507,31,19,41,19,15
gpt-4.1-mini-2025-04-14,-0.1364,32,24,42,26,21
gemini-2.0-flash-001,-0.1449,33,25,42,26,21
qwq-32b,-0.1886,34,26,43,27,21
claude-3-7-sonnet-20250219,-0.2005,35,28,43,29,26
claude-3-7-sonnet-20250219-thinking-32k,-0.2215,36,29,43,29,26
o3-mini,-0.2261,37,29,43,29,26
command-a-03-2025,-0.2497,38,29,44,29,27
gpt-4o-2024-11-20,-0.2749,39,20,47,22,12
qwen3-30b-a3b,-0.2774,40,29,45,29,27
mistral-small-2506,-0.3294,41,29,47,30,26
claude-3-5-sonnet-20241022,-0.3325,42,30,45,32,29
amazon-nova-experimental-chat-05-14,-0.4504,43,35,48,38,30
llama-4-scout-17b-16e-instruct,-0.5149,44,39,49,39,32
llama-4-maverick-17b-128e-instruct,-0.5503,45,41,49,41,38
magistral-medium-2506,-0.6423,46,41,52,42,39
llama-3.3-70b-instruct,-0.7449,47,43,52,44,42
gemma-3n-e4b-it,-0.7529,48,42,52,44,41
gpt-4o-mini-2024-07-18,-0.8097,49,41,52,43,33
amazon.nova-pro-v1:0,-0.8271,50,46,52,46,43
claude-3-5-haiku-20241022,-0.8336,51,46,52,46,44
mistral-small-3.1-24b-instruct-2503,-0.8368,52,46,52,46,43
