model,theta_hat,rank,ci_two_left,ci_two_right,ci_left,ci_uniform_left
gemini-2.5-pro-preview-03-25,1.0792,1,1,3,1,1
gemini-2.5-pro,0.9058,2,1,4,1,1
chatgpt-4o-latest-20250326,0.6828,3,3,8,3,1
grok-4-0709,0.673,4,1,12,1,1
gemini-2.5-pro-preview-05-06,0.6313,5,3,12,3,1
grok-3-preview-02-24,0.5431,6,3,13,3,3
o3-2025-04-16,0.4732,7,4,17,4,3
llama-4-maverick-03-26-experimental,0.4655,8,3,20,4,3
gemini-2.5-flash,0.4235,9,4,20,4,4
deepseek-r1-0528,0.395,10,4,21,4,4
gemini-2.5-flash-preview-04-17,0.3564,11,4,22,5,4
gemini-2.0-flash-thinking-exp-01-21,0.3134,12,3,38,3,1
claude-opus-4-20250514,0.305,13,7,24,7,5
claude-opus-4-20250514-thinking-16k,0.2952,14,7,26,7,4
qwen3-235b-a22b-no-thinking,0.2701,15,8,26,8,6
gpt-4.1-2025-04-14,0.2606,16,8,27,8,6
gemini-2.5-flash-lite-preview-06-17-thinking,0.2495,17,8,29,9,5
kimi-k2-0711-preview,0.2234,18,7,32,8,5
claude-sonnet-4-20250514-thinking-32k,0.1982,19,10,31,10,8
deepseek-v3-0324,0.1656,20,11,32,11,10
hunyuan-turbos-20250416,0.1146,21,9,37,10,6
mistral-medium-2505,0.1002,22,13,32,14,11
qwen3-235b-a22b,0.0873,23,12,34,13,11
qwen-max-2025-01-25,0.0632,24,13,34,15,11
qwen3-235b-a22b-instruct-2507,0.062,25,7,42,9,3
o4-mini-2025-04-16,0.0575,26,15,34,15,13
claude-sonnet-4-20250514,0.0369,27,16,34,17,13
gemma-3-27b-it,0.0198,28,17,36,17,15
grok-3-mini-beta,0.0145,29,16,38,17,13
minimax-m1,-0.0518,30,18,40,19,16
grok-3-mini-high,-0.0841,31,19,42,19,15
gpt-4.1-mini-2025-04-14,-0.1264,32,21,42,21,20
gemini-2.0-flash-001,-0.1496,33,21,43,23,20
claude-3-7-sonnet-20250219,-0.1769,34,24,44,26,21
claude-3-7-sonnet-20250219-thinking-32k,-0.1943,35,25,44,26,21
command-a-03-2025,-0.1973,36,26,44,27,21
gpt-4o-2024-11-20,-0.2175,37,17,47,18,7
qwq-32b,-0.2413,38,27,45,28,21
o3-mini,-0.2765,39,28,45,29,27
claude-3-5-sonnet-20241022,-0.3245,40,29,46,30,28
mistral-small-2506,-0.3309,41,28,47,30,24
qwen3-30b-a3b,-0.3461,42,29,47,31,28
amazon-nova-experimental-chat-05-14,-0.4461,43,34,49,37,29
llama-4-scout-17b-16e-instruct,-0.5154,44,37,51,37,32
llama-4-maverick-17b-128e-instruct,-0.5679,45,40,51,40,38
magistral-medium-2506,-0.5931,46,39,52,40,36
llama-3.3-70b-instruct,-0.7149,47,42,52,43,41
gpt-4o-mini-2024-07-18,-0.7334,48,37,52,39,27
gemma-3n-e4b-it,-0.7593,49,42,52,44,41
claude-3-5-haiku-20241022,-0.7933,50,44,52,44,42
mistral-small-3.1-24b-instruct-2503,-0.7992,51,44,52,44,42
amazon.nova-pro-v1:0,-0.8257,52,46,52,46,43
