model,theta_hat,rank,ci_two_left,ci_two_right,ci_left,ci_uniform_left
gemini-2.5-pro-preview-03-25,1.0015,1,1,9,1,1
gemini-2.5-pro,0.8508,2,1,8,1,1
gemini-2.0-flash-thinking-exp-01-21,0.6884,3,1,38,1,1
grok-3-preview-02-24,0.6736,4,1,15,1,1
qwen3-235b-a22b-instruct-2507,0.5852,5,1,34,1,1
grok-4-0709,0.5814,6,1,25,1,1
llama-4-maverick-03-26-experimental,0.4941,7,2,24,2,1
gemini-2.5-pro-preview-05-06,0.4663,8,1,25,2,1
chatgpt-4o-latest-20250326,0.4496,9,2,25,2,1
deepseek-r1-0528,0.3842,10,2,26,3,2
gemini-2.5-flash,0.3578,11,2,26,3,2
claude-opus-4-20250514-thinking-16k,0.3552,12,2,28,3,2
claude-opus-4-20250514,0.3342,13,3,28,4,2
gemini-2.5-flash-preview-04-17,0.3338,14,2,29,3,2
o3-2025-04-16,0.3025,15,4,28,4,2
claude-sonnet-4-20250514-thinking-32k,0.281,16,3,32,4,2
gemini-2.5-flash-lite-preview-06-17-thinking,0.248,17,4,36,4,2
kimi-k2-0711-preview,0.1992,18,4,39,4,2
gpt-4.1-2025-04-14,0.1825,19,4,36,4,3
qwen3-235b-a22b-no-thinking,0.1525,20,4,36,5,4
gemma-3-27b-it,0.1498,21,4,37,5,4
qwen-max-2025-01-25,0.1484,22,4,39,4,4
deepseek-v3-0324,0.0933,23,5,42,6,4
claude-sonnet-4-20250514,0.042,24,7,42,10,6
mistral-medium-2505,0.0321,25,8,42,12,6
hunyuan-turbos-20250416,-0.0242,26,4,47,7,3
minimax-m1,-0.0655,27,13,46,14,6
grok-3-mini-high,-0.0675,28,8,47,12,4
claude-3-7-sonnet-20250219-thinking-32k,-0.0704,29,14,45,14,8
qwen3-235b-a22b,-0.0798,30,14,46,14,6
gpt-4o-2024-11-20,-0.1007,31,3,52,4,1
grok-3-mini-beta,-0.1112,32,15,46,16,10
o4-mini-2025-04-16,-0.1166,33,15,47,16,12
command-a-03-2025,-0.125,34,15,47,16,13
gemini-2.0-flash-001,-0.1348,35,15,47,16,13
gpt-4.1-mini-2025-04-14,-0.223,36,19,49,21,15
claude-3-7-sonnet-20250219,-0.2277,37,19,49,22,15
qwq-32b,-0.2431,38,19,49,21,15
claude-3-5-sonnet-20241022,-0.2691,39,22,49,23,16
o3-mini,-0.334,40,25,50,26,19
magistral-medium-2506,-0.3715,41,23,52,26,16
mistral-small-2506,-0.3896,42,22,52,24,15
amazon-nova-experimental-chat-05-14,-0.501,43,27,52,29,25
qwen3-30b-a3b,-0.5103,44,30,52,32,25
llama-4-scout-17b-16e-instruct,-0.534,45,26,52,28,23
llama-4-maverick-17b-128e-instruct,-0.5917,46,34,52,36,27
gemma-3n-e4b-it,-0.5971,47,29,52,34,25
mistral-small-3.1-24b-instruct-2503,-0.689,48,37,52,37,28
llama-3.3-70b-instruct,-0.7175,49,39,52,40,34
gpt-4o-mini-2024-07-18,-0.7213,50,23,52,26,5
claude-3-5-haiku-20241022,-0.7642,51,40,52,40,38
amazon.nova-pro-v1:0,-0.8076,52,40,52,40,39
