model,theta_hat,rank,ci_two_left,ci_two_right,ci_left,ci_uniform_left
gemini-2.5-pro-preview-03-25,1.0061,1,1,5,1,1
gemini-2.5-pro,0.9665,2,1,5,1,1
grok-4-0709,0.6847,3,1,18,1,1
llama-4-maverick-03-26-experimental,0.5326,4,2,20,2,2
grok-3-preview-02-24,0.5033,5,2,22,3,2
gemini-2.5-flash,0.4825,6,2,23,3,2
chatgpt-4o-latest-20250326,0.4749,7,3,23,3,2
gemini-2.5-pro-preview-05-06,0.4632,8,3,24,3,2
qwen3-235b-a22b-instruct-2507,0.4541,9,1,34,1,1
gemini-2.0-flash-thinking-exp-01-21,0.3711,10,1,42,1,1
o3-2025-04-16,0.3675,11,3,26,3,3
claude-opus-4-20250514-thinking-16k,0.3657,12,3,26,3,2
gemini-2.5-flash-preview-04-17,0.3478,13,3,28,3,2
deepseek-r1-0528,0.3427,14,3,27,3,3
claude-opus-4-20250514,0.2925,15,3,28,3,3
claude-sonnet-4-20250514-thinking-32k,0.2914,16,3,30,3,3
gemini-2.5-flash-lite-preview-06-17-thinking,0.2512,17,3,31,3,3
qwen3-235b-a22b-no-thinking,0.2443,18,4,31,6,3
kimi-k2-0711-preview,0.2349,19,3,33,3,3
qwen-max-2025-01-25,0.2115,20,4,32,5,3
minimax-m1,0.1972,21,5,33,8,3
qwen3-235b-a22b,0.1738,22,8,34,8,3
gpt-4.1-2025-04-14,0.1303,23,8,34,8,5
claude-sonnet-4-20250514,0.0617,24,11,37,14,8
hunyuan-turbos-20250416,0.0597,25,6,42,8,3
deepseek-v3-0324,0.0519,26,11,38,13,8
o4-mini-2025-04-16,0.0217,27,14,41,14,9
gemma-3-27b-it,0.0171,28,14,40,14,9
grok-3-mini-high,0.0061,29,10,42,12,7
mistral-medium-2505,-0.0077,30,14,41,16,11
grok-3-mini-beta,-0.072,31,16,42,17,14
gemini-2.0-flash-001,-0.1347,32,19,45,21,16
qwq-32b,-0.1354,33,18,45,20,14
claude-3-7-sonnet-20250219-thinking-32k,-0.1708,34,22,46,22,17
o3-mini,-0.2056,35,22,46,24,19
gpt-4.1-mini-2025-04-14,-0.214,36,22,47,24,19
claude-3-7-sonnet-20250219,-0.2527,37,24,48,27,22
command-a-03-2025,-0.2627,38,25,48,27,22
qwen3-30b-a3b,-0.3005,39,27,48,28,22
gpt-4o-2024-11-20,-0.3015,40,14,52,18,3
claude-3-5-sonnet-20241022,-0.309,41,28,48,28,23
mistral-small-2506,-0.3634,42,25,50,28,19
amazon-nova-experimental-chat-05-14,-0.4913,43,32,52,33,28
magistral-medium-2506,-0.5222,44,32,52,35,28
llama-4-scout-17b-16e-instruct,-0.5271,45,33,52,35,28
llama-4-maverick-17b-128e-instruct,-0.5443,46,37,52,38,31
gemma-3n-e4b-it,-0.6312,47,37,52,39,30
llama-3.3-70b-instruct,-0.7735,48,41,52,41,41
mistral-small-3.1-24b-instruct-2503,-0.7934,49,41,52,41,39
amazon.nova-pro-v1:0,-0.8157,50,42,52,42,41
claude-3-5-haiku-20241022,-0.8637,51,42,52,44,41
gpt-4o-mini-2024-07-18,-0.916,52,39,52,41,25
