model,theta_hat,rank,ci_two_left,ci_two_right,ci_left,ci_uniform_left
gemini-2.5-pro,0.9395,1,1,4,1,1
gemini-2.5-pro-preview-03-25,0.9291,2,1,5,1,1
grok-4-0709,0.7222,3,1,12,1,1
chatgpt-4o-latest-20250326,0.6322,4,2,11,2,2
llama-4-maverick-03-26-experimental,0.512,5,2,17,3,2
grok-3-preview-02-24,0.5001,6,3,17,3,2
gemini-2.5-pro-preview-05-06,0.4663,7,3,22,3,2
o3-2025-04-16,0.4457,8,3,19,3,2
gemini-2.5-flash,0.44,9,3,19,4,2
deepseek-r1-0528,0.3842,10,4,23,4,3
claude-opus-4-20250514,0.3186,11,5,25,5,4
gemini-2.5-flash-preview-04-17,0.3156,12,5,25,5,4
gemini-2.0-flash-thinking-exp-01-21,0.2978,13,2,41,3,1
claude-opus-4-20250514-thinking-16k,0.2962,14,5,26,5,4
qwen3-235b-a22b-no-thinking,0.2752,15,7,26,7,4
qwen3-235b-a22b-instruct-2507,0.2643,16,3,35,3,1
kimi-k2-0711-preview,0.2547,17,5,31,6,4
gemini-2.5-flash-lite-preview-06-17-thinking,0.2467,18,7,29,7,4
gpt-4.1-2025-04-14,0.2234,19,9,29,9,5
claude-sonnet-4-20250514-thinking-32k,0.1993,20,9,32,9,6
qwen3-235b-a22b,0.1914,21,9,32,10,5
hunyuan-turbos-20250416,0.1704,22,5,34,7,4
qwen-max-2025-01-25,0.135,23,10,32,11,9
deepseek-v3-0324,0.1287,24,11,32,11,9
minimax-m1,0.091,25,12,32,12,9
o4-mini-2025-04-16,0.0674,26,13,34,15,11
claude-sonnet-4-20250514,0.0664,27,15,32,15,12
mistral-medium-2505,0.0554,28,15,35,15,12
gemma-3-27b-it,-0.0202,29,17,41,18,15
grok-3-mini-beta,-0.0246,30,17,41,18,15
grok-3-mini-high,-0.0889,31,18,42,20,15
gpt-4.1-mini-2025-04-14,-0.1576,32,23,42,26,20
gemini-2.0-flash-001,-0.1632,33,26,42,26,20
qwq-32b,-0.2151,34,27,44,27,21
claude-3-7-sonnet-20250219-thinking-32k,-0.2249,35,27,44,27,26
o3-mini,-0.2307,36,27,44,28,26
command-a-03-2025,-0.2314,37,27,45,27,26
claude-3-7-sonnet-20250219,-0.2412,38,27,46,28,26
mistral-small-2506,-0.2479,39,26,47,27,20
qwen3-30b-a3b,-0.2557,40,27,46,29,26
claude-3-5-sonnet-20241022,-0.3205,41,30,47,30,29
gpt-4o-2024-11-20,-0.3246,42,20,50,24,10
llama-4-scout-17b-16e-instruct,-0.5136,43,34,51,39,30
amazon-nova-experimental-chat-05-14,-0.5141,44,37,50,39,30
llama-4-maverick-17b-128e-instruct,-0.5435,45,40,50,40,36
magistral-medium-2506,-0.5667,46,39,52,40,31
gemma-3n-e4b-it,-0.6749,47,42,52,42,39
llama-3.3-70b-instruct,-0.7064,48,42,52,42,42
mistral-small-3.1-24b-instruct-2503,-0.7968,49,42,52,42,42
claude-3-5-haiku-20241022,-0.8107,50,43,52,45,42
gpt-4o-mini-2024-07-18,-0.8454,51,42,52,42,31
amazon.nova-pro-v1:0,-0.8502,52,45,52,45,42
