model,theta_hat,rank,ci_two_left,ci_two_right,ci_left,ci_uniform_left
gemini-2.5-pro-preview-03-25,0.8956,1,1,9,1,1
gemini-2.5-pro,0.874,2,1,6,1,1
grok-4-0709,0.6734,3,1,14,1,1
chatgpt-4o-latest-20250326,0.6696,4,1,10,1,1
grok-3-preview-02-24,0.5881,5,2,12,2,1
llama-4-maverick-03-26-experimental,0.4876,6,2,19,2,2
gemini-2.5-pro-preview-05-06,0.4674,7,2,22,2,2
gemini-2.0-flash-thinking-exp-01-21,0.4326,8,1,38,1,1
o3-2025-04-16,0.4302,9,3,22,4,2
deepseek-r1-0528,0.4173,10,3,23,4,2
gemini-2.5-flash,0.3632,11,4,23,4,3
claude-opus-4-20250514,0.3486,12,4,23,5,3
qwen3-235b-a22b-instruct-2507,0.3022,13,2,37,3,1
gemini-2.5-flash-preview-04-17,0.2971,14,5,28,5,3
gpt-4.1-2025-04-14,0.2765,15,5,28,6,4
claude-opus-4-20250514-thinking-16k,0.275,16,5,28,6,4
gemini-2.5-flash-lite-preview-06-17-thinking,0.2447,17,6,30,6,4
kimi-k2-0711-preview,0.2406,18,5,31,6,4
qwen3-235b-a22b-no-thinking,0.2404,19,6,29,7,5
claude-sonnet-4-20250514-thinking-32k,0.1754,20,8,32,8,5
deepseek-v3-0324,0.1717,21,8,32,8,5
hunyuan-turbos-20250416,0.1505,22,6,37,6,4
mistral-medium-2505,0.0924,23,12,34,12,9
qwen-max-2025-01-25,0.0704,24,12,37,12,8
qwen3-235b-a22b,0.0623,25,12,37,12,9
claude-sonnet-4-20250514,0.0609,26,12,36,12,12
gemma-3-27b-it,0.0397,27,12,37,12,12
o4-mini-2025-04-16,0.0125,28,15,38,16,12
grok-3-mini-beta,-0.0277,29,16,39,17,12
minimax-m1,-0.0761,30,17,43,18,12
grok-3-mini-high,-0.1462,31,18,45,20,14
gpt-4.1-mini-2025-04-14,-0.1494,32,21,44,21,17
command-a-03-2025,-0.151,33,21,44,21,17
gemini-2.0-flash-001,-0.1732,34,21,44,22,20
claude-3-7-sonnet-20250219-thinking-32k,-0.1851,35,22,45,22,20
claude-3-7-sonnet-20250219,-0.2232,36,25,46,25,21
mistral-small-2506,-0.2344,37,21,47,21,17
gpt-4o-2024-11-20,-0.2515,38,12,51,15,4
qwq-32b,-0.2982,39,27,48,28,22
o3-mini,-0.3043,40,29,48,29,25
claude-3-5-sonnet-20241022,-0.3057,41,29,48,29,25
qwen3-30b-a3b,-0.3491,42,29,48,31,26
magistral-medium-2506,-0.4846,43,31,51,33,28
llama-4-scout-17b-16e-instruct,-0.5134,44,35,51,36,29
amazon-nova-experimental-chat-05-14,-0.5208,45,35,51,37,30
llama-4-maverick-17b-128e-instruct,-0.5661,46,37,52,39,34
llama-3.3-70b-instruct,-0.6538,47,42,52,42,37
gemma-3n-e4b-it,-0.6595,48,40,52,41,34
mistral-small-3.1-24b-instruct-2503,-0.7411,49,42,52,42,39
gpt-4o-mini-2024-07-18,-0.7415,50,31,52,36,20
claude-3-5-haiku-20241022,-0.75,51,42,52,42,42
amazon.nova-pro-v1:0,-0.8542,52,44,52,46,42
