model,theta_hat,rank,ci_two_left,ci_two_right,ci_left,ci_uniform_left
gemini-2.5-pro,1.0053,1,1,4,1,1
gemini-2.5-pro-preview-03-25,0.9734,2,1,5,1,1
grok-4-0709,0.7646,3,1,11,1,1
chatgpt-4o-latest-20250326,0.683,4,2,10,2,2
llama-4-maverick-03-26-experimental,0.5275,5,2,18,3,2
gemini-2.5-pro-preview-05-06,0.5208,6,2,21,3,2
o3-2025-04-16,0.4981,7,3,18,3,2
grok-3-preview-02-24,0.4674,8,3,21,3,2
gemini-2.5-flash,0.4524,9,4,21,4,2
deepseek-r1-0528,0.3985,10,4,24,4,3
gemini-2.5-flash-preview-04-17,0.3313,11,5,26,5,4
qwen3-235b-a22b-no-thinking,0.2966,12,5,26,6,4
claude-opus-4-20250514,0.2803,13,7,27,7,4
gemini-2.0-flash-thinking-exp-01-21,0.2796,14,2,41,3,1
claude-opus-4-20250514-thinking-16k,0.2756,15,5,27,6,4
hunyuan-turbos-20250416,0.2651,16,5,32,5,3
kimi-k2-0711-preview,0.263,17,5,32,5,4
gemini-2.5-flash-lite-preview-06-17-thinking,0.2613,18,5,29,6,4
qwen3-235b-a22b,0.2281,19,7,32,7,5
gpt-4.1-2025-04-14,0.2231,20,7,31,10,5
deepseek-v3-0324,0.2111,21,9,32,10,5
qwen-max-2025-01-25,0.1595,22,10,32,10,7
minimax-m1,0.1394,23,10,33,11,7
claude-sonnet-4-20250514-thinking-32k,0.1066,24,11,34,11,10
o4-mini-2025-04-16,0.1009,25,11,34,11,10
qwen3-235b-a22b-instruct-2507,0.0864,26,5,42,5,2
claude-sonnet-4-20250514,0.0357,27,14,36,15,11
mistral-medium-2505,0.0325,28,15,36,15,11
gemma-3-27b-it,-0.014,29,16,38,17,14
grok-3-mini-beta,-0.0464,30,17,41,20,14
grok-3-mini-high,-0.0994,31,17,43,20,12
gemini-2.0-flash-001,-0.1306,32,21,43,24,19
gpt-4.1-mini-2025-04-14,-0.2014,33,27,45,27,21
qwq-32b,-0.2014,34,25,45,25,20
mistral-small-2506,-0.2378,35,25,47,25,19
o3-mini,-0.25,36,27,45,28,24
command-a-03-2025,-0.2553,37,27,46,28,25
claude-3-7-sonnet-20250219-thinking-32k,-0.265,38,28,46,28,27
claude-3-7-sonnet-20250219,-0.2702,39,28,46,28,27
qwen3-30b-a3b,-0.2792,40,28,47,28,25
gpt-4o-2024-11-20,-0.3355,41,21,51,22,10
claude-3-5-sonnet-20241022,-0.3687,42,29,48,30,28
amazon-nova-experimental-chat-05-14,-0.4888,43,32,50,34,29
llama-4-scout-17b-16e-instruct,-0.4902,44,32,50,33,29
llama-4-maverick-17b-128e-instruct,-0.5587,45,39,50,40,32
magistral-medium-2506,-0.6225,46,39,52,40,30
gemma-3n-e4b-it,-0.6854,47,41,52,42,33
llama-3.3-70b-instruct,-0.7111,48,42,52,42,41
gpt-4o-mini-2024-07-18,-0.7856,49,34,52,37,25
claude-3-5-haiku-20241022,-0.839,50,45,52,45,42
amazon.nova-pro-v1:0,-0.8619,51,45,52,45,42
mistral-small-3.1-24b-instruct-2503,-0.8696,52,43,52,45,42
