model,theta_hat,rank,ci_two_left,ci_two_right,ci_left,ci_uniform_left
gemini-2.5-pro-preview-03-25,0.9456,1,1,9,1,1
gemini-2.5-pro,0.9414,2,1,5,1,1
chatgpt-4o-latest-20250326,0.7494,3,1,10,1,1
grok-4-0709,0.7142,4,1,18,1,1
grok-3-preview-02-24,0.5629,5,2,19,2,2
gemini-2.5-pro-preview-05-06,0.5403,6,2,21,2,1
llama-4-maverick-03-26-experimental,0.5013,7,2,22,2,2
o3-2025-04-16,0.4926,8,2,22,3,2
deepseek-r1-0528,0.4474,9,3,22,3,2
gemini-2.0-flash-thinking-exp-01-21,0.4432,10,1,42,1,1
gemini-2.5-flash,0.357,11,4,24,4,3
gemini-2.5-flash-preview-04-17,0.3115,12,4,28,4,3
claude-opus-4-20250514,0.3063,13,4,27,4,3
deepseek-v3-0324,0.2885,15,4,29,4,3
gpt-4.1-2025-04-14,0.2885,14,4,29,4,3
hunyuan-turbos-20250416,0.2679,16,4,35,4,2
gemini-2.5-flash-lite-preview-06-17-thinking,0.2649,17,4,30,6,3
qwen3-235b-a22b-no-thinking,0.2591,18,5,29,6,4
kimi-k2-0711-preview,0.2477,19,4,33,5,3
claude-opus-4-20250514-thinking-16k,0.2443,20,6,31,6,4
qwen-max-2025-01-25,0.0818,21,10,38,10,8
qwen3-235b-a22b-instruct-2507,0.081,22,4,46,5,1
mistral-medium-2505,0.0737,23,11,36,12,10
qwen3-235b-a22b,0.0719,24,10,38,11,8
gemma-3-27b-it,0.0615,25,11,37,12,10
claude-sonnet-4-20250514-thinking-32k,0.0512,26,11,38,11,10
o4-mini-2025-04-16,0.0422,27,11,38,12,10
claude-sonnet-4-20250514,0.0174,28,12,40,16,11
minimax-m1,-0.0515,29,16,41,18,11
grok-3-mini-beta,-0.0585,30,18,41,18,12
gemini-2.0-flash-001,-0.1339,31,19,46,19,18
command-a-03-2025,-0.1624,32,19,46,19,18
grok-3-mini-high,-0.1763,33,18,46,19,12
gpt-4.1-mini-2025-04-14,-0.2061,34,21,46,22,18
mistral-small-2506,-0.2171,35,19,48,20,15
claude-3-7-sonnet-20250219-thinking-32k,-0.2347,36,22,46,27,19
claude-3-7-sonnet-20250219,-0.2558,37,27,46,27,19
gpt-4o-2024-11-20,-0.2632,38,10,52,11,4
qwq-32b,-0.3007,39,27,49,27,19
o3-mini,-0.3498,40,27,49,29,27
claude-3-5-sonnet-20241022,-0.3682,41,29,49,29,27
qwen3-30b-a3b,-0.4023,42,29,49,29,27
llama-4-scout-17b-16e-instruct,-0.4812,43,29,52,31,27
amazon-nova-experimental-chat-05-14,-0.4891,44,29,51,31,27
magistral-medium-2506,-0.5238,45,29,52,32,27
llama-4-maverick-17b-128e-instruct,-0.5917,46,36,52,37,31
gpt-4o-mini-2024-07-18,-0.6123,47,20,52,28,10
llama-3.3-70b-instruct,-0.6433,48,38,52,39,33
gemma-3n-e4b-it,-0.6723,49,37,52,38,30
claude-3-5-haiku-20241022,-0.7747,50,42,52,42,39
mistral-small-3.1-24b-instruct-2503,-0.8155,51,42,52,42,37
amazon.nova-pro-v1:0,-0.87,52,43,52,44,42
