model,theta_hat,rank,ci_two_left,ci_two_right,ci_left,ci_uniform_left
gemini-2.5-pro-preview-03-25,1.0015,1,1,6,1,1
gemini-2.5-pro,0.967,2,1,3,1,1
chatgpt-4o-latest-20250326,0.6778,3,2,12,2,2
grok-4-0709,0.662,4,1,13,2,1
o3-2025-04-16,0.6487,5,2,12,2,2
grok-3-preview-02-24,0.6273,6,2,12,2,2
gemini-2.5-flash,0.565,7,3,13,3,2
llama-4-maverick-03-26-experimental,0.5376,8,3,13,3,2
deepseek-r1-0528,0.5302,9,3,13,3,2
gemini-2.5-pro-preview-05-06,0.5124,10,3,17,3,2
kimi-k2-0711-preview,0.3073,11,6,28,7,5
qwen3-235b-a22b-no-thinking,0.2972,12,10,29,10,7
gpt-4.1-2025-04-14,0.2889,13,10,29,10,7
gemini-2.5-flash-preview-04-17,0.2561,14,10,29,10,7
gemini-2.5-flash-lite-preview-06-17-thinking,0.2099,15,11,32,11,9
claude-opus-4-20250514,0.2093,16,11,29,11,10
qwen3-235b-a22b,0.2039,17,11,32,11,9
claude-opus-4-20250514-thinking-16k,0.2012,18,11,30,11,10
qwen3-235b-a22b-instruct-2507,0.1813,19,4,38,6,3
o4-mini-2025-04-16,0.1487,20,11,34,11,11
mistral-medium-2505,0.146,21,11,34,11,11
deepseek-v3-0324,0.1431,22,11,34,11,11
hunyuan-turbos-20250416,0.1413,23,10,37,11,6
claude-sonnet-4-20250514-thinking-32k,0.1206,24,11,35,11,11
grok-3-mini-beta,0.0834,25,11,37,12,11
qwen-max-2025-01-25,0.0727,26,11,37,12,11
grok-3-mini-high,0.0691,27,11,38,11,11
minimax-m1,-0.0219,28,16,38,18,13
gemma-3-27b-it,-0.0279,29,18,38,19,13
gemini-2.0-flash-thinking-exp-01-21,-0.0457,30,8,46,10,3
gpt-4.1-mini-2025-04-14,-0.0553,31,19,38,20,16
qwq-32b,-0.0963,32,20,40,21,16
claude-sonnet-4-20250514,-0.1077,33,23,39,23,20
mistral-small-2506,-0.1115,34,19,40,20,13
qwen3-30b-a3b,-0.115,35,22,40,23,18
gemini-2.0-flash-001,-0.152,36,23,40,24,21
o3-mini,-0.2017,37,25,42,26,23
gpt-4o-2024-11-20,-0.2724,38,15,49,19,11
command-a-03-2025,-0.3103,39,30,45,31,28
amazon-nova-experimental-chat-05-14,-0.3844,40,32,47,34,28
claude-3-7-sonnet-20250219-thinking-32k,-0.4171,41,35,47,37,31
claude-3-7-sonnet-20250219,-0.4368,42,37,48,37,33
claude-3-5-sonnet-20241022,-0.4929,43,37,48,37,35
gemma-3n-e4b-it,-0.5251,44,37,51,37,33
llama-4-maverick-17b-128e-instruct,-0.5956,45,38,52,38,37
llama-4-scout-17b-16e-instruct,-0.6285,46,38,52,38,37
mistral-small-3.1-24b-instruct-2503,-0.7212,47,40,52,41,38
llama-3.3-70b-instruct,-0.7779,48,42,52,43,41
gpt-4o-mini-2024-07-18,-0.8101,49,37,52,39,30
amazon.nova-pro-v1:0,-0.8132,50,43,52,44,42
magistral-medium-2506,-0.842,51,43,52,44,41
claude-3-5-haiku-20241022,-0.847,52,43,52,46,42
