"method","theta_hat","rank","ci_two_left","ci_two_right","ci_left","ci_uniform_left"
"gemini-2.5-pro",9.12104304185275,1,1,43,1,1
"gemini-2.5-pro-preview-03",7.07069500251048,2,1,44,1,1
"grok-4-0709",6.07719927091562,5,1,52,1,1
"o3-2025-04-16",5.0846769368174,9,1,52,2,1
"chatgpt-4o-latest-2025032",5.83803507337298,6,1,52,1,1
"gemini-2.5-pro-preview-05",4.21478811562326,15,2,52,2,1
"deepseek-r1-0528",4.6573778071258,12,2,52,2,1
"grok-3-preview-02-24",6.66047998636664,3,1,52,1,1
"llama-4-maverick-03-26-ex",5.35437636099893,7,1,52,2,1
"gemini-2.5-flash",5.26077715568187,8,1,52,2,1
"qwen3-235b-a22b-no-thinki",3.85846881092713,18,2,52,3,1
"gemini-2.5-flash-preview-",4.07013557422888,17,2,52,3,1
"gemini-2.0-flash-thinking",2.5985101981664,25,7,52,8,2
"kimi-k2-0711-preview",4.40158860189767,14,2,52,2,1
"gpt-4.1-2025-04-14",4.0701355742289,16,2,52,2,1
"deepseek-v3-0324",2.58582052440998,26,4,52,5,2
"o4-mini-2025-04-16",2.74469506352854,24,4,52,6,2
"mistral-medium-2505",3.13516458001116,21,3,52,5,1
"gemini-2.5-flash-lite-pre",3.27801212712676,20,3,52,5,1
"qwen-max-2025-01-25",0.894452028040789,29,16,52,19,1
"hunyuan-turbos-20250416",2.75169858010475,23,4,52,5,2
"qwen3-235b-a22b",3.36244230420045,19,3,52,5,1
"minimax-m1",-0.16114666364971,34,19,52,22,1
"claude-opus-4-20250514-th",4.50956233080565,13,2,52,2,1
"qwen3-235b-a22b-instruct-",6.42589465923285,4,1,52,1,1
"gemma-3-27b-it",0.389866119150165,31,19,52,19,1
"claude-opus-4-20250514",5.01405337724971,10,1,52,2,1
"grok-3-mini-beta",1.76016486001556,27,10,52,13,1
"grok-3-mini-high",0.959325231566421,28,15,52,19,1
"gpt-4o-2024-11-20",-0.179099553470579,35,21,52,22,1
"claude-sonnet-4-20250514-",4.83667975079453,11,1,52,2,1
"gemini-2.0-flash-001",-1.36205237966271,42,27,52,27,1
"mistral-small-2506",-1.13426940941838,40,27,52,27,1
"gpt-4.1-mini-2025-04-14",0.694174858895455,30,18,52,19,1
"qwq-32b",-1.13426940941908,41,27,52,27,1
"claude-sonnet-4-20250514",2.82865676200921,22,6,52,7,2
"qwen3-30b-a3b",-0.129574862938492,33,21,52,22,1
"command-a-03-2025",-0.782127509226383,39,22,52,27,1
"o3-mini",-0.237782645276091,36,21,52,23,1
"amazon-nova-experimental-",-3.45021724448933,43,33,52,37,1
"gemma-3n-e4b-it",-11.7122658569423,47,46,52,46,1
"claude-3-7-sonnet-2025021",0.264621729719593,32,19,52,20,1
"claude-3-5-sonnet-2024102",-0.37165347483421,37,21,52,23,1
"llama-4-maverick-17b-128e",-11.6745724370168,46,46,52,46,1
"claude-3-7-sonnet-2025021.1",-0.444722831606891,38,22,52,25,1
"llama-4-scout-17b-16e-ins",-11.7344280391418,48,46,52,46,1
"llama-3.3-70b-instruct",-12.5127472277745,50,46,52,46,1
"amazon.nova-pro-v1:0",-12.5127474785598,51,46,52,46,1
"mistral-small-3.1-24b-ins",-7.9264357962472,44,44,52,44,1
"magistral-medium-2506",-7.95957291245001,45,44,52,44,1
"claude-3-5-haiku-20241022",-12.4481656242989,49,46,52,46,1
"gpt-4o-mini-2024-07-18",-26.9057210411531,52,52,52,52,1
