"method","theta_hat","rank","ci_two_left","ci_two_right","ci_left","ci_uniform_left"
"gemini-2.5-pro",32.6449102102551,1,1,52,1,1
"gemini-2.5-pro-preview-03",30.8250927882319,3,1,52,1,1
"grok-4-0709",29.0574308705829,4,1,52,2,1
"o3-2025-04-16",27.1115207215274,5,3,52,4,1
"chatgpt-4o-latest-2025032",32.1549458384468,2,1,52,1,1
"gemini-2.5-pro-preview-05",-3.22965745593711,29,6,52,6,1
"deepseek-r1-0528",-3.22965745593711,29,6,52,6,1
"grok-3-preview-02-24",-3.22965745593711,29,6,52,6,1
"llama-4-maverick-03-26-ex",-3.22965745593711,29,6,52,6,1
"gemini-2.5-flash",-3.22965745593711,29,6,52,6,1
"qwen3-235b-a22b-no-thinki",-3.22965745593711,29,6,52,6,1
"gemini-2.5-flash-preview-",-3.22965745593711,29,6,52,6,1
"gemini-2.0-flash-thinking",-3.22965745593711,29,6,52,6,1
"kimi-k2-0711-preview",-3.22965745593711,29,6,52,6,1
"gpt-4.1-2025-04-14",-3.22965745593711,29,6,52,6,1
"deepseek-v3-0324",-3.22965745593711,29,6,52,6,1
"o4-mini-2025-04-16",-3.22965745593711,29,6,52,6,1
"mistral-medium-2505",-3.22965745593711,29,6,52,6,1
"gemini-2.5-flash-lite-pre",-3.22965745593711,29,6,52,6,1
"qwen-max-2025-01-25",-3.22965745593711,29,6,52,6,1
"hunyuan-turbos-20250416",-3.22965745593711,29,6,52,6,1
"qwen3-235b-a22b",-3.22965745593711,29,6,52,6,1
"minimax-m1",-3.22965745593711,29,6,52,6,1
"claude-opus-4-20250514-th",-3.22965745593711,29,6,52,6,1
"qwen3-235b-a22b-instruct-",-3.22965745593711,29,6,52,6,1
"gemma-3-27b-it",-3.22965745593711,29,6,52,6,1
"claude-opus-4-20250514",-3.22965745593711,29,6,52,6,1
"grok-3-mini-beta",-3.22965745593711,29,6,52,6,1
"grok-3-mini-high",-3.22965745593711,29,6,52,6,1
"gpt-4o-2024-11-20",-3.22965745593711,29,6,52,6,1
"claude-sonnet-4-20250514-",-3.22965745593711,29,6,52,6,1
"gemini-2.0-flash-001",-3.22965745593711,29,6,52,6,1
"mistral-small-2506",-3.22965745593711,29,6,52,6,1
"gpt-4.1-mini-2025-04-14",-3.22965745593711,29,6,52,6,1
"qwq-32b",-3.22965745593711,29,6,52,6,1
"claude-sonnet-4-20250514",-3.22965745593711,29,6,52,6,1
"qwen3-30b-a3b",-3.22965745593711,29,6,52,6,1
"command-a-03-2025",-3.22965745593711,29,6,52,6,1
"o3-mini",-3.22965745593711,29,6,52,6,1
"amazon-nova-experimental-",-3.22965745593711,29,6,52,6,1
"gemma-3n-e4b-it",-3.22965745593711,29,6,52,6,1
"claude-3-7-sonnet-2025021",-3.22965745593711,29,6,52,6,1
"claude-3-5-sonnet-2024102",-3.22965745593711,29,6,52,6,1
"llama-4-maverick-17b-128e",-3.22965745593711,29,6,52,6,1
"claude-3-7-sonnet-2025021.1",-3.22965745593711,29,6,52,6,1
"llama-4-scout-17b-16e-ins",-3.22965745593711,29,6,52,6,1
"llama-3.3-70b-instruct",-3.22965745593711,29,6,52,6,1
"amazon.nova-pro-v1:0",-3.22965745593711,29,6,52,6,1
"mistral-small-3.1-24b-ins",-3.22965745593711,29,6,52,6,1
"magistral-medium-2506",-3.22965745593711,29,6,52,6,1
"claude-3-5-haiku-20241022",-3.22965745593711,29,6,52,6,1
"gpt-4o-mini-2024-07-18",-3.22965745593711,29,6,52,6,1
