model,theta_hat,rank,ci_two_left,ci_two_right,ci_left,ci_uniform_left
gemini-2.5-pro-preview-03-25,1.0709,1,1,2,1,1
gemini-2.5-pro,0.9339,2,1,3,1,1
grok-4-0709,0.6532,3,3,10,3,1
chatgpt-4o-latest-20250326,0.6502,4,3,9,3,3
grok-3-preview-02-24,0.5899,5,3,12,3,3
gemini-2.5-pro-preview-05-06,0.5827,6,3,12,3,3
o3-2025-04-16,0.5801,7,3,12,3,3
gemini-2.5-flash,0.5433,8,3,12,3,3
llama-4-maverick-03-26-experimental,0.4979,9,3,14,3,3
deepseek-r1-0528,0.4576,10,4,16,4,3
gemini-2.5-flash-preview-04-17,0.306,11,9,24,10,7
qwen3-235b-a22b-no-thinking,0.2905,12,10,24,10,8
kimi-k2-0711-preview,0.2661,13,10,28,10,7
gpt-4.1-2025-04-14,0.2658,14,11,28,11,9
claude-opus-4-20250514-thinking-16k,0.2525,15,11,28,11,9
claude-opus-4-20250514,0.2389,16,11,28,11,10
gemini-2.5-flash-lite-preview-06-17-thinking,0.2171,17,11,29,11,10
claude-sonnet-4-20250514-thinking-32k,0.2038,18,11,29,11,11
qwen3-235b-a22b,0.1761,19,11,30,11,11
mistral-medium-2505,0.1399,20,11,31,12,11
qwen3-235b-a22b-instruct-2507,0.135,21,9,38,9,3
o4-mini-2025-04-16,0.1246,22,11,32,12,11
deepseek-v3-0324,0.0985,23,13,33,13,11
grok-3-mini-beta,0.0888,24,13,34,13,11
hunyuan-turbos-20250416,0.0804,25,11,37,11,11
qwen-max-2025-01-25,0.0607,26,13,34,16,11
grok-3-mini-high,0.0548,27,13,37,14,11
gemini-2.0-flash-thinking-exp-01-21,0.037,28,9,43,11,3
gemma-3-27b-it,-0.028,29,21,38,21,18
minimax-m1,-0.0298,30,19,38,21,16
gpt-4.1-mini-2025-04-14,-0.0453,31,21,38,21,19
claude-sonnet-4-20250514,-0.0526,32,21,38,22,19
qwq-32b,-0.1181,33,23,40,24,21
gemini-2.0-flash-001,-0.1606,34,25,42,25,23
qwen3-30b-a3b,-0.1673,35,25,42,25,23
o3-mini,-0.198,36,26,42,27,24
mistral-small-2506,-0.2253,37,25,43,27,22
gpt-4o-2024-11-20,-0.2362,38,20,46,22,11
command-a-03-2025,-0.2898,39,31,43,31,30
claude-3-7-sonnet-20250219,-0.3235,40,32,43,33,31
claude-3-7-sonnet-20250219-thinking-32k,-0.3348,41,33,44,33,31
amazon-nova-experimental-chat-05-14,-0.3851,42,33,47,34,31
claude-3-5-sonnet-20241022,-0.4215,43,36,47,36,34
llama-4-maverick-17b-128e-instruct,-0.5789,44,41,50,41,39
llama-4-scout-17b-16e-instruct,-0.609,45,41,52,41,38
gemma-3n-e4b-it,-0.6223,46,41,52,41,38
mistral-small-3.1-24b-instruct-2503,-0.738,47,44,52,44,43
magistral-medium-2506,-0.7862,48,44,52,44,43
llama-3.3-70b-instruct,-0.7878,49,44,52,45,43
amazon.nova-pro-v1:0,-0.7997,50,45,52,45,43
gpt-4o-mini-2024-07-18,-0.8193,51,42,52,44,35
claude-3-5-haiku-20241022,-0.8391,52,45,52,45,44
