model,theta_hat,rank,ci_two_left,ci_two_right,ci_left,ci_uniform_left
gemini-2.5-pro-preview-03-25,1.0353,1,1,2,1,1
gemini-2.5-pro,0.9048,2,1,3,1,1
grok-4-0709,0.6402,3,3,11,3,1
chatgpt-4o-latest-20250326,0.6223,4,3,11,3,3
grok-3-preview-02-24,0.6002,5,3,12,3,3
gemini-2.5-pro-preview-05-06,0.5435,6,3,12,3,3
o3-2025-04-16,0.5403,7,3,12,3,3
gemini-2.5-flash,0.5257,8,3,12,3,3
llama-4-maverick-03-26-experimental,0.492,9,3,13,3,3
deepseek-r1-0528,0.4426,10,4,16,4,3
gemini-2.5-flash-preview-04-17,0.2992,11,9,23,10,7
qwen3-235b-a22b-no-thinking,0.278,12,10,23,11,10
claude-opus-4-20250514-thinking-16k,0.2677,13,10,26,11,8
claude-opus-4-20250514,0.2645,14,11,23,11,10
gpt-4.1-2025-04-14,0.2616,15,10,26,11,10
kimi-k2-0711-preview,0.261,16,10,28,10,7
claude-sonnet-4-20250514-thinking-32k,0.2431,17,11,28,11,10
qwen3-235b-a22b-instruct-2507,0.239,18,4,34,6,3
gemini-2.5-flash-lite-preview-06-17-thinking,0.2117,19,11,29,11,10
qwen3-235b-a22b,0.1606,20,11,29,11,11
mistral-medium-2505,0.1414,21,11,29,11,11
o4-mini-2025-04-16,0.1016,22,14,33,14,11
grok-3-mini-beta,0.0885,23,14,33,16,11
gemini-2.0-flash-thinking-exp-01-21,0.0823,24,9,41,10,3
deepseek-v3-0324,0.0589,25,16,34,18,12
qwen-max-2025-01-25,0.0558,26,16,34,17,11
hunyuan-turbos-20250416,0.0475,27,11,38,12,11
grok-3-mini-high,0.0425,28,15,37,16,11
claude-sonnet-4-20250514,-0.0268,29,21,38,21,19
gemma-3-27b-it,-0.03,30,21,38,21,19
gpt-4.1-mini-2025-04-14,-0.0331,31,20,38,21,19
minimax-m1,-0.0424,32,21,38,21,19
qwq-32b,-0.133,33,23,41,24,21
qwen3-30b-a3b,-0.1628,34,25,41,26,23
gemini-2.0-flash-001,-0.1791,35,25,41,27,24
o3-mini,-0.1927,36,27,42,29,25
mistral-small-2506,-0.2306,37,27,43,28,23
gpt-4o-2024-11-20,-0.2421,38,21,46,22,11
command-a-03-2025,-0.2725,39,32,43,32,29
claude-3-7-sonnet-20250219,-0.3023,40,32,43,32,32
claude-3-7-sonnet-20250219-thinking-32k,-0.3037,41,32,43,32,32
claude-3-5-sonnet-20241022,-0.3893,42,36,47,36,33
amazon-nova-experimental-chat-05-14,-0.4071,43,36,47,36,32
llama-4-maverick-17b-128e-instruct,-0.5695,44,41,50,42,40
llama-4-scout-17b-16e-instruct,-0.611,45,41,52,42,40
gemma-3n-e4b-it,-0.62,46,41,52,42,40
mistral-small-3.1-24b-instruct-2503,-0.7056,47,44,52,44,42
magistral-medium-2506,-0.741,48,44,52,44,42
llama-3.3-70b-instruct,-0.7789,49,45,52,45,43
amazon.nova-pro-v1:0,-0.7993,50,45,52,45,43
claude-3-5-haiku-20241022,-0.8217,51,45,52,45,45
gpt-4o-mini-2024-07-18,-0.8572,52,44,52,44,39
