model,theta_hat,rank,ci_two_left,ci_two_right,ci_left,ci_uniform_left
gemini-2.5-pro-preview-03-25,1.0342,1,1,2,1,1
gemini-2.5-pro,0.9342,2,1,3,1,1
grok-4-0709,0.6685,3,3,10,3,1
chatgpt-4o-latest-20250326,0.6086,4,3,10,3,3
grok-3-preview-02-24,0.5515,5,3,12,3,3
gemini-2.5-flash,0.5478,6,3,12,3,3
o3-2025-04-16,0.5368,7,3,12,3,3
gemini-2.5-pro-preview-05-06,0.5335,8,3,12,3,3
llama-4-maverick-03-26-experimental,0.5038,9,3,12,3,3
deepseek-r1-0528,0.4225,10,4,17,4,3
gemini-2.5-flash-preview-04-17,0.3093,11,10,22,10,8
qwen3-235b-a22b-no-thinking,0.2922,12,10,22,10,9
claude-opus-4-20250514-thinking-16k,0.2789,13,10,23,10,9
kimi-k2-0711-preview,0.2654,14,10,27,10,8
claude-opus-4-20250514,0.2577,15,11,26,11,10
claude-sonnet-4-20250514-thinking-32k,0.2488,16,10,27,11,10
gpt-4.1-2025-04-14,0.2341,17,11,27,11,10
qwen3-235b-a22b-instruct-2507,0.2214,18,5,34,8,3
qwen3-235b-a22b,0.2198,19,11,29,11,10
gemini-2.5-flash-lite-preview-06-17-thinking,0.2162,20,11,29,11,10
o4-mini-2025-04-16,0.1204,21,13,32,14,11
mistral-medium-2505,0.1154,22,15,31,15,11
qwen-max-2025-01-25,0.0898,23,14,34,15,11
grok-3-mini-beta,0.0765,24,15,34,16,13
hunyuan-turbos-20250416,0.0702,25,11,37,13,11
gemini-2.0-flash-thinking-exp-01-21,0.0659,26,10,41,10,3
grok-3-mini-high,0.0525,27,15,35,16,11
deepseek-v3-0324,0.0497,28,18,35,18,15
minimax-m1,0.0378,29,18,35,20,15
claude-sonnet-4-20250514,-0.0137,30,20,38,20,20
gpt-4.1-mini-2025-04-14,-0.0509,31,22,38,22,20
gemma-3-27b-it,-0.0524,32,22,38,22,20
qwq-32b,-0.1079,33,22,38,24,20
qwen3-30b-a3b,-0.1344,34,25,41,25,22
o3-mini,-0.1661,35,27,41,29,25
gemini-2.0-flash-001,-0.1706,36,27,41,29,25
mistral-small-2506,-0.2408,37,30,43,30,24
gpt-4o-2024-11-20,-0.2823,38,25,46,29,18
command-a-03-2025,-0.3004,39,32,43,33,32
claude-3-7-sonnet-20250219,-0.3043,40,33,43,34,32
claude-3-7-sonnet-20250219-thinking-32k,-0.3112,41,33,43,34,32
claude-3-5-sonnet-20241022,-0.3872,42,36,45,36,36
amazon-nova-experimental-chat-05-14,-0.4131,43,36,46,37,34
llama-4-maverick-17b-128e-instruct,-0.5582,44,41,49,42,41
llama-4-scout-17b-16e-instruct,-0.5997,45,42,51,42,41
gemma-3n-e4b-it,-0.6301,46,42,52,42,41
mistral-small-3.1-24b-instruct-2503,-0.7409,47,44,52,44,43
magistral-medium-2506,-0.7638,48,44,52,44,43
llama-3.3-70b-instruct,-0.7915,49,45,52,45,43
amazon.nova-pro-v1:0,-0.8035,50,45,52,45,45
claude-3-5-haiku-20241022,-0.8488,51,46,52,46,45
gpt-4o-mini-2024-07-18,-0.8913,52,44,52,44,41
