model,theta_hat,rank,ci_two_left,ci_two_right,ci_left,ci_uniform_left
gemini-2.5-pro-preview-03-25,0.9997,1,1,2,1,1
gemini-2.5-pro,0.9283,2,1,3,1,1
grok-4-0709,0.687,3,2,9,3,1
chatgpt-4o-latest-20250326,0.6575,4,3,8,3,3
o3-2025-04-16,0.5435,5,3,12,3,3
grok-3-preview-02-24,0.5418,6,3,11,3,3
gemini-2.5-pro-preview-05-06,0.5251,7,3,11,3,3
gemini-2.5-flash,0.5198,8,4,12,4,3
llama-4-maverick-03-26-experimental,0.5004,9,4,12,4,3
deepseek-r1-0528,0.4277,10,5,15,5,4
gemini-2.5-flash-preview-04-17,0.303,11,10,22,10,8
qwen3-235b-a22b-no-thinking,0.2982,12,10,22,10,9
claude-opus-4-20250514,0.2763,13,11,22,11,10
kimi-k2-0711-preview,0.2702,14,10,26,10,8
claude-opus-4-20250514-thinking-16k,0.2643,15,11,23,11,10
gpt-4.1-2025-04-14,0.2576,16,11,24,11,10
gemini-2.5-flash-lite-preview-06-17-thinking,0.2199,18,11,27,11,11
qwen3-235b-a22b,0.2199,17,11,27,11,10
claude-sonnet-4-20250514-thinking-32k,0.2182,19,11,27,11,11
qwen3-235b-a22b-instruct-2507,0.174,20,10,32,10,4
o4-mini-2025-04-16,0.1227,21,14,30,14,11
mistral-medium-2505,0.1223,22,14,30,16,12
hunyuan-turbos-20250416,0.1144,23,11,32,11,11
deepseek-v3-0324,0.084,24,16,32,17,14
qwen-max-2025-01-25,0.0771,25,16,33,17,14
grok-3-mini-beta,0.0731,26,17,33,17,14
gemini-2.0-flash-thinking-exp-01-21,0.0679,27,10,40,11,4
minimax-m1,0.018,28,20,35,20,17
grok-3-mini-high,0.0068,29,20,37,20,16
claude-sonnet-4-20250514,0.0034,30,20,35,20,20
gpt-4.1-mini-2025-04-14,-0.0555,31,22,38,22,20
gemma-3-27b-it,-0.0568,32,22,38,23,21
qwen3-30b-a3b,-0.1453,33,26,40,28,24
qwq-32b,-0.1491,34,26,41,28,23
gemini-2.0-flash-001,-0.1767,35,28,41,29,25
o3-mini,-0.1835,36,28,41,30,26
mistral-small-2506,-0.2129,37,29,43,30,25
command-a-03-2025,-0.2802,38,32,43,32,31
claude-3-7-sonnet-20250219,-0.2889,39,32,43,32,32
gpt-4o-2024-11-20,-0.2972,40,27,45,29,20
claude-3-7-sonnet-20250219-thinking-32k,-0.3107,41,33,43,34,32
claude-3-5-sonnet-20241022,-0.379,42,36,43,37,36
amazon-nova-experimental-chat-05-14,-0.4358,43,37,46,38,36
llama-4-maverick-17b-128e-instruct,-0.5543,44,42,49,42,41
llama-4-scout-17b-16e-instruct,-0.5819,45,42,50,42,41
gemma-3n-e4b-it,-0.6505,46,42,52,44,42
magistral-medium-2506,-0.7435,47,44,52,45,43
mistral-small-3.1-24b-instruct-2503,-0.7508,48,44,52,45,43
llama-3.3-70b-instruct,-0.7573,49,45,52,45,43
amazon.nova-pro-v1:0,-0.8186,50,46,52,46,45
claude-3-5-haiku-20241022,-0.828,51,46,52,46,45
gpt-4o-mini-2024-07-18,-0.8659,52,44,52,44,41
