model,theta_hat,rank,ci_two_left,ci_two_right,ci_left,ci_uniform_left
gemini-2.5-pro-preview-03-25,0.9964,1,1,3,1,1
gemini-2.5-pro,0.9036,2,1,3,1,1
chatgpt-4o-latest-20250326,0.6747,3,3,7,3,2
grok-4-0709,0.6652,4,3,10,3,1
grok-3-preview-02-24,0.5804,5,3,11,3,3
o3-2025-04-16,0.547,6,3,12,3,3
gemini-2.5-pro-preview-05-06,0.5324,7,3,12,3,3
gemini-2.5-flash,0.499,8,4,12,4,4
llama-4-maverick-03-26-experimental,0.4904,9,4,12,4,3
deepseek-r1-0528,0.4448,10,4,15,4,4
gemini-2.5-flash-preview-04-17,0.2941,11,10,23,10,8
qwen3-235b-a22b-no-thinking,0.2876,12,11,22,11,10
claude-opus-4-20250514,0.284,13,11,22,11,10
gpt-4.1-2025-04-14,0.2823,14,10,23,11,10
kimi-k2-0711-preview,0.267,15,10,26,11,8
claude-opus-4-20250514-thinking-16k,0.254,16,11,25,11,10
gemini-2.5-flash-lite-preview-06-17-thinking,0.2167,17,11,27,11,11
claude-sonnet-4-20250514-thinking-32k,0.2111,18,11,27,11,11
qwen3-235b-a22b-instruct-2507,0.1848,19,8,33,10,4
qwen3-235b-a22b,0.1719,20,11,28,11,11
mistral-medium-2505,0.144,21,13,28,13,11
o4-mini-2025-04-16,0.1077,22,15,33,15,11
hunyuan-turbos-20250416,0.0999,23,11,33,11,11
deepseek-v3-0324,0.0952,24,15,33,16,13
grok-3-mini-beta,0.0829,25,16,33,16,13
gemini-2.0-flash-thinking-exp-01-21,0.0794,26,9,41,10,3
qwen-max-2025-01-25,0.047,27,17,33,17,15
grok-3-mini-high,-0.005,29,19,37,19,16
claude-sonnet-4-20250514,-0.005,28,21,36,21,19
gemma-3-27b-it,-0.0385,30,21,37,22,21
gpt-4.1-mini-2025-04-14,-0.0419,31,21,37,22,20
minimax-m1,-0.0503,32,21,38,22,19
qwen3-30b-a3b,-0.1695,33,27,41,28,24
qwq-32b,-0.1744,34,26,41,28,24
gemini-2.0-flash-001,-0.184,35,27,41,28,25
mistral-small-2506,-0.2026,36,26,43,28,24
o3-mini,-0.2068,37,30,41,31,26
command-a-03-2025,-0.2551,38,32,43,32,29
gpt-4o-2024-11-20,-0.2678,39,23,46,26,17
claude-3-7-sonnet-20250219,-0.2855,40,32,43,32,31
claude-3-7-sonnet-20250219-thinking-32k,-0.3042,41,32,43,32,32
claude-3-5-sonnet-20241022,-0.38,42,36,43,36,32
amazon-nova-experimental-chat-05-14,-0.4323,43,36,47,38,33
llama-4-maverick-17b-128e-instruct,-0.563,44,42,50,42,41
llama-4-scout-17b-16e-instruct,-0.5892,45,42,50,42,41
gemma-3n-e4b-it,-0.6434,46,42,52,42,41
magistral-medium-2506,-0.7228,47,44,52,44,42
mistral-small-3.1-24b-instruct-2503,-0.723,48,44,52,44,42
llama-3.3-70b-instruct,-0.7427,49,44,52,45,43
claude-3-5-haiku-20241022,-0.8047,50,45,52,46,45
amazon.nova-pro-v1:0,-0.8164,51,46,52,46,45
gpt-4o-mini-2024-07-18,-0.8351,52,44,52,44,41
