model,theta_hat,rank,ci_two_left,ci_two_right,ci_left,ci_uniform_left
gemini-2.5-pro-preview-03-25,1.0229,1,1,2,1,1
gemini-2.5-pro,0.9517,2,1,3,1,1
grok-4-0709,0.7007,3,2,9,3,1
chatgpt-4o-latest-20250326,0.6803,4,3,7,3,2
o3-2025-04-16,0.5724,5,3,10,3,3
gemini-2.5-pro-preview-05-06,0.5521,6,3,10,3,3
gemini-2.5-flash,0.532,7,4,10,4,3
grok-3-preview-02-24,0.5305,8,3,10,4,3
llama-4-maverick-03-26-experimental,0.5055,9,4,11,4,3
deepseek-r1-0528,0.4372,10,4,15,5,4
gemini-2.5-flash-preview-04-17,0.3086,12,10,22,10,8
qwen3-235b-a22b-no-thinking,0.3086,11,10,22,10,10
kimi-k2-0711-preview,0.2748,13,10,26,10,8
gpt-4.1-2025-04-14,0.2602,14,11,26,11,10
claude-opus-4-20250514,0.2586,15,11,24,11,10
claude-opus-4-20250514-thinking-16k,0.2533,16,11,26,11,10
qwen3-235b-a22b,0.2365,17,11,27,11,10
gemini-2.5-flash-lite-preview-06-17-thinking,0.2241,18,11,28,11,10
claude-sonnet-4-20250514-thinking-32k,0.1869,19,11,29,11,11
hunyuan-turbos-20250416,0.1445,20,11,32,11,10
o4-mini-2025-04-16,0.1405,21,12,29,13,11
mistral-medium-2505,0.1193,22,14,30,15,12
deepseek-v3-0324,0.1144,23,13,30,14,12
qwen3-235b-a22b-instruct-2507,0.0911,24,11,38,11,6
qwen-max-2025-01-25,0.083,25,14,33,16,12
grok-3-mini-beta,0.072,26,17,33,17,14
gemini-2.0-flash-thinking-exp-01-21,0.0353,27,10,41,11,5
minimax-m1,0.0317,28,19,34,19,16
grok-3-mini-high,0.0123,29,19,38,19,14
claude-sonnet-4-20250514,-0.0127,30,21,37,22,20
gemma-3-27b-it,-0.0572,31,23,38,23,21
gpt-4.1-mini-2025-04-14,-0.0654,32,23,38,23,21
qwq-32b,-0.1394,33,26,40,27,23
qwen3-30b-a3b,-0.1469,34,26,40,27,24
gemini-2.0-flash-001,-0.1633,35,27,40,28,25
o3-mini,-0.1867,36,28,41,29,27
mistral-small-2506,-0.2074,37,27,43,28,25
command-a-03-2025,-0.2932,38,31,43,32,31
gpt-4o-2024-11-20,-0.2961,39,26,46,27,19
claude-3-7-sonnet-20250219,-0.3033,40,32,43,32,31
claude-3-7-sonnet-20250219-thinking-32k,-0.3332,41,35,43,35,31
claude-3-5-sonnet-20241022,-0.4014,42,36,45,36,36
amazon-nova-experimental-chat-05-14,-0.4213,43,36,47,37,35
llama-4-maverick-17b-128e-instruct,-0.5601,44,41,48,42,40
llama-4-scout-17b-16e-instruct,-0.5781,45,41,50,41,39
gemma-3n-e4b-it,-0.6539,46,42,52,43,41
llama-3.3-70b-instruct,-0.7623,47,45,52,45,43
mistral-small-3.1-24b-instruct-2503,-0.7778,48,45,52,45,43
magistral-medium-2506,-0.7788,49,44,52,45,43
amazon.nova-pro-v1:0,-0.8203,50,46,52,46,45
claude-3-5-haiku-20241022,-0.8408,51,46,52,46,45
gpt-4o-mini-2024-07-18,-0.8415,52,44,52,44,40
