model,theta_hat,rank,ci_two_left,ci_two_right,ci_left,ci_uniform_left
gemini-2.5-pro-preview-03-25,1.022,1,1,2,1,1
gemini-2.5-pro,0.9271,2,1,3,1,1
chatgpt-4o-latest-20250326,0.7018,3,3,7,3,2
grok-4-0709,0.6782,4,2,10,3,1
o3-2025-04-16,0.579,5,3,11,3,3
grok-3-preview-02-24,0.5707,6,3,11,3,3
gemini-2.5-pro-preview-05-06,0.5632,7,3,11,3,3
gemini-2.5-flash,0.5107,8,4,11,4,4
llama-4-maverick-03-26-experimental,0.4952,9,4,12,4,3
deepseek-r1-0528,0.4571,10,4,16,4,4
gemini-2.5-flash-preview-04-17,0.2995,11,10,25,10,8
qwen3-235b-a22b-no-thinking,0.2982,12,10,22,11,9
gpt-4.1-2025-04-14,0.2872,13,10,25,11,9
kimi-k2-0711-preview,0.2719,14,10,26,10,7
claude-opus-4-20250514,0.2653,15,11,25,11,10
claude-opus-4-20250514-thinking-16k,0.2412,16,11,27,11,11
gemini-2.5-flash-lite-preview-06-17-thinking,0.2213,17,11,28,11,11
qwen3-235b-a22b,0.1853,18,11,28,11,11
claude-sonnet-4-20250514-thinking-32k,0.1767,19,11,28,11,11
mistral-medium-2505,0.143,20,12,29,12,11
hunyuan-turbos-20250416,0.1314,21,11,33,11,10
deepseek-v3-0324,0.1295,22,12,32,12,11
o4-mini-2025-04-16,0.1261,23,12,32,14,11
qwen3-235b-a22b-instruct-2507,0.0948,24,11,38,11,5
grok-3-mini-beta,0.0824,25,15,33,15,12
qwen-max-2025-01-25,0.0506,26,16,33,17,14
gemini-2.0-flash-thinking-exp-01-21,0.0403,27,10,41,11,3
grok-3-mini-high,0.0003,28,18,37,18,15
claude-sonnet-4-20250514,-0.0234,29,21,37,23,18
gemma-3-27b-it,-0.0377,30,23,37,23,20
minimax-m1,-0.0404,31,21,38,23,18
gpt-4.1-mini-2025-04-14,-0.0518,32,23,38,23,20
qwq-32b,-0.1658,33,26,41,26,24
gemini-2.0-flash-001,-0.1699,34,26,41,26,24
qwen3-30b-a3b,-0.1732,35,26,41,26,24
mistral-small-2506,-0.1957,36,26,43,26,23
o3-mini,-0.2123,37,28,42,31,26
gpt-4o-2024-11-20,-0.2651,38,24,45,25,15
command-a-03-2025,-0.2674,39,31,43,31,31
claude-3-7-sonnet-20250219,-0.3008,40,31,43,32,31
claude-3-7-sonnet-20250219-thinking-32k,-0.3293,41,32,43,32,31
claude-3-5-sonnet-20241022,-0.4051,42,36,46,36,34
amazon-nova-experimental-chat-05-14,-0.4163,43,36,47,36,31
llama-4-maverick-17b-128e-instruct,-0.5699,44,41,50,41,40
llama-4-scout-17b-16e-instruct,-0.5855,45,41,50,41,39
gemma-3n-e4b-it,-0.6471,46,42,52,43,40
llama-3.3-70b-instruct,-0.7467,47,44,52,44,43
mistral-small-3.1-24b-instruct-2503,-0.7495,48,44,52,44,43
magistral-medium-2506,-0.7579,49,44,52,44,43
gpt-4o-mini-2024-07-18,-0.8041,50,43,52,44,38
claude-3-5-haiku-20241022,-0.8171,51,46,52,46,45
amazon.nova-pro-v1:0,-0.8179,52,46,52,46,45
