model,theta_hat,rank,ci_two_left,ci_two_right,ci_left,ci_uniform_left
gemini-2.5-pro-preview-03-25,0.9587,1,1,5,1,1
gemini-2.5-pro,0.9209,2,1,3,1,1
grok-4-0709,0.6423,3,1,12,1,1
grok-3-preview-02-24,0.637,4,2,12,2,2
chatgpt-4o-latest-20250326,0.6333,5,2,12,2,2
o3-2025-04-16,0.5824,6,2,12,3,2
gemini-2.5-flash,0.5373,7,3,13,3,2
llama-4-maverick-03-26-experimental,0.5232,8,3,13,3,2
deepseek-r1-0528,0.4972,9,3,13,3,2
gemini-2.5-pro-preview-05-06,0.4651,10,3,19,3,2
qwen3-235b-a22b-instruct-2507,0.3167,11,3,36,3,1
kimi-k2-0711-preview,0.2936,12,7,28,8,5
gpt-4.1-2025-04-14,0.2798,13,9,28,10,7
qwen3-235b-a22b-no-thinking,0.2784,14,10,28,10,7
gemini-2.5-flash-preview-04-17,0.253,15,10,29,10,7
claude-opus-4-20250514,0.2501,16,10,29,10,9
claude-opus-4-20250514-thinking-16k,0.23,17,10,29,10,8
gemini-2.5-flash-lite-preview-06-17-thinking,0.2034,18,10,29,11,10
claude-sonnet-4-20250514-thinking-32k,0.1864,19,11,31,11,10
qwen3-235b-a22b,0.1792,20,11,32,11,10
mistral-medium-2505,0.1471,21,11,33,11,11
o4-mini-2025-04-16,0.1126,22,11,35,11,11
hunyuan-turbos-20250416,0.0868,23,11,38,11,9
grok-3-mini-beta,0.0839,24,11,36,12,11
deepseek-v3-0324,0.0812,25,11,36,12,11
qwen-max-2025-01-25,0.0638,26,11,37,13,11
grok-3-mini-high,0.0507,27,11,38,11,11
gemini-2.0-flash-thinking-exp-01-21,0.0424,28,6,43,9,2
gemma-3-27b-it,-0.0303,29,19,38,21,17
gpt-4.1-mini-2025-04-14,-0.0361,30,19,38,19,16
minimax-m1,-0.0415,31,18,38,19,16
claude-sonnet-4-20250514,-0.0628,32,21,38,21,18
qwen3-30b-a3b,-0.1162,33,22,39,22,20
qwq-32b,-0.1203,34,21,39,22,19
mistral-small-2506,-0.134,35,21,42,21,17
gemini-2.0-flash-001,-0.1788,36,24,42,26,22
o3-mini,-0.1933,37,26,42,26,24
gpt-4o-2024-11-20,-0.2789,38,19,48,22,11
command-a-03-2025,-0.2823,39,32,44,32,25
claude-3-7-sonnet-20250219-thinking-32k,-0.3643,40,34,47,34,32
claude-3-7-sonnet-20250219,-0.3923,41,34,47,36,32
amazon-nova-experimental-chat-05-14,-0.4151,42,34,48,34,32
claude-3-5-sonnet-20241022,-0.4368,43,37,48,37,34
gemma-3n-e4b-it,-0.532,44,37,52,37,34
llama-4-maverick-17b-128e-instruct,-0.5801,45,38,51,40,38
llama-4-scout-17b-16e-instruct,-0.6291,46,38,52,40,38
mistral-small-3.1-24b-instruct-2503,-0.6795,47,41,52,41,38
llama-3.3-70b-instruct,-0.7658,48,43,52,43,41
magistral-medium-2506,-0.7708,49,43,52,43,40
amazon.nova-pro-v1:0,-0.8104,50,43,52,46,43
claude-3-5-haiku-20241022,-0.8195,51,43,52,46,43
gpt-4o-mini-2024-07-18,-0.8668,52,40,52,41,34
