model,theta_hat,rank,ci_two_left,ci_two_right,ci_left,ci_uniform_left
gemini-2.5-pro-preview-03-25,0.9724,1,1,3,1,1
gemini-2.5-pro,0.9587,2,1,3,1,1
grok-4-0709,0.6805,3,1,11,2,1
chatgpt-4o-latest-20250326,0.6131,4,3,12,3,2
o3-2025-04-16,0.5712,5,3,12,3,2
gemini-2.5-flash,0.5646,6,3,12,3,2
grok-3-preview-02-24,0.5645,7,3,12,3,2
llama-4-maverick-03-26-experimental,0.5339,8,3,13,3,3
gemini-2.5-pro-preview-05-06,0.4642,9,3,19,3,3
deepseek-r1-0528,0.462,10,3,16,3,3
qwen3-235b-a22b-no-thinking,0.2977,11,9,25,9,9
kimi-k2-0711-preview,0.2959,12,9,29,9,4
qwen3-235b-a22b-instruct-2507,0.2827,13,3,34,3,3
gemini-2.5-flash-preview-04-17,0.2734,14,9,29,9,8
qwen3-235b-a22b,0.2546,15,9,29,10,9
claude-opus-4-20250514-thinking-16k,0.2495,16,10,29,10,9
claude-opus-4-20250514,0.2427,17,10,29,11,9
gpt-4.1-2025-04-14,0.24,18,10,29,10,9
gemini-2.5-flash-lite-preview-06-17-thinking,0.2103,19,11,29,11,9
claude-sonnet-4-20250514-thinking-32k,0.2007,20,11,29,11,10
o4-mini-2025-04-16,0.1367,21,11,32,11,11
hunyuan-turbos-20250416,0.113,22,11,38,11,9
mistral-medium-2505,0.1115,23,12,35,12,11
qwen-max-2025-01-25,0.108,24,11,36,12,11
grok-3-mini-beta,0.0679,25,12,36,14,12
deepseek-v3-0324,0.0651,26,12,36,15,12
minimax-m1,0.0647,27,12,36,14,11
grok-3-mini-high,0.0629,28,11,38,12,11
gemini-2.0-flash-thinking-exp-01-21,0.0285,29,9,43,9,3
claude-sonnet-4-20250514,-0.0411,30,20,38,21,20
gpt-4.1-mini-2025-04-14,-0.0598,31,20,38,21,20
gemma-3-27b-it,-0.0617,32,21,38,22,20
qwen3-30b-a3b,-0.0848,33,21,38,22,20
qwq-32b,-0.0879,34,21,38,22,20
o3-mini,-0.1571,35,26,39,27,23
mistral-small-2506,-0.1602,36,22,42,24,20
gemini-2.0-flash-001,-0.1671,37,26,40,27,23
command-a-03-2025,-0.3191,38,34,44,34,32
gpt-4o-2024-11-20,-0.3255,39,24,47,28,14
claude-3-7-sonnet-20250219-thinking-32k,-0.3655,40,35,46,36,34
claude-3-7-sonnet-20250219,-0.3804,41,36,46,36,34
amazon-nova-experimental-chat-05-14,-0.4225,42,36,47,36,34
claude-3-5-sonnet-20241022,-0.4264,43,36,47,37,36
gemma-3n-e4b-it,-0.5573,44,38,51,39,36
llama-4-maverick-17b-128e-instruct,-0.5646,45,39,50,40,37
llama-4-scout-17b-16e-instruct,-0.6119,46,39,52,41,37
mistral-small-3.1-24b-instruct-2503,-0.7297,47,43,52,43,41
llama-3.3-70b-instruct,-0.7851,48,43,52,45,43
magistral-medium-2506,-0.8001,49,43,52,44,43
amazon.nova-pro-v1:0,-0.8151,50,45,52,46,43
claude-3-5-haiku-20241022,-0.8563,51,46,52,46,44
gpt-4o-mini-2024-07-18,-0.9116,52,43,52,44,38
