model,theta_hat,rank,ci_two_left,ci_two_right,ci_left,ci_uniform_left
gemini-2.5-pro-preview-03-25,0.9216,1,1,4,1,1
gemini-2.5-pro,0.9159,2,1,3,1,1
chatgpt-4o-latest-20250326,0.7,3,2,6,2,2
grok-4-0709,0.6751,4,1,11,1,1
grok-3-preview-02-24,0.6019,5,2,12,3,2
o3-2025-04-16,0.581,6,2,12,3,2
llama-4-maverick-03-26-experimental,0.514,7,3,13,4,2
gemini-2.5-flash,0.4991,8,4,13,4,4
deepseek-r1-0528,0.4863,9,4,14,4,3
gemini-2.5-pro-preview-05-06,0.4685,10,4,17,4,3
gpt-4.1-2025-04-14,0.3016,11,9,24,10,7
kimi-k2-0711-preview,0.2931,12,7,26,9,6
qwen3-235b-a22b-no-thinking,0.2901,13,10,24,10,9
claude-opus-4-20250514,0.2791,14,10,25,10,9
gemini-2.5-flash-preview-04-17,0.2583,15,10,27,10,9
qwen3-235b-a22b-instruct-2507,0.2274,16,5,35,7,3
claude-opus-4-20250514-thinking-16k,0.2222,17,11,27,11,10
gemini-2.5-flash-lite-preview-06-17-thinking,0.2113,18,11,28,11,10
qwen3-235b-a22b,0.1893,19,11,28,11,10
claude-sonnet-4-20250514-thinking-32k,0.1595,20,11,29,11,11
hunyuan-turbos-20250416,0.1501,21,11,34,11,9
mistral-medium-2505,0.1491,22,11,29,11,11
deepseek-v3-0324,0.1234,23,11,34,13,11
o4-mini-2025-04-16,0.1181,24,13,34,14,11
grok-3-mini-beta,0.0772,25,14,34,14,11
qwen-max-2025-01-25,0.0506,26,15,35,16,12
gemini-2.0-flash-thinking-exp-01-21,0.0433,27,7,43,9,3
grok-3-mini-high,-0.0138,28,17,38,18,14
claude-sonnet-4-20250514,-0.0247,29,21,37,21,18
gemma-3-27b-it,-0.041,30,21,38,21,18
gpt-4.1-mini-2025-04-14,-0.0474,31,21,38,21,18
minimax-m1,-0.0508,32,21,38,21,18
mistral-small-2506,-0.1199,33,23,41,23,18
qwen3-30b-a3b,-0.1365,34,24,39,25,23
qwq-32b,-0.178,35,26,41,27,23
gemini-2.0-flash-001,-0.1864,36,26,41,27,24
o3-mini,-0.2122,37,28,41,29,26
command-a-03-2025,-0.2568,38,32,43,32,27
gpt-4o-2024-11-20,-0.3036,39,25,48,26,14
claude-3-7-sonnet-20250219,-0.3477,40,33,45,33,32
claude-3-7-sonnet-20250219-thinking-32k,-0.3508,41,33,45,34,32
claude-3-5-sonnet-20241022,-0.4131,42,37,47,37,33
amazon-nova-experimental-chat-05-14,-0.4463,43,37,48,37,33
llama-4-maverick-17b-128e-instruct,-0.5692,44,41,50,41,38
gemma-3n-e4b-it,-0.5809,45,39,52,41,38
llama-4-scout-17b-16e-instruct,-0.5961,46,41,52,41,38
mistral-small-3.1-24b-instruct-2503,-0.7077,47,42,52,43,41
llama-3.3-70b-instruct,-0.7226,48,43,52,43,42
magistral-medium-2506,-0.7401,49,43,52,43,42
claude-3-5-haiku-20241022,-0.7982,50,45,52,45,43
amazon.nova-pro-v1:0,-0.83,51,45,52,47,44
gpt-4o-mini-2024-07-18,-0.8334,52,41,52,43,37
